"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","player_of_match"
1160526,6,"Central Districts","Auckland","male","2018/19",2019-02-09,"Super Smash","29","Eden Park Outer Oval","Auckland","Central Districts","bat","A Mehrotra","JM Dempsey",NA,NA,"RA Dykes","Auckland",8,NA,NA,NA,NA
1160527,6,"Central Districts","Auckland","male","2018/19",2019-02-15,"Super Smash",NA,"Eden Park Outer Oval","Auckland","Auckland","field","BF Bowden","CM Brown",NA,"AL Gillies","RA Dykes","Central Districts",NA,44,NA,NA,NA
1160528,6,"Central Districts","Northern Districts","male","2018/19",2019-02-17,"Super Smash",NA,"Seddon Park","Hamilton","Central Districts","bat","CM Brown","WR Knights",NA,"SB Haig","GAV Baxter","Central Districts",NA,67,NA,NA,NA
1197741,6,"Central Districts","Northern Districts","male","2019/20",2019-12-13,"Super Smash","1","McLean Park","Napier","Central Districts","bat","CM Brown","WR Knights","Glen Walklin","SB Haig","GAV Baxter","Central Districts",NA,120,NA,NA,NA
1197742,6,"Otago","Auckland","male","2019/20",2019-12-14,"Super Smash","2","Eden Park Outer Oval","Auckland","Otago","bat","JM Dempsey","WR Knights","A Stanley","A Mehrotra","RA Dykes","Otago",NA,13,NA,NA,NA
1197743,6,"Canterbury","Wellington","male","2019/20",2019-12-15,"Super Smash","3","Hagley Oval","Christchurch","Canterbury","bat","DJ Walker","SB Haig","Kim Cotton","JAK Bromley",NA,"Wellington",6,NA,NA,NA,NA
1197744,6,"Otago","Northern Districts","male","2019/20",2019-12-16,"Super Smash","4","Seddon Park","Hamilton","Northern Districts","field","A Mehrotra","CM Brown",NA,NA,"K Pulley","Otago",NA,43,NA,NA,NA
1197745,6,"Canterbury","Auckland","male","2019/20",2019-12-17,"Super Smash","5","Hagley Oval","Christchurch","Auckland","field","JAK Bromley","SB Haig","Kim Cotton","DJ Walker","GAV Baxter",NA,NA,NA,NA,"no result",NA
1197746,6,"Central Districts","Wellington","male","2019/20",2019-12-18,"Super Smash","6","Basin Reserve","Wellington","Central Districts","bat","GA Stirrat","JM Dempsey",NA,NA,"K Pulley","Central Districts",NA,24,NA,NA,NA
1197747,6,"Otago","Auckland","male","2019/20",2019-12-19,"Super Smash","7","University Oval","Dunedin","Auckland","field","DJ Walker","SB Haig","KS Jagannathan","JAK Bromley",NA,NA,NA,NA,NA,"no result",NA
1197748,6,"Central Districts","Northern Districts","male","2019/20",2019-12-20,"Super Smash","8","Seddon Park","Hamilton","Central Districts","bat","CM Brown","WR Knights","Damian Morrow","A Mehrotra","RA Dykes",NA,NA,NA,NA,"no result",NA
1197749,6,"Wellington","Otago","male","2019/20",2019-12-21,"Super Smash","9","Basin Reserve","Wellington","Wellington","bat","CM Brown","JAK Bromley","C Black","JM Dempsey","K Pulley","Wellington",NA,1,NA,NA,NA
1197750,6,"Northern Districts","Auckland","male","2019/20",2019-12-22,"Super Smash","10","Seddon Park","Hamilton","Northern Districts","bat","A Mehrotra","TJ Parlane","Lui Els","Damian Morrow","RA Dykes","Northern Districts",NA,28,NA,NA,NA
1197751,6,"Canterbury","Central Districts","male","2019/20",2019-12-23,"Super Smash","11","McLean Park","Napier","Canterbury","bat","BF Bowden","GA Stirrat",NA,NA,NA,"Canterbury",NA,30,NA,NA,NA
1197752,6,"Wellington","Central Districts","male","2019/20",2019-12-27,"Super Smash","12","Pukekura Park","New Plymouth","Central Districts","field","CM Brown","WR Knights","Kim Cotton","ED Sanders","RA Dykes","Wellington",NA,42,NA,NA,NA
1197753,6,"Auckland","Central Districts","male","2019/20",2019-12-28,"Super Smash","13","Pukekura Park","New Plymouth","Auckland","bat","CM Brown","WR Knights","ED Sanders","Kim Cotton",NA,"Auckland",NA,2,NA,NA,NA
1197754,6,"Northern Districts","Otago","male","2019/20",2019-12-29,"Super Smash","14","Molyneux Park","Alexandra","Northern Districts","bat","JM Dempsey","SB Haig","PJ Pasco","DJ Walker","GAV Baxter","Otago",6,NA,NA,NA,NA
1197755,6,"Auckland","Wellington","male","2019/20",2019-12-30,"Super Smash","15","Eden Park Outer Oval","Auckland","Auckland","bat","A Mehrotra","WR Knights",NA,NA,"RA Dykes","Wellington",7,NA,NA,NA,NA
1197756,6,"Otago","Canterbury","male","2019/20",2019-12-30,"Super Smash","16","Molyneux Park","Alexandra","Otago","bat","DJ Walker","SB Haig","KS Jagannathan","JM Dempsey","GAV Baxter","Otago",NA,51,NA,NA,NA
1197757,6,"Canterbury","Auckland","male","2019/20",2020-01-01,"Super Smash","17","Eden Park Outer Oval","Auckland","Auckland","field","CM Brown","TJ Parlane",NA,NA,"K Pulley","Auckland",7,NA,NA,NA,NA
1197758,6,"Wellington","Northern Districts","male","2019/20",2020-01-01,"Super Smash","18","Bay Oval","Mount Maunganui","Wellington","bat","BF Bowden","JAK Bromley",NA,NA,NA,"Northern Districts",5,NA,NA,NA,NA
1197759,6,"Otago","Central Districts","male","2019/20",2020-01-02,"Super Smash","19","McLean Park","Napier","Otago","bat","TJ Parlane","WR Knights","Glen Walklin","A Mehrotra","GAV Baxter","Central Districts",5,NA,NA,NA,NA
1197760,6,"Wellington","Northern Districts","male","2019/20",2020-01-03,"Super Smash","20","Basin Reserve","Wellington","Wellington","bat","DJ Walker","SB Haig","Kim Cotton","GA Stirrat",NA,"Wellington",NA,52,NA,NA,NA
1197761,6,"Central Districts","Auckland","male","2019/20",2020-01-04,"Super Smash","21","Eden Park Outer Oval","Auckland","Auckland","field","BF Bowden","CM Brown","C Black","A Mehrotra","RA Dykes","Auckland",4,NA,NA,NA,NA
1197762,6,"Northern Districts","Canterbury","male","2019/20",2020-01-05,"Super Smash","22","Hagley Oval","Christchurch","Northern Districts","bat","A Mehrotra","WR Knights","SJ Kannan","Kim Cotton","GAV Baxter","Canterbury",7,NA,NA,NA,NA
1197763,6,"Otago","Wellington","male","2019/20",2020-01-06,"Super Smash","23","University Oval","Dunedin","Otago","bat","DJ Walker","SB Haig",NA,NA,"K Pulley","Wellington",10,NA,NA,NA,NA
1197764,6,"Central Districts","Canterbury","male","2019/20",2020-01-07,"Super Smash","24","Hagley Oval","Christchurch","Central Districts","bat","A Mehrotra","JAK Bromley",NA,NA,"GAV Baxter","Central Districts",NA,17,NA,NA,NA
1197765,6,"Canterbury","Wellington","male","2019/20",2020-01-09,"Super Smash","25","Basin Reserve","Wellington","Canterbury","bat","BF Bowden","SB Haig","C Black","GA Stirrat","K Pulley","Canterbury",NA,3,NA,NA,NA
