"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets","match_number","outcome","method","eliminator"
1179016,6,"Namibia","Botswana","female","2019",2019-04-01,"Botswana Women tour of Namibia","United Cricket Club Ground","Windhoek","Namibia","field",NA,"Hannes van Vuuren","Hein Heydenrych","Pieter Groenewald",NA,NA,"Namibia",NA,7,"3",NA,NA,NA
1179610,6,"Namibia","Botswana","female","2019",2019-04-02,"Botswana Women tour of Namibia","United Cricket Club Ground","Windhoek","Botswana","field",NA,"Pieter Groenewald","Hein Heydenrych","Hannes van Vuuren",NA,NA,"Namibia",88,NA,"4",NA,NA,NA
1179611,6,"Namibia","Botswana","female","2019",2019-04-02,"Botswana Women tour of Namibia","United Cricket Club Ground","Windhoek","Botswana","bat",NA,"Pieter Groenewald","Hein Heydenrych","Hannes van Vuuren",NA,NA,"Namibia",NA,9,"5",NA,NA,NA
1179017,6,"Namibia","Botswana","female","2019",2019-04-03,"Botswana Women tour of Namibia","United Cricket Club Ground","Windhoek","Namibia","bat",NA,"Hannes van Vuuren","Hein Heydenrych",NA,NA,NA,"Namibia",86,NA,"6",NA,NA,NA
1179018,6,"Namibia","Botswana","female","2019",2019-04-03,"Botswana Women tour of Namibia","United Cricket Club Ground","Windhoek","Namibia","bat",NA,"Pieter Groenewald","Hannes van Vuuren",NA,NA,NA,"Namibia",88,NA,"7",NA,NA,NA
1182642,6,"Zimbabwe","Mozambique","female","2019",2019-05-05,"ICC Women's T20 World Cup Africa Region Qualifier","Old Hararians","Harare","Zimbabwe","bat","SM Mayers","A Louw","R D'Mello","IO Oyieko",NA,"O Chirombe","Zimbabwe",163,NA,NA,NA,NA,NA
1182644,6,"Sierra Leone","Uganda","female","2019",2019-05-05,"ICC Women's T20 World Cup Africa Region Qualifier","Old Hararians","Harare","Uganda","bat","D Busingye","IO Oyieko","A Louw","R D'Mello",NA,"O Chirombe","Uganda",90,NA,NA,NA,NA,NA
1182646,6,"Mozambique","Nigeria","female","2019",2019-05-06,"ICC Women's T20 World Cup Africa Region Qualifier","Old Hararians","Harare","Nigeria","field","B Etim","R D'Mello","Lauren Agenbag","IO Oyieko",NA,"O Chirombe","Nigeria",NA,8,NA,NA,NA,NA
1182648,6,"Namibia","Uganda","female","2019",2019-05-06,"ICC Women's T20 World Cup Africa Region Qualifier","Old Hararians","Harare","Uganda","field","I van Zyl","IO Oyieko","Lauren Agenbag","R D'Mello",NA,"O Chirombe","Namibia",14,NA,NA,NA,NA,NA
1182649,6,"Zimbabwe","Tanzania","female","2019",2019-05-06,"ICC Women's T20 World Cup Africa Region Qualifier","Takashinga Sports Club","Harare","Zimbabwe","bat","SM Mayers","Justine Muzungu","PM Musoke","A Louw",NA,"O Chirombe","Zimbabwe",92,NA,NA,NA,NA,NA
