"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","match_referee","outcome","winner","winner_wickets","winner_runs","player_of_match","winner_innings","tv_umpire","toss_uncontested","reserve_umpire","match_number"
692807,6,"Middlesex","Northamptonshire","male","2014",2014-06-29,"LV= County Championship","Lord's, London","London","Northamptonshire","field","NGB Cook","NJ Llong",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692809,6,"Nottinghamshire","Warwickshire","male","2014",2014-06-29,"LV= County Championship","Edgbaston, Birmingham","Birmingham","Warwickshire","field","JH Evans","MJD Bodenham",NA,NA,"Warwickshire",3,NA,NA,NA,NA,NA,NA,NA
692949,6,"Worcestershire","Glamorgan","male","2014",2014-06-29,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Worcestershire","bat","GD Lloyd","MR Benson",NA,NA,"Worcestershire",NA,249,NA,NA,NA,NA,NA,NA
692951,6,"Gloucestershire","Essex","male","2014",2014-06-29,"LV= County Championship","County Ground, Chelmsford","Chelmsford","Essex","field","MA Gough","PK Baldwin",NA,NA,"Essex",10,NA,NA,NA,NA,NA,NA,NA
692813,6,"Sussex","Northamptonshire","male","2014",2014-07-06,"LV= County Championship","County Ground, Hove","Brighton","Northamptonshire","field","G Sharp","SA Garratt",NA,NA,"Sussex",NA,85,NA,"1",NA,NA,NA,NA
692953,6,"Glamorgan","Surrey","male","2014",2014-07-06,"LV= County Championship","Penrhyn Avenue, Rhos-on-Sea, Colwyn Bay","Colwyn Bay","Glamorgan","bat","JH Evans","P Willey",NA,NA,"Surrey",9,NA,NA,NA,NA,NA,NA,NA
692815,6,"Yorkshire","Durham","male","2014",2014-07-07,"LV= County Championship","Headingley, Leeds","Leeds","Durham","field","RK Illingworth","RA Kettleborough",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692955,6,"Hampshire","Gloucestershire","male","2014",2014-07-07,"LV= County Championship","The Rose Bowl, Southampton","Southampton","Gloucestershire","field","JW Lloyds","M Burns",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692957,6,"Leicestershire","Kent","male","2014",2014-07-07,"LV= County Championship","Grace Road, Leicester","Leicester","Kent","field","AK Chaudhary","PJ Hartley",NA,NA,"Kent",6,NA,NA,NA,NA,NA,NA,NA
692959,6,"Derbyshire","Essex","male","2014",2014-07-07,"LV= County Championship","Queen's Park, Chesterfield","Chesterfield","Derbyshire","bat","GD Lloyd","SJ O'Shaughnessy",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692817,6,"Somerset","Northamptonshire","male","2014",2014-07-12,"LV= County Championship","County Ground, Northampton","Northampton","Somerset","bat","JH Evans","RK Illingworth",NA,NA,"Somerset",NA,52,NA,NA,NA,NA,NA,NA
