"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"MRJ Watt","Derbyshire",2023,"County Championship",7,142.5,28,498,15,33.2,3.48658109684947,57.1333333333333,629,1,1,"5/83"
"AM Lilley","Lancashire",2015,"LV= County Championship",9,156,24,525,15,35,3.36538461538462,62.4,687,1,0,"4/28"
"ML Revis","Yorkshire",2023,"County Championship",13,124.4,14,528,15,35.2,4.23529411764706,49.8666666666667,536,0,1,"5/50"
"CJ Haggett","Kent",2016,"Specsavers County Championship",9,158.4,30,529,15,35.2666666666667,3.33403361344538,63.4666666666667,689,1,0,"4/15"
"MM Ali","Worcestershire",2014,"LV= County Championship",14,190.5,36,552,15,36.8,2.89257641921397,76.3333333333333,853,0,0,"3/43"
"TG Helm","Middlesex",2024,"County Championship",9,151.3,28,555,15,37,3.66336633663366,60.6,649,1,0,"4/44"
"JM Bird","Nottinghamshire",2016,"Specsavers County Championship",9,157.3,27,558,15,37.2,3.54285714285714,63,720,2,0,"4/56"
"AS Joseph","Worcestershire",2021,"County Championship",10,158,21,574,15,38.2666666666667,3.63291139240506,63.2,669,0,0,"2/22"
"Hamidullah Qadri","Kent",2023,"County Championship",9,160.2,21,576,15,38.4,3.59251559251559,64.1333333333333,655,0,0,"3/51"
"A Shahzad","Sussex",2016,"Specsavers County Championship",9,160.5,23,578,15,38.5333333333333,3.59378238341969,64.3333333333333,692,0,0,"3/34"
"GK Berg","Hampshire",2018,"Specsavers County Championship",12,188.1,39,604,15,40.2666666666667,3.20992028343667,75.2666666666667,847,0,1,"5/130"
"RAS Lakmal","Derbyshire",2022,"County Championship",10,213.5,50,605,15,40.3333333333333,2.82930631332814,85.5333333333333,1000,0,1,"5/82"
"LA Procter","Northamptonshire",2019,"Specsavers County Championship",21,187.1,41,620,15,41.3333333333333,3.31255565449688,74.8666666666667,849,1,0,"4/26"
"SP Crook","Northamptonshire",2015,"LV= County Championship",12,154.1,19,630,15,42,4.08648648648649,61.6666666666667,623,0,0,"3/28"
"RD Pringle","Durham",2017,"Specsavers County Championship",15,186.5,41,634,15,42.2666666666667,3.39339875111508,74.7333333333333,813,1,0,"4/73"
"SG Borthwick","Durham",2015,"LV= County Championship",23,148.1,21,634,15,42.2666666666667,4.27896512935883,59.2666666666667,590,1,0,"4/46"
"L Wood","Lancashire",2022,"County Championship",15,206.4,37,658,15,43.8666666666667,3.18387096774194,82.6666666666667,932,0,0,"3/34"
"AG Salter","Glamorgan",2021,"County Championship",13,218.5,41,687,15,45.8,3.13937547600914,87.5333333333333,954,1,0,"4/18"
"LA Dawson","Hampshire",2016,"Specsavers County Championship",14,248.5,48,702,15,46.8,2.821165438714,99.5333333333333,1125,0,0,"3/22"
"J Clark","Lancashire",2015,"LV= County Championship",17,200.4,31,732,15,48.8,3.64784053156146,80.2666666666667,857,1,0,"4/101"
"BD Cotton","Derbyshire",2015,"LV= County Championship",13,223.1,49,745,15,49.6666666666667,3.33831217326363,89.2666666666667,1046,0,0,"3/26"
