"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"BF Smith",2020-09-19,"South East Stars","Southern Vipers",1,8,12,2,0,66.6666666666667,FALSE,"Rachael Heyhoe Flint Trophy",2020,1229346,"Kennington Oval, London","London","South East Stars","Southern Vipers","South East Stars","bat",NA,"Southern Vipers","4",NA
"EM McCaughan",2020-09-11,"Southern Vipers","Sunrisers",1,8,12,2,0,66.6666666666667,FALSE,"Rachael Heyhoe Flint Trophy",2020,1229340,"The Rose Bowl, Southampton","Southampton","Southern Vipers","Sunrisers","Southern Vipers","bat",NA,"Southern Vipers",NA,"49"
"GK Davis",2023-07-02,"Central Sparks","Thunder",1,8,12,1,0,66.6666666666667,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347424,"County Ground, New Road, Worcester","Worcester","Central Sparks","Thunder","Thunder","field",NA,"Central Sparks",NA,"29"
"J Grewcock",2023-09-10,"Sunrisers","Central Sparks",2,8,12,1,0,66.6666666666667,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347449,"County Ground, Chelmsford","Chelmsford","Central Sparks","Sunrisers","Central Sparks","bat",NA,"Sunrisers","4",NA
"KL Gordon",2022-07-23,"Lightning","Northern Diamonds",1,8,12,1,0,66.6666666666667,FALSE,"Rachael Heyhoe Flint Trophy",2022,1297942,"Riverside Ground, Chester-le-Street","Chester-le-Street","Lightning","Northern Diamonds","Lightning","bat",NA,"Northern Diamonds","1",NA
"KS Castle",2020-08-29,"Sunrisers","Southern Vipers",1,8,12,0,0,66.6666666666667,TRUE,"Rachael Heyhoe Flint Trophy",2020,1229326,"County Ground, Chelmsford","Chelmsford","Sunrisers","Southern Vipers","Southern Vipers","field",NA,"Southern Vipers","7",NA
"LCN Smith",2023-09-16,"Southern Vipers","The Blaze",1,8,12,0,0,66.6666666666667,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347457,"Haslegrave Ground, Loughborough","Loughborough","Southern Vipers","The Blaze","The Blaze","field",NA,"Southern Vipers",NA,"126"
"LE Scott",2023-04-22,"Northern Diamonds","Western Storm",1,8,12,1,0,66.6666666666667,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347405,"Headingley, Leeds","Leeds","Northern Diamonds","Western Storm","Western Storm","field",NA,"Northern Diamonds",NA,"105"
"PJ Scholfield",2020-09-11,"Southern Vipers","Sunrisers",1,8,12,1,0,66.6666666666667,FALSE,"Rachael Heyhoe Flint Trophy",2020,1229340,"The Rose Bowl, Southampton","Southampton","Southern Vipers","Sunrisers","Southern Vipers","bat",NA,"Southern Vipers",NA,"49"
"Y Graves",2021-09-12,"Lightning","Western Storm",2,8,12,1,0,66.6666666666667,FALSE,"Rachael Heyhoe Flint Trophy",2021,1252286,"County Ground, Bristol","Bristol","Western Storm","Lightning","Lightning","field",NA,"Western Storm",NA,"62"
"FR Davies",2023-05-05,"South East Stars","Sunrisers",1,8,13,0,0,61.5384615384615,TRUE,"Rachael Heyhoe Flint Trophy",2023,1347415,"Radlett Cricket Club, Radlett","Radlett","South East Stars","Sunrisers","Sunrisers","field",NA,"South East Stars",NA,"91"
"HE Jones",2024-04-20,"Thunder","Northern Diamonds",1,8,13,1,0,61.5384615384615,TRUE,"Rachael Heyhoe Flint Trophy",2024,1427806,"Riverside Ground, Chester-le-Street","Chester-le-Street","Thunder","Northern Diamonds","Northern Diamonds","field",NA,"Northern Diamonds","9",NA
"J Gardner",2023-09-10,"Sunrisers","Central Sparks",2,8,13,1,0,61.5384615384615,TRUE,"Rachael Heyhoe Flint Trophy",2023,1347449,"County Ground, Chelmsford","Chelmsford","Central Sparks","Sunrisers","Central Sparks","bat",NA,"Sunrisers","4",NA
"AN Davidson-Richards",2024-04-20,"South East Stars","Southern Vipers",2,8,14,0,0,57.1428571428571,FALSE,"Rachael Heyhoe Flint Trophy",2024,1427808,"Kent County Cricket Ground, Beckenham","Beckenham","Southern Vipers","South East Stars","South East Stars","field",NA,"South East Stars","4",NA
"DJS Dottin",2023-05-06,"Thunder","Central Sparks",1,8,14,1,0,57.1428571428571,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347416,"Old Trafford, Manchester","Manchester","Thunder","Central Sparks","Central Sparks","field",NA,NA,NA,NA
"E Jones",2023-09-05,"Central Sparks","The Blaze",1,8,14,1,0,57.1428571428571,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347444,"Edgbaston Foundation Community Sports Ground, Birmingham","Birmingham","Central Sparks","The Blaze","Central Sparks","bat",NA,"The Blaze","3",NA
"FMK Morris",2023-05-10,"Thunder","Sunrisers",1,8,14,2,0,57.1428571428571,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347419,"Rookwood, Sale","Sale","Thunder","Sunrisers","Sunrisers","field",NA,NA,NA,NA
"G Potts",2024-05-01,"Central Sparks","Sunrisers",1,8,14,0,0,57.1428571428571,FALSE,"Rachael Heyhoe Flint Trophy",2024,1427819,"Chester Road North Ground, Kidderminster","Kidderminster","Central Sparks","Sunrisers","Sunrisers","field",NA,"Sunrisers","5",NA
"HV Jones",2020-09-19,"South East Stars","Southern Vipers",1,8,14,1,0,57.1428571428571,FALSE,"Rachael Heyhoe Flint Trophy",2020,1229346,"Kennington Oval, London","London","South East Stars","Southern Vipers","South East Stars","bat",NA,"Southern Vipers","4",NA
"KS Castle",2021-09-10,"Sunrisers","Central Sparks",1,8,14,1,0,57.1428571428571,FALSE,"Rachael Heyhoe Flint Trophy",2021,1252282,"Merchant Taylors' School Ground, Northwood","Northwood","Sunrisers","Central Sparks","Central Sparks","field",NA,"Central Sparks","6",NA
"L Marshall",2022-09-18,"Thunder","Western Storm",1,8,14,1,0,57.1428571428571,FALSE,"Rachael Heyhoe Flint Trophy",2022,1297951,"Old Trafford, Manchester","Manchester","Thunder","Western Storm","Western Storm","field",NA,"Western Storm","2",NA
"R MacDonald-Gay",2022-09-21,"South East Stars","Southern Vipers",1,8,14,1,0,57.1428571428571,FALSE,"Rachael Heyhoe Flint Trophy",2022,1297955,"Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","Southern Vipers","South East Stars","bat",NA,"Southern Vipers","6",NA
"R Southby",2020-09-19,"South East Stars","Southern Vipers",1,8,14,0,0,57.1428571428571,TRUE,"Rachael Heyhoe Flint Trophy",2020,1229346,"Kennington Oval, London","London","South East Stars","Southern Vipers","South East Stars","bat",NA,"Southern Vipers","4",NA
"R Southby",2022-07-16,"South East Stars","Thunder",1,8,14,1,0,57.1428571428571,FALSE,"Rachael Heyhoe Flint Trophy",2022,1297936,"Trafalgar Road Ground, Southport","Southport","South East Stars","Thunder","South East Stars","bat",NA,"South East Stars",NA,"52"
"SL Kalis",2022-09-11,"Northern Diamonds","Western Storm",1,8,14,1,0,57.1428571428571,FALSE,"Rachael Heyhoe Flint Trophy",2022,1297950,"The Cooper Associates County Ground, Taunton","Taunton","Northern Diamonds","Western Storm","Northern Diamonds","bat",NA,"Northern Diamonds",NA,"104"
"C Brewer",2024-04-27,"Central Sparks","South East Stars",2,8,15,2,0,53.3333333333333,FALSE,"Rachael Heyhoe Flint Trophy",2024,1427814,"Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","Central Sparks","South East Stars","bat",NA,"South East Stars",NA,"71"
"CAE Hill",2022-09-17,"Southern Vipers","Northern Diamonds",1,8,15,1,0,53.3333333333333,FALSE,"Rachael Heyhoe Flint Trophy",2022,1297952,"Headingley, Leeds","Leeds","Southern Vipers","Northern Diamonds","Southern Vipers","bat",NA,"Northern Diamonds","4",NA
"CE Dean",2023-04-22,"Southern Vipers","Sunrisers",2,8,15,1,0,53.3333333333333,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347403,"The Rose Bowl, Southampton","Southampton","Sunrisers","Southern Vipers","Sunrisers","bat",NA,"Sunrisers",NA,"126"
"HJ Armitage",2023-07-07,"Northern Diamonds","The Blaze",1,8,15,0,0,53.3333333333333,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347427,"Queen's Park, Chesterfield","Chesterfield","Northern Diamonds","The Blaze","Northern Diamonds","bat",NA,"The Blaze","9",NA
"KA Levick",2020-09-27,"Northern Diamonds","Southern Vipers",2,8,15,1,0,53.3333333333333,TRUE,"Rachael Heyhoe Flint Trophy",2020,1229350,"Edgbaston, Birmingham","Birmingham","Southern Vipers","Northern Diamonds","Northern Diamonds","field","CM Taylor","Southern Vipers",NA,"38"
"PE Turner",2023-05-06,"Northern Diamonds","The Blaze",1,8,15,2,0,53.3333333333333,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347417,"Riverside Ground, Chester-le-Street","Chester-le-Street","Northern Diamonds","The Blaze","The Blaze","field",NA,"The Blaze","4",NA
"R MacDonald-Gay",2023-05-05,"South East Stars","Sunrisers",1,8,15,0,0,53.3333333333333,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347415,"Radlett Cricket Club, Radlett","Radlett","South East Stars","Sunrisers","Sunrisers","field",NA,"South East Stars",NA,"91"
"SL Kalis",2022-09-17,"Northern Diamonds","Southern Vipers",2,8,15,1,0,53.3333333333333,FALSE,"Rachael Heyhoe Flint Trophy",2022,1297952,"Headingley, Leeds","Leeds","Southern Vipers","Northern Diamonds","Southern Vipers","bat",NA,"Northern Diamonds","4",NA
"AD Carr",2022-07-23,"Sunrisers","Southern Vipers",2,8,16,0,0,50,FALSE,"Rachael Heyhoe Flint Trophy",2022,1297939,"The Rose Bowl, Southampton","Southampton","Southern Vipers","Sunrisers","Southern Vipers","bat",NA,"Southern Vipers",NA,"11"
"KS Castle",2020-09-05,"Sunrisers","Western Storm",2,8,16,0,0,50,FALSE,"Rachael Heyhoe Flint Trophy",2020,1229335,"County Ground, Chelmsford","Chelmsford","Western Storm","Sunrisers","Sunrisers","field","FMK Morris","Western Storm",NA,"86"
"L Winfield-Hill",2023-07-22,"Northern Diamonds","Southern Vipers",1,8,16,1,0,50,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347438,"Arundel Castle Cricket Club Ground","Arundel","Northern Diamonds","Southern Vipers","Southern Vipers","field",NA,NA,NA,NA
"R Southby",2024-04-20,"Southern Vipers","South East Stars",1,8,16,1,0,50,FALSE,"Rachael Heyhoe Flint Trophy",2024,1427808,"Kent County Cricket Ground, Beckenham","Beckenham","Southern Vipers","South East Stars","South East Stars","field",NA,"South East Stars","4",NA
"AZ Monaghan",2020-09-11,"Southern Vipers","Sunrisers",1,8,17,0,0,47.0588235294118,FALSE,"Rachael Heyhoe Flint Trophy",2020,1229340,"The Rose Bowl, Southampton","Southampton","Southern Vipers","Sunrisers","Southern Vipers","bat",NA,"Southern Vipers",NA,"49"
"E Windsor",2024-04-20,"Southern Vipers","South East Stars",1,8,17,1,0,47.0588235294118,FALSE,"Rachael Heyhoe Flint Trophy",2024,1427808,"Kent County Cricket Ground, Beckenham","Beckenham","Southern Vipers","South East Stars","South East Stars","field",NA,"South East Stars","4",NA
"FMK Morris",2023-07-02,"Thunder","Central Sparks",2,8,17,1,0,47.0588235294118,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347424,"County Ground, New Road, Worcester","Worcester","Central Sparks","Thunder","Thunder","field",NA,"Central Sparks",NA,"29"
"GM Hennessy",2021-06-05,"Western Storm","South East Stars",1,8,17,1,0,47.0588235294118,FALSE,"Rachael Heyhoe Flint Trophy",2021,1252272,"Kennington Oval, London","London","Western Storm","South East Stars","South East Stars","field",NA,"South East Stars","6",NA
"L Marshall",2022-09-11,"Thunder","Southern Vipers",1,8,17,1,0,47.0588235294118,FALSE,"Rachael Heyhoe Flint Trophy",2022,1297947,"The Rose Bowl, Southampton","Southampton","Thunder","Southern Vipers","Thunder","bat",NA,"Southern Vipers","4",NA
"HE Jones",2021-06-06,"Thunder","Lightning",2,8,18,2,0,44.4444444444444,TRUE,"Rachael Heyhoe Flint Trophy",2021,1252274,"Boughton Hall Cricket Club Ground, Chester","Chester","Lightning","Thunder","Lightning","bat",NA,"Lightning",NA,"134"
"KA Levick",2021-09-25,"Northern Diamonds","Southern Vipers",1,8,18,0,0,44.4444444444444,FALSE,"Rachael Heyhoe Flint Trophy",2021,1252293,"County Ground, Northampton","Northampton","Northern Diamonds","Southern Vipers","Northern Diamonds","bat","E Windsor","Southern Vipers","3",NA
"L Winfield-Hill",2024-05-01,"Northern Diamonds","The Blaze",1,8,19,1,0,42.1052631578947,FALSE,"Rachael Heyhoe Flint Trophy",2024,1427818,"North Marine Road Ground, Scarborough","Scarborough","Northern Diamonds","The Blaze","Northern Diamonds","bat",NA,"The Blaze","2",NA
"SN Luff",2020-08-29,"Western Storm","South East Stars",2,8,19,1,0,42.1052631578947,FALSE,"Rachael Heyhoe Flint Trophy",2020,1229329,"Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","Western Storm","Western Storm","field",NA,"Western Storm","6",NA
