"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","match_referee","winner","winner_runs","winner_wickets","player_of_match","reserve_umpire","method","match_number","outcome","tv_umpire"
1252287,6,"Southern Vipers","Sunrisers","female","2021",2021-09-12,"Rachael Heyhoe Flint Trophy","County Ground, Chelmsford","Chelmsford","Sunrisers","field","SM Bartlett","S McLelland","DW Headley","Southern Vipers",1,NA,"GA Elwiss",NA,NA,NA,NA,NA
1252288,6,"Lightning","Central Sparks","female","2021",2021-09-18,"Rachael Heyhoe Flint Trophy","Haslegrave Ground, Loughborough","Loughborough","Central Sparks","field","J Naeem","N Pratt","DW Headley","Lightning",24,NA,NA,NA,NA,NA,NA,NA
1252289,6,"Thunder","South East Stars","female","2021",2021-09-18,"Rachael Heyhoe Flint Trophy","Kent County Cricket Ground, Beckenham","Beckenham","Thunder","bat","Mark Newell","SM Bartlett","DE Malcolm","Thunder",55,NA,NA,NA,NA,NA,NA,NA
1252290,6,"Western Storm","Sunrisers","female","2021",2021-09-18,"Rachael Heyhoe Flint Trophy","County Ground, Bristol","Bristol","Western Storm","bat","Tom Lungley","Y Dolphin-Cooper","SG Hinks","Western Storm",36,NA,NA,NA,NA,NA,NA,NA
1252291,6,"Northern Diamonds","Southern Vipers","female","2021",2021-09-18,"Rachael Heyhoe Flint Trophy","The Rose Bowl, Southampton","Southampton","Northern Diamonds","bat","IN Ramage","S McLelland","AJ Swann","Southern Vipers",NA,5,NA,NA,NA,NA,NA,NA
1252292,6,"Central Sparks","Northern Diamonds","female","2021",2021-09-22,"Rachael Heyhoe Flint Trophy","North Marine Road Ground, Scarborough","Scarborough","Central Sparks","bat","Rob White","SM Bartlett","AW Smith","Northern Diamonds",NA,6,NA,NA,NA,NA,NA,NA
1252293,6,"Northern Diamonds","Southern Vipers","female","2021",2021-09-25,"Rachael Heyhoe Flint Trophy","County Ground, Northampton","Northampton","Northern Diamonds","bat","J Naeem","N Pratt","JJ Whitaker","Southern Vipers",NA,3,"E Windsor","S McLelland",NA,NA,NA,NA
1297927,6,"South East Stars","Sunrisers","female","2022",2022-07-02,"Rachael Heyhoe Flint Trophy","Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","bat","G Bambury","Mark Newell","AJ Swann","South East Stars",80,NA,NA,NA,NA,NA,NA,NA
1297928,6,"Western Storm","Lightning","female","2022",2022-07-02,"Rachael Heyhoe Flint Trophy","Haslegrave Ground, Loughborough","Loughborough","Lightning","field","J Naeem","Naeem Ashraf","WR Smith","Western Storm",75,NA,NA,NA,"D/L",NA,NA,NA
1297929,6,"Central Sparks","Southern Vipers","female","2022",2022-07-02,"Rachael Heyhoe Flint Trophy","Edgbaston Foundation Community Sports Ground, Birmingham","Birmingham","Southern Vipers","field","J Ibbotson","Tom Lungley","H Pack","Southern Vipers",NA,7,NA,NA,"D/L",NA,NA,NA
1297930,6,"Thunder","Northern Diamonds","female","2022",2022-07-03,"Rachael Heyhoe Flint Trophy","Rookwood, Sale","Sale","Thunder","bat","AY Harris","Hassan Adnan","H Pack","Northern Diamonds",NA,6,NA,NA,NA,NA,NA,NA
1297931,6,"Central Sparks","Western Storm","female","2022",2022-07-09,"Rachael Heyhoe Flint Trophy","County Ground, Bristol","Bristol","Central Sparks","bat","JD Shantry","S McLelland","H Pack","Central Sparks",22,NA,NA,NA,NA,NA,NA,NA
1297932,6,"Northern Diamonds","Sunrisers","female","2022",2022-07-09,"Rachael Heyhoe Flint Trophy","Headingley, Leeds","Leeds","Northern Diamonds","bat","Hassan Adnan","J Naeem","JJ Whitaker","Northern Diamonds",6,NA,NA,NA,NA,NA,NA,NA
1297933,6,"Thunder","Lightning","female","2022",2022-07-09,"Rachael Heyhoe Flint Trophy","Haslegrave Ground, Loughborough","Loughborough","Thunder","bat","J Ibbotson","Surendiran Shanmugam","AM Smith","Lightning",NA,5,NA,NA,NA,NA,NA,NA
1297934,6,"Southern Vipers","South East Stars","female","2022",2022-07-09,"Rachael Heyhoe Flint Trophy","County Ground, Hove","Brighton","South East Stars","field","AC Harris","SM Bartlett","AJ Swann","Southern Vipers",133,NA,NA,NA,NA,NA,NA,NA
1297935,6,"Central Sparks","Northern Diamonds","female","2022",2022-07-16,"Rachael Heyhoe Flint Trophy","County Ground, New Road, Worcester","Worcester","Central Sparks","bat","AC Harris","SM Bartlett","SG Hinks","Northern Diamonds",NA,5,NA,NA,NA,NA,NA,NA
1297936,6,"South East Stars","Thunder","female","2022",2022-07-16,"Rachael Heyhoe Flint Trophy","Trafalgar Road Ground, Southport","Southport","South East Stars","bat","G Bambury","Naeem Ashraf","WR Smith","South East Stars",52,NA,NA,NA,NA,NA,NA,NA
1297937,6,"Sunrisers","Western Storm","female","2022",2022-07-16,"Rachael Heyhoe Flint Trophy","County Ground, Chelmsford","Chelmsford","Sunrisers","bat","RA White","S McLelland","H Pack","Western Storm",NA,3,NA,NA,NA,NA,NA,NA
1297938,6,"Southern Vipers","Lightning","female","2022",2022-07-16,"Rachael Heyhoe Flint Trophy","County Ground, Derby","Derby","Southern Vipers","bat","J Naeem","Surendiran Shanmugam","DE Malcolm","Southern Vipers",66,NA,NA,NA,NA,NA,NA,NA
1297939,6,"Southern Vipers","Sunrisers","female","2022",2022-07-23,"Rachael Heyhoe Flint Trophy","The Rose Bowl, Southampton","Southampton","Southern Vipers","bat","BV Taylor","G Bambury",NA,"Southern Vipers",11,NA,NA,NA,NA,NA,NA,NA
1297940,6,"South East Stars","Western Storm","female","2022",2022-07-23,"Rachael Heyhoe Flint Trophy","College Ground, Cheltenham","Cheltenham","South East Stars","bat","AC Harris","J Naeem","SG Hinks","South East Stars",36,NA,NA,NA,NA,NA,NA,NA
1297941,6,"Thunder","Central Sparks","female","2022",2022-07-23,"Rachael Heyhoe Flint Trophy","Old Trafford, Manchester","Manchester","Central Sparks","field","JD Shantry","S McLelland","AJ Swann","Thunder",28,NA,NA,NA,"D/L",NA,NA,NA
