"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"CE Dean","Southern Vipers",2021,"Rachael Heyhoe Flint Trophy",4,"39.5",4,138,10,13.8,3.46443514644351,23.9,156,0,0,"3/27"
"A Hartley","Thunder",2022,"Rachael Heyhoe Flint Trophy",4,"39.0",9,142,10,14.2,3.64102564102564,23.4,161,0,1,"6/24"
"C Skelton","Western Storm",2022,"Rachael Heyhoe Flint Trophy",4,"39.0",0,172,10,17.2,4.41025641025641,23.4,125,0,1,"5/54"
"KA Levick","Northern Diamonds",2020,"Rachael Heyhoe Flint Trophy",6,"50.0",5,201,10,20.1,4.02,30,195,0,0,"3/22"
"BA Langston","Northern Diamonds",2020,"Rachael Heyhoe Flint Trophy",6,"51.0",5,203,10,20.3,3.98039215686275,30.6,214,0,0,"3/18"
"G Potts","Central Sparks",2022,"Rachael Heyhoe Flint Trophy",6,"47.2",4,206,10,20.6,4.35211267605634,28.4,177,0,0,"2/33"
"KS Castle","Sunrisers",2021,"Rachael Heyhoe Flint Trophy",7,"47.4",3,211,10,21.1,4.42657342657343,28.6,162,0,0,"3/40"
"KA Levick","Northern Diamonds",2024,"Rachael Heyhoe Flint Trophy",6,"59.1",2,235,10,23.5,3.97183098591549,35.5,207,1,0,"4/38"
"HE Jones","Thunder",2024,"Rachael Heyhoe Flint Trophy",6,"51.3",8,240,10,24,4.66019417475728,30.9,184,0,0,"3/37"
"CR Knott","Southern Vipers",2024,"Rachael Heyhoe Flint Trophy",6,"51.0",0,246,10,24.6,4.82352941176471,30.6,156,0,0,"3/35"
"KE Bryce","Lightning",2021,"Rachael Heyhoe Flint Trophy",7,"62.5",8,246,10,24.6,3.91511936339523,37.7,244,1,0,"4/16"
"PE Turner","Northern Diamonds",2024,"Rachael Heyhoe Flint Trophy",6,"53.0",2,246,10,24.6,4.64150943396226,31.8,179,0,0,"3/46"
"CE Dean","Southern Vipers",2023,"Rachael Heyhoe Flint Trophy",7,"60.0",3,248,10,24.8,4.13333333333333,36,219,0,0,"3/18"
"HL Baker","Central Sparks",2023,"Rachael Heyhoe Flint Trophy",7,"55.1",1,271,10,27.1,4.91238670694864,33.1,168,0,0,"2/31"
"Sophia Smale","Western Storm",2024,"Rachael Heyhoe Flint Trophy",6,"51.2",4,279,10,27.9,5.43506493506493,30.8,172,0,0,"3/42"
"A Hartley","Thunder",2021,"Rachael Heyhoe Flint Trophy",7,"68.5",8,295,10,29.5,4.28571428571429,41.3,256,0,0,"2/17"
"A Lee","Southern Vipers",2023,"Rachael Heyhoe Flint Trophy",8,"72.1",2,301,10,30.1,4.17090069284065,43.3,243,0,0,"2/33"
"BF Smith","South East Stars",2023,"Rachael Heyhoe Flint Trophy",14,"63.3",1,301,10,30.1,4.74015748031496,38.1,192,0,0,"3/13"
"TG Norris","Thunder",2023,"Rachael Heyhoe Flint Trophy",10,"68.0",4,354,10,35.4,5.20588235294118,40.8,237,1,0,"4/42"
"KH Brunt","Northern Diamonds",2021,"Rachael Heyhoe Flint Trophy",3,"27.0",9,75,9,8.33333333333333,2.77777777777778,18,131,1,0,"4/23"
"AH Maqsood","Sunrisers",2023,"Rachael Heyhoe Flint Trophy",5,"21.2",1,103,9,11.4444444444444,4.828125,14.2222222222222,70,1,1,"5/30"
"NE Farrant","South East Stars",2021,"Rachael Heyhoe Flint Trophy",3,"26.4",1,124,9,13.7777777777778,4.65,17.7777777777778,97,1,1,"5/33"
"A Hartley","Thunder",2020,"Rachael Heyhoe Flint Trophy",5,"48.0",6,135,9,15,2.8125,32,215,1,0,"4/8"
"T Graves","Lightning",2021,"Rachael Heyhoe Flint Trophy",6,"37.0",1,148,9,16.4444444444444,4,24.6666666666667,135,1,0,"4/39"
"GK Davis","Central Sparks",2021,"Rachael Heyhoe Flint Trophy",4,"40.0",4,152,9,16.8888888888889,3.8,26.6666666666667,160,1,0,"4/26"
"G Ballinger","Lightning",2022,"Rachael Heyhoe Flint Trophy",5,"40.0",2,160,9,17.7777777777778,4,26.6666666666667,155,0,1,"5/29"
"KL Gordon","Lightning",2022,"Rachael Heyhoe Flint Trophy",4,"40.0",5,160,9,17.7777777777778,4,26.6666666666667,155,1,0,"4/31"
"AN Davidson-Richards","South East Stars",2022,"Rachael Heyhoe Flint Trophy",3,"28.0",0,164,9,18.2222222222222,5.85714285714286,18.6666666666667,84,1,0,"4/33"
"JL Gunn","Northern Diamonds",2021,"Rachael Heyhoe Flint Trophy",6,"45.0",2,166,9,18.4444444444444,3.68888888888889,30,178,0,0,"3/10"
"KL Coppack","Sunrisers",2024,"Rachael Heyhoe Flint Trophy",6,"40.0",3,166,9,18.4444444444444,4.15,26.6666666666667,164,0,0,"3/26"
"NE Farrant","South East Stars",2020,"Rachael Heyhoe Flint Trophy",6,"52.0",9,177,9,19.6666666666667,3.40384615384615,34.6666666666667,214,0,0,"3/24"
"E Gray","South East Stars",2022,"Rachael Heyhoe Flint Trophy",7,"45.4",3,194,9,21.5555555555556,4.24817518248175,30.4444444444444,156,0,0,"3/28"
"PJ Scholfield","Southern Vipers",2020,"Rachael Heyhoe Flint Trophy",7,"51.1",2,212,9,23.5555555555556,4.14332247557003,34.1111111111111,186,0,0,"3/33"
"LCN Smith","Southern Vipers",2024,"Rachael Heyhoe Flint Trophy",5,"50.0",6,214,9,23.7777777777778,4.28,33.3333333333333,175,0,0,"3/19"
"A Wellington","Western Storm",2024,"Rachael Heyhoe Flint Trophy",6,"58.0",2,238,9,26.4444444444444,4.10344827586207,38.6666666666667,212,0,0,"3/30"
"LK Bell","Southern Vipers",2021,"Rachael Heyhoe Flint Trophy",6,"53.0",6,238,9,26.4444444444444,4.49056603773585,35.3333333333333,229,0,0,"3/40"
"LM Kasperek","Northern Diamonds",2022,"Rachael Heyhoe Flint Trophy",7,"52.0",0,243,9,27,4.67307692307692,34.6666666666667,160,0,0,"3/39"
"MK Villiers","Sunrisers",2024,"Rachael Heyhoe Flint Trophy",6,"54.0",4,251,9,27.8888888888889,4.64814814814815,36,189,0,0,"3/18"
"A Stonehouse","South East Stars",2023,"Rachael Heyhoe Flint Trophy",12,"55.0",7,258,9,28.6666666666667,4.69090909090909,36.6666666666667,225,0,0,"2/31"
"CE Dean","Southern Vipers",2020,"Rachael Heyhoe Flint Trophy",7,"58.0",2,269,9,29.8888888888889,4.63793103448276,38.6666666666667,185,0,0,"3/50"
"CM Taylor","Southern Vipers",2022,"Rachael Heyhoe Flint Trophy",8,"63.0",4,273,9,30.3333333333333,4.33333333333333,42,217,0,0,"3/31"
"GM Hennessy","Western Storm",2021,"Rachael Heyhoe Flint Trophy",7,"57.0",1,281,9,31.2222222222222,4.92982456140351,38,189,0,0,"3/57"
"ND Dattani","Thunder",2023,"Rachael Heyhoe Flint Trophy",9,"56.0",1,289,9,32.1111111111111,5.16071428571429,37.3333333333333,194,1,0,"4/16"
"S Ecclestone","Thunder",2021,"Rachael Heyhoe Flint Trophy",3,"29.2",3,114,8,14.25,3.88636363636364,22,123,0,0,"3/28"
"S Munro","The Blaze",2024,"Rachael Heyhoe Flint Trophy",4,"34.4",1,124,8,15.5,3.57692307692308,26,129,0,0,"3/28"
"A Patel","Central Sparks",2020,"Rachael Heyhoe Flint Trophy",4,"40.0",3,166,8,20.75,4.15,30,152,0,0,"3/49"
"DR Gibson","Western Storm",2023,"Rachael Heyhoe Flint Trophy",5,"38.0",2,169,8,21.125,4.44736842105263,28.5,152,0,0,"3/42"
"KL Cross","Thunder",2021,"Rachael Heyhoe Flint Trophy",4,"39.0",4,170,8,21.25,4.35897435897436,29.25,159,0,0,"3/35"
"PA Franklin","South East Stars",2022,"Rachael Heyhoe Flint Trophy",6,"37.0",1,170,8,21.25,4.59459459459459,27.75,137,0,0,"2/25"
"S Munro","The Blaze",2023,"Rachael Heyhoe Flint Trophy",6,"35.0",3,174,8,21.75,4.97142857142857,26.25,129,0,0,"3/35"
"GA Elwiss","Southern Vipers",2023,"Rachael Heyhoe Flint Trophy",7,"46.0",5,182,8,22.75,3.95652173913043,34.5,158,0,0,"3/37"
"KS Castle","Sunrisers",2023,"Rachael Heyhoe Flint Trophy",10,"46.0",1,207,8,25.875,4.5,34.5,151,0,0,"2/30"
"S Turner","Northern Diamonds",2024,"Rachael Heyhoe Flint Trophy",6,"37.4",2,236,8,29.5,6.26548672566372,28.25,109,0,0,"2/26"
"LF Higham","Lightning",2022,"Rachael Heyhoe Flint Trophy",6,"46.0",2,239,8,29.875,5.19565217391304,34.5,139,0,0,"3/50"
"L Filer","Western Storm",2023,"Rachael Heyhoe Flint Trophy",5,"37.0",1,242,8,30.25,6.54054054054054,27.75,130,0,0,"3/60"
"IECM Wong","Central Sparks",2023,"Rachael Heyhoe Flint Trophy",8,"46.1",2,259,8,32.375,5.6101083032491,34.625,174,0,0,"2/29"
"AZ Monaghan","Southern Vipers",2023,"Rachael Heyhoe Flint Trophy",9,"47.3",1,264,8,33,5.55789473684211,35.625,136,0,0,"2/19"
"PJ Scholfield","South East Stars",2023,"Rachael Heyhoe Flint Trophy",13,"68.2",6,285,8,35.625,4.17073170731707,51.25,242,0,0,"2/31"
"FMK Morris","Thunder",2023,"Rachael Heyhoe Flint Trophy",10,"80.0",6,350,8,43.75,4.375,60,290,0,0,"3/33"
"S Glenn","Central Sparks",2022,"Rachael Heyhoe Flint Trophy",3,"18.0",2,58,7,8.28571428571429,3.22222222222222,15.4285714285714,72,1,0,"4/23"
"S Ecclestone","Thunder",2024,"Rachael Heyhoe Flint Trophy",3,"30.0",5,85,7,12.1428571428571,2.83333333333333,25.7142857142857,139,0,0,"3/16"
"Sonali Patel","Sunrisers",2021,"Rachael Heyhoe Flint Trophy",3,"25.0",0,142,7,20.2857142857143,5.68,21.4285714285714,85,1,0,"4/40"
"LK Bell","Southern Vipers",2020,"Rachael Heyhoe Flint Trophy",4,"36.0",2,151,7,21.5714285714286,4.19444444444444,30.8571428571429,145,1,0,"4/36"
"GL Adams","Southern Vipers",2020,"Rachael Heyhoe Flint Trophy",7,"37.4",2,154,7,22,4.08849557522124,32.2857142857143,120,0,0,"3/23"
"CK Boycott","Central Sparks",2020,"Rachael Heyhoe Flint Trophy",4,"36.0",1,155,7,22.1428571428571,4.30555555555556,30.8571428571429,127,1,0,"4/40"
"Sonali Patel","Sunrisers",2020,"Rachael Heyhoe Flint Trophy",6,"31.5",2,165,7,23.5714285714286,5.18324607329843,27.2857142857143,107,1,0,"4/52"
"JL Gunn","Northern Diamonds",2020,"Rachael Heyhoe Flint Trophy",6,"40.5",3,168,7,24,4.11428571428571,35,138,0,0,"2/18"
"PA Franklin","South East Stars",2024,"Rachael Heyhoe Flint Trophy",6,"46.0",3,176,7,25.1428571428571,3.82608695652174,39.4285714285714,172,0,0,"3/49"
"J Grewcock","Sunrisers",2024,"Rachael Heyhoe Flint Trophy",6,"57.0",5,188,7,26.8571428571429,3.29824561403509,48.8571428571429,222,0,0,"3/28"
"GL Adams","Southern Vipers",2024,"Rachael Heyhoe Flint Trophy",5,"50.1",1,192,7,27.4285714285714,3.82724252491694,43,153,0,0,"2/23"
"J Gardner","Sunrisers",2020,"Rachael Heyhoe Flint Trophy",6,"38.5",0,208,7,29.7142857142857,5.35622317596567,33.2857142857143,131,0,0,"2/13"
"KJ Wolfe","Sunrisers",2020,"Rachael Heyhoe Flint Trophy",6,"44.2",4,213,7,30.4285714285714,4.80451127819549,38,169,0,0,"2/34"
