"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"CJ Jordan",2023-08-19,"Oval Invincibles","Southern Brave",1,"4.0",0,20,3,5,10,"The Hundred Men's Competition",2023,1355631,"The Rose Bowl, Southampton","Southampton","Oval Invincibles","Southern Brave","Oval Invincibles","bat","TK Curran","Oval Invincibles",NA,"8"
"Haris Rauf",2024-08-01,"London Spirit","Welsh Fire",2,"3.2",0,20,3,5.88235294117647,10,"The Hundred Men's Competition",2024,1417799,"Lord's, London","London","Welsh Fire","London Spirit","London Spirit","field","LA Dawson","London Spirit","3",NA
"PI Walter",2022-08-18,"Southern Brave","Manchester Originals",2,"3.0",0,20,3,6.66666666666667,5,"The Hundred Men's Competition",2022,1299188,"The Rose Bowl, Southampton","Southampton","Manchester Originals","Southern Brave","Southern Brave","field","AD Russell","Manchester Originals",NA,"68"
"SR Patel",2021-07-29,"London Spirit","Trent Rockets",2,"4.0",0,20,3,5,8,"The Hundred Men's Competition",2021,1252675,"Lord's, London","London","Trent Rockets","London Spirit","London Spirit","field","DJM Short","Trent Rockets",NA,"7"
"TS Mills",2023-08-16,"Birmingham Phoenix","Southern Brave",1,"4.0",0,20,3,5,10,"The Hundred Men's Competition",2023,1355627,"The Rose Bowl, Southampton","Southampton","Birmingham Phoenix","Southern Brave","Birmingham Phoenix","bat","TS Mills","Southern Brave","4",NA
"BAC Howell",2023-08-07,"Manchester Originals","Birmingham Phoenix",1,"4.0",0,21,3,5.25,4,"The Hundred Men's Competition",2023,1355615,"Old Trafford, Manchester","Manchester","Manchester Originals","Birmingham Phoenix","Birmingham Phoenix","field","Usama Mir","Manchester Originals",NA,"49"
"RF Higgins",2021-08-18,"London Spirit","Welsh Fire",1,"4.0",0,21,3,5.25,7,"The Hundred Men's Competition",2021,1252697,"Sophia Gardens, Cardiff","Cardiff","London Spirit","Welsh Fire","Welsh Fire","field","GD Phillips","Welsh Fire","3",NA
"SP Narine",2022-08-07,"Welsh Fire","Oval Invincibles",2,"4.0",0,21,3,5.25,8,"The Hundred Men's Competition",2022,1299175,"Sophia Gardens, Cardiff","Cardiff","Oval Invincibles","Welsh Fire","Welsh Fire","field","WG Jacks","Oval Invincibles",NA,"39"
"WD Parnell",2023-08-09,"Trent Rockets","Northern Superchargers",2,"4.0",0,21,3,5.25,8,"The Hundred Men's Competition",2023,1355617,"Trent Bridge, Nottingham","Nottingham","Northern Superchargers","Trent Rockets","Trent Rockets","field","D Wiese","Northern Superchargers",NA,"3"
"KW Richardson",2022-08-23,"Oval Invincibles","Birmingham Phoenix",2,"4.0",0,22,3,5.5,8,"The Hundred Men's Competition",2022,1299193,"Kennington Oval, London","London","Birmingham Phoenix","Oval Invincibles","Oval Invincibles","field","KW Richardson","Birmingham Phoenix",NA,"10"
"M de Lange",2021-07-26,"Northern Superchargers","Trent Rockets",1,"2.4",0,22,3,7.85714285714286,5,"The Hundred Men's Competition",2021,1252672,"Trent Bridge, Nottingham","Nottingham","Northern Superchargers","Trent Rockets","Northern Superchargers","bat","Rashid Khan","Trent Rockets","2",NA
"Rehan Ahmed",2023-08-16,"Birmingham Phoenix","Southern Brave",1,"4.0",0,22,3,5.5,7,"The Hundred Men's Competition",2023,1355627,"The Rose Bowl, Southampton","Southampton","Birmingham Phoenix","Southern Brave","Birmingham Phoenix","bat","TS Mills","Southern Brave","4",NA
"FJ Klaassen",2021-07-22,"Oval Invincibles","Manchester Originals",1,"3.0",0,23,3,7.66666666666667,5,"The Hundred Men's Competition",2021,1252666,"Kennington Oval, London","London","Oval Invincibles","Manchester Originals","Manchester Originals","field","SW Billings","Oval Invincibles",NA,"9"
"L Wood",2023-08-09,"Northern Superchargers","Trent Rockets",1,"4.0",1,23,3,5.75,9,"The Hundred Men's Competition",2023,1355617,"Trent Bridge, Nottingham","Nottingham","Northern Superchargers","Trent Rockets","Trent Rockets","field","D Wiese","Northern Superchargers",NA,"3"
"SR Patel",2022-09-03,"Manchester Originals","Trent Rockets",1,"3.0",0,23,3,7.66666666666667,5,"The Hundred Men's Competition",2022,1299204,"Lord's, London","London","Manchester Originals","Trent Rockets","Manchester Originals","bat","SJ Cook","Trent Rockets","2",NA
"TG Southee",2023-08-24,"Birmingham Phoenix","London Spirit",1,"4.0",0,23,3,5.75,9,"The Hundred Men's Competition",2023,1355637,"Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","London Spirit","London Spirit","field","AF Milne","Birmingham Phoenix",NA,"77"
"A Zampa",2024-07-28,"Welsh Fire","Oval Invincibles",2,"4.0",0,24,3,6,8,"The Hundred Men's Competition",2024,1417795,"Sophia Gardens, Cardiff","Cardiff","Oval Invincibles","Welsh Fire","Welsh Fire","field","A Zampa","Oval Invincibles",NA,"10"
"AAP Atkinson",2023-08-11,"Northern Superchargers","Oval Invincibles",2,"4.0",0,24,3,6,11,"The Hundred Men's Competition",2023,1355620,"Headingley, Leeds","Leeds","Oval Invincibles","Northern Superchargers","Oval Invincibles","bat","JM Cox","Oval Invincibles",NA,"9"
"DJ Worrall",2023-08-20,"Welsh Fire","London Spirit",2,"4.0",0,24,3,6,11,"The Hundred Men's Competition",2023,1355633,"Sophia Gardens, Cardiff","Cardiff","London Spirit","Welsh Fire","London Spirit","bat","TB Abell","Welsh Fire","6",NA
"DR Sams",2022-08-06,"Birmingham Phoenix","Trent Rockets",1,"4.0",0,24,3,6,8,"The Hundred Men's Competition",2022,1299174,"Trent Bridge, Nottingham","Nottingham","Birmingham Phoenix","Trent Rockets","Trent Rockets","field","AD Hales","Trent Rockets","6",NA
"JT Ball",2024-07-28,"Oval Invincibles","Welsh Fire",1,"4.0",0,24,3,6,9,"The Hundred Men's Competition",2024,1417795,"Sophia Gardens, Cardiff","Cardiff","Oval Invincibles","Welsh Fire","Welsh Fire","field","A Zampa","Oval Invincibles",NA,"10"
"RJW Topley",2022-08-14,"Southern Brave","Oval Invincibles",1,"4.0",0,24,3,6,12,"The Hundred Men's Competition",2022,1299184,"Kennington Oval, London","London","Southern Brave","Oval Invincibles","Oval Invincibles","field","WG Jacks","Oval Invincibles","7",NA
"LS Livingstone",2021-08-17,"Northern Superchargers","Birmingham Phoenix",1,"4.0",0,25,3,6.25,6,"The Hundred Men's Competition",2021,1252696,"Headingley, Leeds","Leeds","Northern Superchargers","Birmingham Phoenix","Birmingham Phoenix","field","LS Livingstone","Birmingham Phoenix","8",NA
"Rashid Khan",2022-08-20,"London Spirit","Trent Rockets",1,"4.0",0,25,3,6.25,8,"The Hundred Men's Competition",2022,1299190,"Trent Bridge, Nottingham","Nottingham","London Spirit","Trent Rockets","Trent Rockets","field","C Munro","Trent Rockets","6",NA
"T Shamsi",2021-08-14,"London Spirit","Oval Invincibles",1,"4.0",0,25,3,6.25,9,"The Hundred Men's Competition",2021,1252693,"Kennington Oval, London","London","London Spirit","Oval Invincibles","London Spirit","bat","LJ Evans","Oval Invincibles","2",NA
"TW Hartley",2024-07-29,"Trent Rockets","Manchester Originals",1,"4.0",0,25,3,6.25,6,"The Hundred Men's Competition",2024,1417796,"Old Trafford, Manchester","Manchester","Trent Rockets","Manchester Originals","Manchester Originals","field","T Banton","Trent Rockets",NA,"1"
"AAP Atkinson",2023-08-06,"Welsh Fire","Oval Invincibles",1,"4.0",0,26,3,6.5,10,"The Hundred Men's Competition",2023,1355614,"Kennington Oval, London","London","Welsh Fire","Oval Invincibles","Welsh Fire","bat","TK Curran",NA,NA,NA
"DR Sams",2023-08-01,"Southern Brave","Trent Rockets",2,"3.4",0,26,3,6.84210526315789,9,"The Hundred Men's Competition",2023,1355606,"Trent Bridge, Nottingham","Nottingham","Trent Rockets","Southern Brave","Southern Brave","field","SR Hain","Trent Rockets",NA,"6"
"Rashid Khan",2021-08-01,"Birmingham Phoenix","Trent Rockets",2,"4.0",0,26,3,6.5,7,"The Hundred Men's Competition",2021,1252679,"Edgbaston, Birmingham","Birmingham","Trent Rockets","Birmingham Phoenix","Birmingham Phoenix","field","WCF Smeed","Birmingham Phoenix","6",NA
