"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome"
1299167,5,"Northern Superchargers","Southern Brave","female","2022",2022-08-31,"The Hundred Women's Competition","23","Headingley, Leeds","Leeds","Southern Brave","field","L Wolvaardt","Hassan Adnan","S Redfern","J Pratt","J Naeem","Wayne Noon","Northern Superchargers",NA,20,NA,NA
1299168,5,"Oval Invincibles","Manchester Originals","female","2022",2022-08-31,"The Hundred Women's Competition","24","Old Trafford, Manchester","Manchester","Oval Invincibles","bat","SW Bates","PR Pollard","S McLelland","NJ Llong","NL Bainton","DA Cosker","Oval Invincibles",NA,32,NA,NA
1299169,5,"Southern Brave","Trent Rockets","female","2022",2022-09-02,"The Hundred Women's Competition",NA,"The Rose Bowl, Southampton","Southampton","Trent Rockets","field","TM McGrath","AY Harris","SJ O'Shaughnessy","J Ibbotson","GD Lloyd","SJ Davis","Southern Brave",NA,2,NA,NA
1299170,5,"Southern Brave","Oval Invincibles","female","2022",2022-09-03,"The Hundred Women's Competition",NA,"Lord's, London","London","Southern Brave","bat","M Kapp","BJ Debenham","S Redfern","J Naeem","NJ Llong","Wayne Noon","Oval Invincibles",5,NA,NA,NA
1355572,5,"Southern Brave","Trent Rockets","female","2023",2023-08-01,"The Hundred Women's Competition","1","Trent Bridge, Nottingham","Nottingham","Trent Rockets","field","S Mandhana","AY Harris","J Naeem","S McLelland","S Redfern","H Pack","Southern Brave",NA,27,NA,NA
1355575,5,"Birmingham Phoenix","Northern Superchargers","female","2023",2023-08-03,"The Hundred Women's Competition","4","Headingley, Leeds","Leeds","Northern Superchargers","field","AN Davidson-Richards","N Pratt","S McLelland","S Widdup","NJ Llong","PM Such","Northern Superchargers",7,NA,NA,NA
1355576,5,"Welsh Fire","Southern Brave","female","2023",2023-08-04,"The Hundred Women's Competition","5","The Rose Bowl, Southampton","Southampton","Southern Brave","field","HK Matthews","AY Harris","Tom Lungley","WRP Fernando","PK Baldwin","AM Smith (2)","Welsh Fire",NA,4,NA,NA
1355579,5,"Northern Superchargers","Southern Brave","female","2023",2023-08-06,"The Hundred Women's Competition","8","The Rose Bowl, Southampton","Southampton","Southern Brave","field","R Southby","Mark Newell","S McLelland","F Richards","NL Bainton","SG Hinks","Southern Brave",5,NA,NA,NA
1355580,5,"Oval Invincibles","Welsh Fire","female","2023",2023-08-06,"The Hundred Women's Competition","9","Kennington Oval, London","London","Welsh Fire","field","S Ismail","James Middlebrook","LB Gcuma","G Bambury","PK Baldwin","AJ Swann","Welsh Fire",3,NA,NA,NA
1355581,5,"Birmingham Phoenix","Manchester Originals","female","2023",2023-08-07,"The Hundred Women's Competition","10","Old Trafford, Manchester","Manchester","Manchester Originals","field","FMK Morris","J Naeem","Naeem Ashraf","WRP Fernando","SJ O'Shaughnessy","DA Cosker","Manchester Originals",5,NA,NA,NA
1355582,5,"London Spirit","Southern Brave","female","2023",2023-08-08,"The Hundred Women's Competition","11","Lord's, London","London","Southern Brave","field","ME Bouchier","S McLelland","Tom Lungley","F Richards","AY Harris","H Pack","Southern Brave",5,NA,NA,NA
1355583,5,"Northern Superchargers","Trent Rockets","female","2023",2023-08-09,"The Hundred Women's Competition","12","Trent Bridge, Nottingham","Nottingham","Northern Superchargers","bat","LF Higham","Naeem Ashraf","S Redfern","WRP Fernando","J Naeem","PM Such","Northern Superchargers",NA,9,NA,NA
1355584,5,"Oval Invincibles","Manchester Originals","female","2023",2023-08-09,"The Hundred Women's Competition","13","Kennington Oval, London","London","Manchester Originals","field","R MacDonald-Gay","JD Shantry","S McLelland","S Widdup","NL Bainton","SJ Davis","Oval Invincibles",NA,5,NA,NA
1355585,5,"Welsh Fire","Birmingham Phoenix","female","2023",2023-08-10,"The Hundred Women's Competition","14","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","field","S Ismail","G Bambury","James Middlebrook","F Richards","S Redfern","SM Bartlett","Welsh Fire",NA,3,NA,NA
1355586,5,"Northern Superchargers","Oval Invincibles","female","2023",2023-08-11,"The Hundred Women's Competition","15","Headingley, Leeds","Leeds","Northern Superchargers","bat","P Litchfield","J Ibbotson","N Pratt","F Richards","J Naeem","JJ Whitaker","Northern Superchargers",NA,14,NA,NA
1355587,5,"London Spirit","Trent Rockets","female","2023",2023-08-12,"The Hundred Women's Competition","16","Lord's, London","London","Trent Rockets","field","NR Sciver-Brunt","BJ Debenham","J Naeem","G Bambury","AY Harris","H Pack","Trent Rockets",5,NA,NA,NA
1355588,5,"Welsh Fire","Southern Brave","female","2023",2023-08-12,"The Hundred Women's Competition","17","Sophia Gardens, Cardiff","Cardiff","Southern Brave","field","GL Adams","Rob White","WRP Fernando","BJ Peverall","AG Wharf","DA Cosker","Southern Brave",2,NA,NA,NA
1355589,5,"Northern Superchargers","Manchester Originals","female","2023",2023-08-13,"The Hundred Women's Competition","18","Headingley, Leeds","Leeds","Northern Superchargers","bat","AN Davidson-Richards","J Naeem","N Pratt","S Widdup","SJ O'Shaughnessy","JJ Whitaker","Northern Superchargers",NA,4,"D/L",NA
1355590,5,"Oval Invincibles","Birmingham Phoenix","female","2023",2023-08-13,"The Hundred Women's Competition","19","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","field","M Kapp","JD Shantry","S Redfern","WRP Fernando","GD Lloyd","PM Such","Oval Invincibles",NA,10,NA,NA
1355591,5,"Welsh Fire","Trent Rockets","female","2023",2023-08-14,"The Hundred Women's Competition","20","Sophia Gardens, Cardiff","Cardiff","Welsh Fire","bat","TT Beaumont","G Bambury","Mark Newell","ID Blackwell","AG Wharf","WR Smith","Welsh Fire",NA,41,NA,NA
1355592,5,"London Spirit","Oval Invincibles","female","2023",2023-08-15,"The Hundred Women's Competition","21","Kennington Oval, London","London","Oval Invincibles","field","TG Norris","NL Bainton","S Redfern","WRP Fernando","AY Harris","SM Bartlett","London Spirit",NA,21,NA,NA
