"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","match_referee","winner","winner_runs","winner_innings","outcome","winner_wickets","tv_umpire","toss_uncontested","match_number"
692779,6,"Somerset","Lancashire","male","2014",2014-06-01,"LV= County Championship","Old Trafford, Manchester","Manchester","Somerset","bat",NA,"SA Garratt","NA Mallender",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692781,6,"Durham","Middlesex","male","2014",2014-06-01,"LV= County Championship","Riverside Ground, Chester-le-Street","Chester-le-Street","Middlesex","field",NA,"JH Evans","RT Robinson",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692919,6,"Worcestershire","Surrey","male","2014",2014-06-01,"LV= County Championship","Kennington Oval, London","London","Worcestershire","bat",NA,"AG Wharf","RA Kettleborough",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692921,6,"Glamorgan","Essex","male","2014",2014-06-01,"LV= County Championship","County Ground, Chelmsford","Chelmsford","Glamorgan","bat",NA,"SJ O'Shaughnessy","G Sharp",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692923,6,"Hampshire","Derbyshire","male","2014",2014-06-01,"LV= County Championship","The Rose Bowl, Southampton","Southampton","Derbyshire","field",NA,"NGC Cowley","P Willey",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692925,6,"Leicestershire","Gloucestershire","male","2014",2014-06-02,"LV= County Championship","Grace Road, Leicester","Leicester","Leicestershire","bat",NA,"MJ Saggers","DJ Millns",NA,NA,"Gloucestershire",NA,NA,NA,9,NA,NA,NA
692927,6,"Kent","Essex","male","2014",2014-06-07,"LV= County Championship","St Lawrence Ground, Canterbury","Canterbury","Kent","bat",NA,"NGB Cook","NJ Llong",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692783,6,"Sussex","Somerset","male","2014",2014-06-08,"LV= County Championship","County Ground, Taunton","Taunton","Sussex","bat",NA,"PJ Hartley","NGC Cowley",NA,NA,"Somerset",NA,NA,NA,6,NA,NA,NA
692785,6,"Nottinghamshire","Yorkshire","male","2014",2014-06-08,"LV= County Championship","Headingley, Leeds","Leeds","Nottinghamshire","bat",NA,"AG Wharf","MJ Saggers",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692787,6,"Lancashire","Warwickshire","male","2014",2014-06-08,"LV= County Championship","Edgbaston, Birmingham","Birmingham","Lancashire","bat",NA,"DJ Millns","MR Benson",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
