"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","eliminator"
652285,6,"Cape Cobras","Titans","male","2013/14",2014-01-22,"Ram Slam T20 Challenge",NA,"Newlands, Cape Town","Cape Town","Cape Cobras","bat","HG Kuhn","BM White","BG Jerling","MW Brown",NA,"CJ Mitchley","Cape Cobras",NA,13,NA,NA,NA
652289,6,"Knights","Warriors","male","2013/14",2014-01-22,"Ram Slam T20 Challenge",NA,"Diamond Oval, Kimberley","Kimberley","Warriors","field","WL Coetsee","BP Jele","KH Hurter","RN Hendricks",NA,"A Barnes","Knights",NA,5,NA,NA,NA
652291,6,"Dolphins","Cape Cobras","male","2013/14",2014-01-24,"Ram Slam T20 Challenge",NA,"Boland Park, Paarl","Paarl","Dolphins","bat","JM Kemp","BG Jerling","GH Pienaar","IH van Kerwel",NA,"CJ Mitchley","Dolphins",NA,7,NA,NA,NA
652293,6,"Warriors","Titans","male","2013/14",2014-01-24,"Ram Slam T20 Challenge",NA,"Buffalo Park, East London","East London","Titans","field",NA,"BM White","KH Hurter","IL Howell",NA,"SB Lambson",NA,NA,NA,NA,"no result",NA
652297,6,"Warriors","Dolphins","male","2013/14",2014-01-26,"Ram Slam T20 Challenge",NA,"Kingsmead, Durban","Durban","Warriors","bat","J Theron","AT Holdstock","A Paleker","LB Gcuma","BM White","S Wadvalla","Warriors",NA,2,NA,NA,NA
652305,6,"Titans","Dolphins","male","2013/14",2014-01-29,"Ram Slam T20 Challenge",NA,"SuperSport Park, Centurion","Centurion","Dolphins","field","M Shezi","GH Pienaar","MW Brown","KH Hurter","BP Jele","CJ Mitchley","Dolphins",8,NA,NA,NA,NA
652307,6,"Dolphins","Knights","male","2013/14",2014-01-31,"Ram Slam T20 Challenge",NA,"Kingsmead, Durban","Durban","Knights","field","KJ Abbott","BM White","DJ Smith","KH Hurter","LB Gcuma","CJ Mitchley","Dolphins",NA,40,"D/L",NA,NA
652309,6,"Lions","Cape Cobras","male","2013/14",2014-01-31,"Ram Slam T20 Challenge",NA,"New Wanderers Stadium, Johannesburg","Johannesburg","Cape Cobras","field","Q de Kock","EC Hendrikse","MW Brown","GH Pienaar",NA,"SB Lambson","Cape Cobras",7,NA,NA,NA,NA
652311,6,"Warriors","Cape Cobras","male","2013/14",2014-02-02,"Ram Slam T20 Challenge",NA,"Newlands, Cape Town","Cape Town","Warriors","bat","JM Kemp","BP Jele","IL Howell","MW Brown","EC Hendrikse","A Barnes","Cape Cobras",6,NA,NA,NA,NA
652313,6,"Knights","Titans","male","2013/14",2014-02-02,"Ram Slam T20 Challenge",NA,"Diamond Oval, Kimberley","Kimberley","Titans","field","Saeed Ajmal","AT Holdstock","KH Hurter","BDA Westraadt",NA,"S Wadvalla","Titans",8,NA,NA,NA,NA
