"striker","start_date","batting_team","bowling_team","innings","Runs","BallsFaced","Fours","Sixes","StrikeRate","NotOuts","Average","Hundreds","Fifties","HighScore","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"JJS Sangha",2022-12-01,"New South Wales","Victoria",2,63,174,8,1,36.2068965517241,0,31.5,0,0,44,"Sheffield Shield","2022/23",1322411,"Junction Oval, Melbourne","Melbourne","Victoria","New South Wales","New South Wales","field","W Sutherland","Victoria",NA,"69"
"CH Stobo",2022-11-22,"Western Australia","New South Wales",2,63,155,6,0,40.6451612903226,0,31.5,0,0,36,"Sheffield Shield","2022/23",1322409,"Sydney Cricket Ground","Sydney","Western Australia","New South Wales","Western Australia","bat","CJ Green","Western Australia",NA,"133"
"MS Harris",2022-02-09,"Victoria","South Australia",2,63,153,5,1,41.1764705882353,0,31.5,0,1,58,"Sheffield Shield","2021/22",1270451,"Adelaide Oval","Adelaide","South Australia","Victoria","South Australia","bat","PSP Handscomb",NA,NA,NA
"J Goodwin",2023-10-04,"Western Australia","Victoria",1,63,148,5,0,42.5675675675676,0,63,0,1,63,"Sheffield Shield","2023/24",1391772,"Western Australia Cricket Association Ground, Perth","Perth","Victoria","Western Australia","Western Australia","field","CT Bancroft","Western Australia",NA,"53"
"JD Dalton",2017-12-03,"South Australia","Queensland",2,63,134,8,0,47.0149253731343,0,31.5,0,1,53,"Sheffield Shield","2017/18",1118878,"Cazaly's Stadium, Cairns","Cairns","South Australia","Queensland","South Australia","bat","JA Burns",NA,NA,NA
"CA Wakim",2020-02-24,"Tasmania","Western Australia",2,63,126,8,0,50,0,31.5,0,1,57,"Marsh Sheffield Shield","2019/20",1196136,"Bellerive Oval, Hobart","Hobart","Western Australia","Tasmania","Tasmania","field","BJ Webster","Tasmania","5",NA
"SE Marsh",2020-02-14,"Western Australia","South Australia",2,63,112,10,0,56.25,0,31.5,0,1,63,"Marsh Sheffield Shield","2019/20",1196133,"Adelaide Oval","Adelaide","South Australia","Western Australia","Western Australia","field","DJ Worrall","South Australia",NA,"109"
"CT Bancroft",2019-03-03,"Western Australia","South Australia",2,63,111,7,0,56.7567567567568,0,31.5,0,1,52,"Sheffield Shield","2018/19",1150131,"Western Australia Cricket Association Ground, Perth","Perth","South Australia","Western Australia","Western Australia","field","M Kelly","Western Australia","6",NA
"JA Freeman",2023-03-14,"Tasmania","Queensland",1,63,101,8,0,62.3762376237624,1,Inf,0,1,63,"Sheffield Shield","2022/23",1322423,"Bellerive Oval, Hobart","Hobart","Tasmania","Queensland","Queensland","field","BJ Webster",NA,NA,NA
"JR Doran",2023-03-14,"Tasmania","Queensland",2,63,100,12,0,63,0,31.5,0,1,58,"Sheffield Shield","2022/23",1322423,"Bellerive Oval, Hobart","Hobart","Tasmania","Queensland","Queensland","field","BJ Webster",NA,NA,NA
