"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","match_referee","outcome","winner","winner_runs","winner_wickets","tv_umpire","winner_innings","reserve_umpire"
1244510,6,"Tasmania","New South Wales","male","2020/21",2021-03-20,"Sheffield Shield","19","Bellerive Oval, Hobart","Hobart","New South Wales","field","JM Bird","DR Close","MW Graham-Smith","David Johnston",NA,"Tasmania",298,NA,NA,NA,NA
1251083,6,"New South Wales","Queensland","male","2020/21",2021-04-03,"Sheffield Shield","22","North Dalton Park, Wollongong","Wollongong","Queensland","field","NM Lyon","P Wilson","GA Abood","SR Bernard","draw",NA,NA,NA,NA,NA,NA
1251084,6,"South Australia","Victoria","male","2020/21",2021-04-03,"Sheffield Shield","23","Junction Oval, Melbourne","Melbourne","South Australia","bat","JM Holland","SJ Nogajski","PJ Gillespie","RL Parry","draw",NA,NA,NA,NA,NA,NA
1251085,6,"Tasmania","Western Australia","male","2020/21",2021-04-03,"Sheffield Shield","24","Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","BJ Webster","SAJ Craig","MW Graham-Smith","Dave Gilbert",NA,"Tasmania",175,NA,NA,NA,NA
1244521,6,"New South Wales","Queensland","male","2020/21",2021-04-15,"Sheffield Shield",NA,"Allan Border Field, Brisbane","Brisbane","New South Wales","bat","M Labuschagne","SJ Nogajski","P Wilson","RL Parry",NA,"Queensland",33,NA,"DM Koch","1",NA
1270436,6,"Western Australia","South Australia","male","2021/22",2021-09-24,"Sheffield Shield","1","Karen Rolton Oval, Adelaide","Adelaide","Western Australia","bat","TM Head","MW Graham-Smith","SJ Nogajski","SD Fry","draw",NA,NA,NA,NA,NA,NA
1270435,6,"Tasmania","Queensland","male","2021/22",2021-10-07,"Sheffield Shield","2","Karen Rolton Oval, Adelaide","Adelaide","Tasmania","bat","TP Ward","DM Koch","DR Close","SD Fry","draw",NA,NA,NA,NA,NA,NA
1270448,6,"Queensland","South Australia","male","2021/22",2021-10-15,"Sheffield Shield","3","Adelaide Oval","Adelaide","South Australia","field","MT Steketee","SAJ Craig","DM Koch","SJ Davis","draw",NA,NA,NA,NA,NA,NA
1270452,6,"Western Australia","Tasmania","male","2021/22",2021-10-17,"Sheffield Shield","4","Western Australia Cricket Association Ground, Perth","Perth","Tasmania","field","L Neil-Smith","MW Graham-Smith","SJ Nogajski","David Johnston",NA,"Tasmania",NA,3,NA,NA,NA
1270442,6,"Victoria","New South Wales","male","2021/22",2021-10-27,"Sheffield Shield","7","Drummoyne Oval, Sydney","Sydney","Victoria","bat","NJ Maddinson","GJ Davidson","GA Abood","Dave Gilbert",NA,"Victoria",204,NA,NA,NA,NA
1270437,6,"Victoria","New South Wales","male","2021/22",2021-11-05,"Sheffield Shield","8","Melbourne Cricket Ground","Melbourne","New South Wales","field","SM Boland","PJ Gillespie","AK Wilds","RL Parry",NA,"Victoria",174,NA,NA,NA,NA
1270446,6,"South Australia","Tasmania","male","2021/22",2021-11-10,"Sheffield Shield","10","Bellerive Oval, Hobart","Hobart","Tasmania","field","HJ Hunt","SJ Nogajski","DR Close","David Johnston","draw",NA,NA,NA,NA,NA,NA
1270456,6,"Queensland","Western Australia","male","2021/22",2021-11-10,"Sheffield Shield","9","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Western Australia","field","JA Richardson","BNJ Oxenford","SAJ Craig","Kepler Wessels",NA,"Western Australia",NA,7,NA,NA,NA
1270462,6,"New South Wales","Victoria","male","2021/22",2021-11-20,"Sheffield Shield","11","Sydney Cricket Ground","Sydney","Victoria","field","TJ Dean","PJ Gillespie","BC Treloar","RW Stratford","draw",NA,NA,NA,NA,NA,NA
1270441,6,"Queensland","South Australia","male","2021/22",2021-11-23,"Sheffield Shield","13","Karen Rolton Oval, Adelaide","Adelaide","South Australia","field","MP Kuhnemann","MW Graham-Smith","DM Koch","SJ Davis",NA,"Queensland",NA,8,NA,NA,NA
1270451,6,"South Australia","Victoria","male","2021/22",2022-02-09,"Sheffield Shield","14","Adelaide Oval","Adelaide","South Australia","bat","PSP Handscomb","GJ Davidson","D Taylor","SD Fry","draw",NA,NA,NA,NA,NA,NA
1270459,6,"Queensland","New South Wales","male","2021/22",2022-02-09,"Sheffield Shield","15","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","New South Wales","field","CP Tremain","AK Wilds","BC Treloar","Kepler Wessels",NA,"New South Wales",NA,2,NA,NA,NA
1270447,6,"New South Wales","Tasmania","male","2021/22",2022-02-18,"Sheffield Shield","17","Sydney Cricket Ground","Sydney","New South Wales","bat","H Kerr","GA Abood","AK Wilds","Dave Gilbert",NA,"New South Wales",75,NA,NA,NA,NA
1270453,6,"Queensland","Victoria","male","2021/22",2022-02-18,"Sheffield Shield","16","Junction Oval, Melbourne","Melbourne","Queensland","bat","NJ Maddinson","GJ Davidson","SA Lightbody","RL Parry","draw",NA,NA,NA,NA,NA,NA
1270440,6,"Tasmania","Victoria","male","2021/22",2022-03-15,"Sheffield Shield","20","Junction Oval, Melbourne","Melbourne","Tasmania","bat","TJ Dean","NR Johnstone","SAJ Craig","RW Stratford",NA,"Victoria",NA,2,NA,NA,NA
1270445,6,"Western Australia","New South Wales","male","2021/22",2022-03-15,"Sheffield Shield","19","Bankstown Oval, Sydney","Sydney","Western Australia","bat","CT Bancroft","GA Abood","GJ Davidson","Kent Hannam","draw",NA,NA,NA,NA,NA,NA
1270438,6,"New South Wales","South Australia","male","2021/22",2022-03-23,"Sheffield Shield","22","Karen Rolton Oval, Adelaide","Adelaide","South Australia","field","JJS Sangha","DM Koch","SAJ Craig","SD Fry",NA,"South Australia",NA,5,NA,NA,NA
1270455,6,"Queensland","Tasmania","male","2021/22",2022-03-23,"Sheffield Shield","21","Bellerive Oval, Hobart","Hobart","Tasmania","field","SL Rainbird","MW Graham-Smith","SJ Nogajski","David Johnston",NA,"Tasmania",231,NA,NA,"1",NA
1270461,6,"Victoria","Western Australia","male","2021/22",2022-03-23,"Sheffield Shield","23","Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","HWR Cartwright","GA Abood","PJ Gillespie","SR Bernard",NA,"Western Australia",51,NA,NA,"1",NA
1270465,6,"Western Australia","Victoria","male","2021/22",2022-03-31,"Sheffield Shield",NA,"Western Australia Cricket Association Ground, Perth","Perth","Victoria","field","SM Whiteman","DM Koch","SJ Nogajski","RL Parry","draw",NA,NA,NA,NA,NA,"PJ Gillespie"
1322396,6,"New South Wales","Western Australia","male","2022/23",2022-10-03,"Sheffield Shield",NA,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","LR Morris","GA Abood","MW Graham-Smith","SD Fry",NA,"Western Australia",NA,8,NA,NA,NA
1322397,6,"Tasmania","Queensland","male","2022/23",2022-10-06,"Sheffield Shield","2","Allan Border Field, Brisbane","Brisbane","Queensland","field","GS Sandhu","BNJ Oxenford","NR Johnstone","Kepler Wessels",NA,"Queensland",172,NA,NA,"1",NA
1322398,6,"Victoria","South Australia","male","2022/23",2022-10-06,"Sheffield Shield","3","Karen Rolton Oval, Adelaide","Adelaide","South Australia","field","W Sutherland","BC Treloar","GJ Davidson","SJ Davis","draw",NA,NA,NA,NA,NA,NA
1322399,6,"South Australia","Tasmania","male","2022/23",2022-10-16,"Sheffield Shield","4","Adelaide Oval","Adelaide","South Australia","bat","PM Siddle","BNJ Oxenford","GA Abood","SJ Davis",NA,"Tasmania",NA,7,NA,NA,NA
1322400,6,"Western Australia","Victoria","male","2022/23",2022-10-17,"Sheffield Shield","5","Junction Oval, Melbourne","Melbourne","Western Australia","bat","PSP Handscomb","NR Johnstone","SAJ Craig","RL Parry","draw",NA,NA,NA,NA,NA,NA
