"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","match_referee","outcome","winner","winner_runs","winner_wickets","tv_umpire","winner_innings","reserve_umpire"
1322401,6,"New South Wales","Queensland","male","2022/23",2022-10-18,"Sheffield Shield","6","Drummoyne Oval, Sydney","Sydney","Queensland","field","MT Renshaw","GJ Davidson","SA Lightbody","Dave Gilbert","draw",NA,NA,NA,NA,NA,NA
1322402,6,"Victoria","Tasmania","male","2022/23",2022-10-29,"Sheffield Shield","7","Bellerive Oval, Hobart","Hobart","Tasmania","field","JC Silk","D Taylor","MW Graham-Smith","David Johnston","draw",NA,NA,NA,NA,NA,NA
1322403,6,"New South Wales","South Australia","male","2022/23",2022-10-31,"Sheffield Shield","8","North Dalton Park, Wollongong","Wollongong","New South Wales","bat","WA Agar","BC Treloar","SJ Nogajski","SR Bernard","draw",NA,NA,NA,NA,NA,NA
1322404,6,"Queensland","Western Australia","male","2022/23",2022-10-31,"Sheffield Shield","9","Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","AM Hardie","SAJ Craig","SA Lightbody","RW Stratford",NA,"Western Australia",NA,3,NA,NA,NA
1322405,6,"Victoria","Queensland","male","2022/23",2022-11-10,"Sheffield Shield","10","Allan Border Field, Brisbane","Brisbane","Victoria","bat","MG Neser","GA Abood","PJ Gillespie","Kepler Wessels",NA,"Queensland",10,NA,NA,"1",NA
1322406,6,"South Australia","Western Australia","male","2022/23",2022-11-11,"Sheffield Shield","11","Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","SM Whiteman","BNJ Oxenford","MW Graham-Smith","Dave Gilbert",NA,"Western Australia",28,NA,NA,"1",NA
1322407,6,"Tasmania","New South Wales","male","2022/23",2022-11-12,"Sheffield Shield","12","Bellerive Oval, Hobart","Hobart","New South Wales","field","MS Wade","DM Koch","GJ Davidson","David Johnston","draw",NA,NA,NA,NA,NA,NA
1322408,6,"South Australia","Queensland","male","2022/23",2022-11-20,"Sheffield Shield","13","Adelaide Oval","Adelaide","Queensland","field","N McAndrew","NR Johnstone","SAJ Craig","SJ Davis","draw",NA,NA,NA,NA,NA,NA
1322409,6,"Western Australia","New South Wales","male","2022/23",2022-11-22,"Sheffield Shield","14","Sydney Cricket Ground","Sydney","Western Australia","bat","CJ Green","BC Treloar","MW Graham-Smith","David Johnston",NA,"Western Australia",133,NA,NA,NA,NA
1322410,6,"Victoria","Tasmania","male","2022/23",2022-11-24,"Sheffield Shield","15","Melbourne Cricket Ground","Melbourne","Tasmania","field","JM Bird","GJ Davidson","SA Lightbody","Kent Hannam",NA,"Tasmania",NA,4,NA,NA,NA
1322411,6,"Victoria","New South Wales","male","2022/23",2022-12-01,"Sheffield Shield","16","Junction Oval, Melbourne","Melbourne","New South Wales","field","W Sutherland","PJ Gillespie","SAJ Craig","RW Stratford",NA,"Victoria",69,NA,NA,NA,NA
1322412,6,"South Australia","Tasmania","male","2022/23",2022-12-01,"Sheffield Shield","17","Bellerive Oval, Hobart","Hobart","Tasmania","field","NA McSweeney","DM Koch","NR Johnstone","David Johnston",NA,"South Australia",208,NA,NA,NA,NA
1322413,6,"Queensland","Western Australia","male","2022/23",2022-12-01,"Sheffield Shield","18","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Western Australia","field","CT Bancroft","BC Treloar","BNJ Oxenford","Kent Hannam","draw",NA,NA,NA,NA,NA,NA
1322414,6,"Victoria","Queensland","male","2022/23",2023-02-09,"Sheffield Shield","19","Melbourne Cricket Ground","Melbourne","Queensland","field","MS Harris","PJ Gillespie","Troy Penman","RL Parry",NA,"Victoria",164,NA,NA,NA,NA
1322415,6,"South Australia","Western Australia","male","2022/23",2023-02-10,"Sheffield Shield","20","Adelaide Oval","Adelaide","Western Australia","field","DR Drew","P Wilson","SE Dionysius","SD Fry",NA,"South Australia",164,NA,NA,NA,NA
1322416,6,"New South Wales","Tasmania","male","2022/23",2023-02-11,"Sheffield Shield","21","Sydney Cricket Ground","Sydney","New South Wales","bat","DP Hughes","DM Koch","GA Abood","Dave Gilbert","draw",NA,NA,NA,NA,NA,NA
1322417,6,"Victoria","South Australia","male","2022/23",2023-02-20,"Sheffield Shield","22","Junction Oval, Melbourne","Melbourne","Victoria","bat","MW Short","DM Koch","SA Lightbody","RW Stratford",NA,"Victoria",177,NA,NA,NA,NA
