"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"JA Richardson","Western Australia","2022/23","Sheffield Shield",3,58.2,21,137,6,22.8333333333333,2.34857142857143,58.3333333333333,287,1,0,"4/40"
"A Zampa","New South Wales","2022/23","Sheffield Shield",4,53,10,147,6,24.5,2.77358490566038,53,240,0,0,"3/41"
"L Scott","South Australia","2021/22","Sheffield Shield",7,72,24,149,6,24.8333333333333,2.06944444444444,72,369,0,0,"3/16"
"JA Richardson","Western Australia","2019/20","Marsh Sheffield Shield",3,74.1,26,165,6,27.5,2.2247191011236,74.1666666666667,371,0,0,"3/40"
"JS Paris","Western Australia","2020/21","Sheffield Shield",4,78.3,28,165,6,27.5,2.10191082802548,78.5,400,0,0,"2/10"
"L Neil-Smith","Tasmania","2022/23","Sheffield Shield",4,53,15,169,6,28.1666666666667,3.18867924528302,53,249,0,0,"2/58"
"CJ Gannon","Western Australia","2022/23","Sheffield Shield",4,53,12,176,6,29.3333333333333,3.32075471698113,53,257,1,0,"4/93"
"B Stanlake","Queensland","2018/19","Sheffield Shield",4,58.1,12,196,6,32.6666666666667,3.36962750716332,58.1666666666667,265,0,0,"3/79"
"JA Freeman","Tasmania","2021/22","Sheffield Shield",4,79.1,18,225,6,37.5,2.84210526315789,79.1666666666667,362,0,0,"3/48"
"JR Hazlewood","New South Wales","2020/21","Sheffield Shield",5,89,22,225,6,37.5,2.52808988764045,89,420,0,0,"3/77"
"LC Hatcher","New South Wales","2019/20","Marsh Sheffield Shield",4,59,10,230,6,38.3333333333333,3.89830508474576,59,249,0,0,"3/52"
"GT Bell","Tasmania","2020/21","Sheffield Shield",4,71,10,244,6,40.6666666666667,3.43661971830986,71,315,0,0,"2/20"
"AL Fekete","Tasmania","2017/18","Sheffield Shield",5,75,8,256,6,42.6666666666667,3.41333333333333,75,338,0,0,"2/20"
"DJM Moody","Western Australia","2022/23","Sheffield Shield",6,70.3,11,272,6,45.3333333333333,3.85815602836879,70.5,311,0,0,"3/28"
"HNA Conway","New South Wales","2021/22","Sheffield Shield",10,117,26,323,6,53.8333333333333,2.76068376068376,117,553,0,0,"2/11"
"A Zampa","South Australia","2017/18","Sheffield Shield",5,123,17,410,6,68.3333333333333,3.33333333333333,123,506,0,0,"2/99"
"GT Bell","Tasmania","2017/18","Sheffield Shield",2,25,5,58,5,11.6,2.32,30,121,1,0,"4/38"
"MC Henriques","New South Wales","2018/19","Sheffield Shield",4,20,3,59,5,11.8,2.95,24,88,0,0,"3/7"
"JA Richardson","Western Australia","2023/24","Sheffield Shield",2,34,12,63,5,12.6,1.85294117647059,40.8,177,1,0,"4/36"
"JS Paris","Western Australia","2017/18","Sheffield Shield",2,39,13,83,5,16.6,2.12820512820513,46.8,194,0,0,"3/52"
"CA Vidler","Queensland","2023/24","Sheffield Shield",2,19.2,2,88,5,17.6,4.55172413793103,23.2,76,0,0,"3/38"
"BJ Webster","Tasmania","2019/20","Marsh Sheffield Shield",4,30.5,2,107,5,21.4,3.47027027027027,37,121,0,0,"3/44"
