"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"A Shahzad",2014-07-08,"Warwickshire","Nottinghamshire",2,"3.0",0,27,1,9,8,"NatWest T20 Blast",2014,693191,"Edgbaston","Birmingham","Nottinghamshire","Warwickshire","Warwickshire","field","SJ Mullaney","Nottinghamshire",NA,"6"
"AAP Atkinson",2021-06-23,"Somerset","Surrey",2,"3.4",0,27,1,7.36363636363636,8,"Vitality Blast",2021,1250296,"Kennington Oval, London","London","Surrey","Somerset","Somerset","field","JC Hildreth","Somerset","7",NA
"AC Thomas",2014-05-18,"Surrey","Somerset",1,"4.0",0,27,1,6.75,9,"NatWest T20 Blast",2014,693029,"The Cooper Associates County Ground","Taunton","Surrey","Somerset","Somerset","field","JJ Roy","Surrey",NA,"14"
"AF Milne",2019-08-02,"Sussex","Kent",2,"3.0",0,27,1,9,5,"Vitality Blast",2019,1167171,"County Ground, Hove","Brighton","Sussex","Kent","Sussex","field","LJ Evans","Sussex","9",NA
"AK Russell",2022-06-03,"Lancashire","Northamptonshire",2,"4.0",0,27,1,6.75,9,"Vitality Blast",2022,1297831,"Old Trafford, Manchester","Manchester","Northamptonshire","Lancashire","Northamptonshire","bat",NA,"Lancashire","2",NA
"AK Russell",2023-06-09,"Birmingham Bears","Northamptonshire",1,"4.0",0,27,1,6.75,5,"Vitality Blast",2023,1347630,"Edgbaston, Birmingham","Birmingham","Birmingham Bears","Northamptonshire","Birmingham Bears","bat",NA,"Birmingham Bears",NA,"30"
"AM Ali",2017-08-18,"Nottinghamshire","Leicestershire",2,"2.0",0,27,1,13.5,4,"NatWest T20 Blast",2017,1068423,"Trent Bridge","Nottingham","Leicestershire","Nottinghamshire","Nottinghamshire","field","CS Delport","Leicestershire",NA,"2"
"AM Lilley",2018-07-18,"Leicestershire","Lancashire",1,"3.0",0,27,1,9,4,"Vitality Blast",2018,1127485,"Grace Road","Leicester","Leicestershire","Lancashire","Lancashire","field","LS Livingstone","Lancashire","8",NA
"ASS Nijjar",2022-06-02,"Glamorgan","Essex",2,"2.0",0,27,1,13.5,3,"Vitality Blast",2022,1297828,"Sophia Gardens, Cardiff","Cardiff","Essex","Glamorgan","Glamorgan","field","MG Hogan","Glamorgan","6",NA
"AT Thomson",2019-08-04,"Yorkshire","Birmingham Bears",2,"4.0",0,27,1,6.75,9,"Vitality Blast",2019,1167182,"Headingley","Leeds","Yorkshire","Birmingham Bears","Yorkshire","field","T Kohler-Cadmore",NA,NA,NA
"AU Rashid",2015-06-26,"Leicestershire","Yorkshire",1,"4.0",0,27,1,6.75,9,"NatWest T20 Blast",2015,804597,"Grace Road","Leicester","Leicestershire","Yorkshire","Yorkshire","field","JA Leaning",NA,NA,NA
"AU Rashid",2017-08-11,"Lancashire","Yorkshire",2,"4.0",0,27,1,6.75,10,"NatWest T20 Blast",2017,1068401,"Headingley","Leeds","Yorkshire","Lancashire","Yorkshire","bat","TT Bresnan","Yorkshire",NA,"19"
"Azharullah",2015-08-12,"Sussex","Northamptonshire",1,"3.0",0,27,1,9,4,"NatWest T20 Blast",2015,804699,"County Ground","Hove","Sussex","Northamptonshire","Northamptonshire","field","DJ Willey","Northamptonshire","7",NA
"Azharullah",2017-08-03,"Lancashire","Northamptonshire",2,"4.0",0,27,1,6.75,7,"NatWest T20 Blast",2017,1068378,"County Ground","Northampton","Northamptonshire","Lancashire","Lancashire","field","RK Kleinveldt","Northamptonshire",NA,"11"
"B Swanepoel",2024-06-09,"Middlesex","Kent",2,"4.0",0,27,1,6.75,12,"Vitality Blast",2024,1410403,"St Lawrence Ground, Canterbury","Canterbury","Kent","Middlesex","Middlesex","field",NA,"Middlesex","4",NA
"BA Carse",2019-08-07,"Northamptonshire","Durham",1,"3.0",0,27,1,9,5,"Vitality Blast",2019,1167187,"County Ground","Northampton","Northamptonshire","Durham","Durham","field","AG Wakely","Northamptonshire",NA,"21"
"BA Raine",2015-06-19,"Warwickshire","Leicestershire",1,"4.0",0,27,1,6.75,9,"NatWest T20 Blast",2015,804565,"Edgbaston","Birmingham","Warwickshire","Leicestershire","Warwickshire","bat","BA Raine","Leicestershire","7",NA
"BA Raine",2023-06-18,"Lancashire","Durham",1,"4.0",0,27,1,6.75,6,"Vitality Blast",2023,1347648,"Old Trafford, Manchester","Manchester","Lancashire","Durham","Durham","field",NA,"Lancashire",NA,"7"
"BD Cotton",2015-06-05,"Durham","Derbyshire",1,"4.0",0,27,1,6.75,6,"NatWest T20 Blast",2015,804509,"County Ground","Derby","Durham","Derbyshire","Derbyshire","field","PD Collingwood","Durham",NA,"5"
"BG Lister",2024-06-01,"Birmingham Bears","Nottinghamshire",1,"3.3",0,27,1,7.71428571428571,10,"Vitality Blast",2024,1410383,"Edgbaston, Birmingham","Birmingham","Birmingham Bears","Nottinghamshire","Birmingham Bears","bat","DR Briggs","Birmingham Bears",NA,"22"
"BG Whitehead",2018-08-08,"Leicestershire","Durham",2,"4.0",0,27,1,6.75,9,"Vitality Blast",2018,1127537,"Riverside Ground","Chester-le-Street","Durham","Leicestershire","Durham","bat","TWM Latham","Durham",NA,"14"
"BJ Dwarshuis",2021-06-13,"Lancashire","Worcestershire",1,"4.0",0,27,1,6.75,7,"Vitality Blast",2021,1250254,"County Ground, New Road, Worcester","Worcester","Lancashire","Worcestershire","Lancashire","bat","BL D'Oliveira","Worcestershire","8",NA
"BO Coad",2020-09-14,"Lancashire","Yorkshire",2,"4.0",0,27,1,6.75,16,"Vitality Blast",2020,1207757,"Headingley","Leeds","Yorkshire","Lancashire","Yorkshire","bat","MW Parkinson","Lancashire","6",NA
"BW Sanderson",2019-08-25,"Birmingham Bears","Northamptonshire",1,"3.0",0,27,1,9,7,"Vitality Blast",2019,1167234,"Edgbaston","Birmingham","Birmingham Bears","Northamptonshire","Birmingham Bears","bat","JJ Cobb","Northamptonshire","4",NA
"C de Grandhomme",2017-07-07,"Worcestershire","Warwickshire",1,"3.0",0,27,1,9,7,"NatWest T20 Blast",2017,1068303,"County Ground, New Road","Worcester","Worcestershire","Warwickshire","Warwickshire","field","IR Bell","Warwickshire","8",NA
"C Overton",2014-06-06,"Glamorgan","Somerset",1,"3.0",0,27,1,9,6,"NatWest T20 Blast",2014,693073,"The Cooper Associates County Ground","Taunton","Glamorgan","Somerset","Glamorgan","bat","J Allenby","Glamorgan",NA,"7"
"CAJ Meschede",2015-06-19,"Essex","Glamorgan",1,"4.0",0,27,1,6.75,8,"NatWest T20 Blast",2015,804567,"County Ground","Chelmsford","Essex","Glamorgan","Glamorgan","field","RS Bopara","Essex",NA,"16"
"CAJ Morris",2020-09-13,"Birmingham Bears","Worcestershire",2,"3.1",0,27,1,8.52631578947368,10,"Vitality Blast",2020,1207754,"County Ground, New Road","Worcester","Worcestershire","Birmingham Bears","Worcestershire","bat","SR Hain","Birmingham Bears","6",NA
"CG Harrison",2022-06-06,"Yorkshire","Nottinghamshire",1,"4.0",0,27,1,6.75,6,"Vitality Blast",2022,1297843,"Headingley, Leeds","Leeds","Yorkshire","Nottinghamshire","Nottinghamshire","field",NA,"Yorkshire",NA,"23"
"CJ Green",2019-08-23,"Worcestershire","Birmingham Bears",2,"3.4",0,27,1,7.36363636363636,9,"Vitality Blast",2019,1167225,"Edgbaston","Birmingham","Birmingham Bears","Worcestershire","Birmingham Bears","bat","MM Ali","Worcestershire","9",NA
"CJ Haggett",2015-05-29,"Surrey","Kent",2,"4.0",0,27,1,6.75,10,"NatWest T20 Blast",2015,804495,"The Kent County Cricket Ground","Beckenham","Kent","Surrey","Kent","bat","SA Northeast","Kent",NA,"23"
"CJ Jordan",2017-07-28,"Middlesex","Sussex",1,"3.0",0,27,1,9,10,"NatWest T20 Blast",2017,1068361,"County Ground","Hove","Middlesex","Sussex","Middlesex","bat",NA,NA,NA,NA
"CJ McKay",2015-07-03,"Durham","Leicestershire",1,"4.0",0,27,1,6.75,6,"NatWest T20 Blast",2015,804613,"Riverside Ground","Chester-le-Street","Durham","Leicestershire","Leicestershire","field","MD Stoneman","Durham",NA,"38"
"CJC Wright",2014-06-13,"Nottinghamshire","Warwickshire",2,"4.0",0,27,1,6.75,12,"NatWest T20 Blast",2014,693095,"Trent Bridge","Nottingham","Warwickshire","Nottinghamshire","Warwickshire","bat","LJ Evans","Warwickshire",NA,"18"
"CN Ackermann",2017-08-02,"Nottinghamshire","Leicestershire",1,"3.0",0,27,1,9,5,"NatWest T20 Blast",2017,1068376,"Grace Road","Leicester","Nottinghamshire","Leicestershire","Leicestershire","field",NA,NA,NA,NA
"CN Miles",2021-07-09,"Worcestershire","Birmingham Bears",1,"3.0",0,27,1,9,6,"Vitality Blast",2021,1250341,"County Ground, New Road, Worcester","Worcester","Worcestershire","Birmingham Bears","Worcestershire","bat","BL D'Oliveira","Worcestershire",NA,"49"
"D Moriarty",2020-09-20,"Kent","Surrey",1,"4.0",0,27,1,6.75,11,"Vitality Blast",2020,1207779,"Kennington Oval","London","Kent","Surrey","Surrey","field","LJ Evans","Surrey","6",NA
"D Moriarty",2021-06-21,"Essex","Surrey",2,"4.0",0,27,1,6.75,10,"Vitality Blast",2021,1250289,"Kennington Oval, London","London","Surrey","Essex","Essex","field","SJ Cook","Essex","8",NA
"DA Payne",2023-06-18,"Glamorgan","Gloucestershire",1,"4.0",0,27,1,6.75,12,"Vitality Blast",2023,1347651,"Sophia Gardens, Cardiff","Cardiff","Glamorgan","Gloucestershire","Gloucestershire","field",NA,"Glamorgan",NA,"32"
"DJ Bravo",2016-06-17,"Middlesex","Surrey",2,"3.3",0,27,1,7.71428571428571,6,"NatWest T20 Blast",2016,947181,"Kennington Oval","London","Surrey","Middlesex","Middlesex","field","ZS Ansari","Surrey",NA,"29"
"DJ Lamb",2020-08-27,"Durham","Lancashire",2,"4.0",0,27,1,6.75,8,"Vitality Blast",2020,1207702,"Riverside Ground","Chester-le-Street","Lancashire","Durham","Lancashire","bat","KK Jennings","Lancashire",NA,"27"
"DJ Worrall",2021-06-17,"Middlesex","Gloucestershire",1,"4.0",0,27,1,6.75,13,"Vitality Blast",2021,1250272,"Radlett Cricket Club, Radlett","Radlett","Middlesex","Gloucestershire","Gloucestershire","field","IA Cockbain","Gloucestershire",NA,"2"
"DJM Short",2019-08-07,"Northamptonshire","Durham",1,"4.0",0,27,1,6.75,5,"Vitality Blast",2019,1167187,"County Ground","Northampton","Northamptonshire","Durham","Durham","field","AG Wakely","Northamptonshire",NA,"21"
"DMW Rawlins",2022-05-27,"Gloucestershire","Sussex",1,"3.0",0,27,1,9,6,"Vitality Blast",2022,1297801,"County Ground, Bristol","Bristol","Gloucestershire","Sussex","Sussex","field",NA,"Gloucestershire",NA,"41"
"DY Pennington",2022-07-03,"Nottinghamshire","Worcestershire",2,"3.0",0,27,1,9,10,"Vitality Blast",2022,1297915,"County Ground, New Road, Worcester","Worcester","Worcestershire","Nottinghamshire","Nottinghamshire","field",NA,"Nottinghamshire","5",NA
"EG Barnard",2015-07-03,"Nottinghamshire","Worcestershire",2,"2.0",0,27,1,13.5,4,"NatWest T20 Blast",2015,804619,"Trent Bridge","Nottingham","Worcestershire","Nottinghamshire","Worcestershire","bat","T Kohler-Cadmore","Worcestershire",NA,"20"
"EG Barnard",2016-06-10,"Northamptonshire","Worcestershire",1,"4.0",0,27,1,6.75,10,"NatWest T20 Blast",2016,947161,"County Ground, New Road","Worcester","Worcestershire","Northamptonshire","Worcestershire","field","OB Cox","Worcestershire","3",NA
"FJ Heldreich",2023-05-29,"Derbyshire","Northamptonshire",1,"3.0",0,27,1,9,5,"Vitality Blast",2023,1347588,"County Ground, Derby","Derby","Derbyshire","Northamptonshire","Northamptonshire","field",NA,"Northamptonshire","6",NA
"FJ Hudson-Prentice",2023-06-23,"Glamorgan","Sussex",2,"2.0",0,27,1,13.5,2,"Vitality Blast",2023,1347673,"Sophia Gardens, Cardiff","Cardiff","Sussex","Glamorgan","Sussex","bat",NA,"Sussex",NA,"20"
"GD Elliott",2015-06-26,"Yorkshire","Leicestershire",2,"3.0",0,27,1,9,2,"NatWest T20 Blast",2015,804597,"Grace Road","Leicester","Leicestershire","Yorkshire","Yorkshire","field","JA Leaning",NA,NA,NA
"GF Linde",2022-06-01,"Gloucestershire","Kent",2,"3.3",0,27,1,7.71428571428571,7,"Vitality Blast",2022,1297821,"County Ground, Bristol","Bristol","Kent","Gloucestershire","Gloucestershire","field","DA Payne","Gloucestershire","6",NA
"GF Linde",2023-06-07,"Essex","Kent",2,"4.0",0,27,1,6.75,8,"Vitality Blast",2023,1347626,"St Lawrence Ground, Canterbury","Canterbury","Kent","Essex","Kent","bat","SJ Cook","Essex","4",NA
"GG White",2016-07-29,"Yorkshire","Northamptonshire",1,"3.0",0,27,1,9,6,"NatWest T20 Blast",2016,947341,"County Ground","Northampton","Northamptonshire","Yorkshire","Yorkshire","bat","JA Leaning","Yorkshire",NA,"14"
"GG White",2019-08-07,"Durham","Northamptonshire",2,"4.0",0,27,1,6.75,6,"Vitality Blast",2019,1167187,"County Ground","Northampton","Northamptonshire","Durham","Durham","field","AG Wakely","Northamptonshire",NA,"21"
"GG White",2020-08-29,"Worcestershire","Northamptonshire",1,"4.0",0,27,1,6.75,7,"Vitality Blast",2020,1207710,"County Ground, New Road","Worcester","Worcestershire","Northamptonshire","Northamptonshire","field","PR Stirling","Northamptonshire","9",NA
"GG White",2020-09-03,"Glamorgan","Northamptonshire",1,"4.0",0,27,1,6.75,7,"Vitality Blast",2020,1207732,"Edgbaston","Birmingham","Glamorgan","Northamptonshire","Northamptonshire","field","NL Buck","Northamptonshire","4",NA
"GK Berg",2017-07-07,"Glamorgan","Hampshire",2,"4.0",0,27,1,6.75,5,"NatWest T20 Blast",2017,1068301,"Sophia Gardens","Cardiff","Hampshire","Glamorgan","Glamorgan","field","LD McManus","Hampshire",NA,"22"
"GR Napier",2014-07-12,"Kent","Essex",2,"3.0",0,27,1,9,9,"NatWest T20 Blast",2014,693209,"Castle Park Cricket Ground","Colchester","Essex","Kent","Kent","field","T Westley","Essex",NA,"63"
