"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"MJ Potts",34,"118.1",1,991,46,21.5434782608696,8.38645980253879,15.4130434782609,268,0,0,"3/8"
"JDS Neesham",48,"150.2",0,1398,46,30.3913043478261,9.29933481152993,19.6086956521739,291,2,0,"4/26"
"AF Milne",31,"113.5",2,842,45,18.7111111111111,7.39677891654466,15.1777777777778,294,2,1,"5/11"
"BTJ Wheal",32,"108.4",1,908,45,20.1777777777778,8.35582822085889,14.4888888888889,246,0,1,"5/38"
"GC Viljoen",35,"126.4",0,1054,45,23.4222222222222,8.32105263157895,16.8888888888889,311,0,0,"3/15"
"MD Fisher",41,"132.2",0,1197,45,26.6,9.04534005037783,17.6444444444444,308,0,1,"5/22"
"OE Robinson",45,"144.2",1,1275,45,28.3333333333333,8.83371824480369,19.2444444444444,316,1,0,"4/15"
"JC Archer",33,"121.0",0,1012,44,23,8.36363636363636,16.5,305,1,0,"4/18"
"AM Lilley",73,"178.2",0,1370,44,31.1363636363636,7.68224299065421,24.3181818181818,338,0,0,"3/26"
"MD Taylor",51,"162.5",1,1434,44,32.5909090909091,8.80655066530194,22.2045454545455,363,0,0,"3/16"
"LE Plunkett",39,"125.4",1,1012,43,23.5348837209302,8.05305039787798,17.5348837209302,294,0,0,"3/12"
"U Arshad",43,"130.5",2,1143,43,26.5813953488372,8.73630573248407,18.2558139534884,270,0,0,"3/18"
"Azharullah",43,"137.5",1,1229,43,28.5813953488372,8.91656590084643,19.2325581395349,241,0,0,"3/28"
"DJ Lamb",48,"145.4",1,1288,43,29.953488372093,8.8421052631579,20.3255813953488,228,0,0,"3/23"
"GHS Garton",41,"119.3",3,1023,42,24.3571428571429,8.56066945606694,17.0714285714286,279,3,0,"4/16"
"TW Hartley",54,"170.0",0,1314,42,31.2857142857143,7.72941176470588,24.2857142857143,285,1,0,"4/16"
"GR Napier",34,"125.5",0,1134,41,27.6585365853659,9.01192052980132,18.4146341463415,269,0,0,"3/28"
"MR Quinn",38,"131.1",1,1203,41,29.3414634146341,9.1715374841169,19.1951219512195,267,1,0,"4/35"
"PI Walter",60,"137.0",2,1248,41,30.4390243902439,9.10948905109489,20.0487804878049,270,0,0,"3/24"
"WR Smith",44,"131.0",1,952,40,23.8,7.26717557251908,19.65,254,0,0,"3/15"
"DA Douthwaite",41,"121.4",0,1107,40,27.675,9.0986301369863,18.25,239,1,0,"4/23"
"BWM Mike",43,"106.4",1,1113,40,27.825,10.434375,16,202,1,0,"4/22"
"Imran Qayyum",41,"137.2",0,1125,40,28.125,8.19174757281553,20.6,211,0,1,"5/21"
"P Sisodiya",40,"149.0",1,1223,40,30.575,8.20805369127517,22.35,285,0,0,"3/26"
"DR Sams",29,"106.2",2,922,39,23.6410256410256,8.67084639498433,16.3589743589744,265,1,0,"4/20"
"PD Collingwood",50,"165.3",0,1192,39,30.5641025641026,7.202416918429,25.4615384615385,281,1,0,"4/24"
"NT Ellis",29,"98.0",0,698,38,18.3684210526316,7.12244897959184,15.4736842105263,243,1,0,"4/6"
"CG Harrison",33,"96.4",1,733,38,19.2894736842105,7.58275862068965,15.2631578947368,162,2,0,"4/17"
"JL Denly",47,"119.5",0,963,38,25.3421052631579,8.03616133518776,18.9210526315789,260,0,0,"3/25"
"LBK Hollman",42,"120.2",0,1035,38,27.2368421052632,8.601108033241,19,190,0,0,"3/18"
"CAJ Meschede",52,"132.1",0,1134,38,29.8421052631579,8.58007566204288,20.8684210526316,238,0,0,"3/17"
"SA Patterson",34,"120.1",0,978,37,26.4324324324324,8.13869625520111,19.4864864864865,223,0,0,"3/23"
"ME Milnes",37,"122.0",0,1104,37,29.8378378378378,9.04918032786885,19.7837837837838,237,1,1,"5/22"
"JD Shantry",43,"156.0",0,1353,37,36.5675675675676,8.67307692307692,25.2972972972973,349,0,0,"3/25"
"WMH Rhodes",40,"80.0",0,719,36,19.9722222222222,8.9875,13.3333333333333,136,1,0,"4/34"
"RO Gordon",25,"89.0",0,761,36,21.1388888888889,8.55056179775281,14.8333333333333,196,1,0,"4/20"
