"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"TW Hartley","Lancashire",2022,"Vitality Blast",16,"52.0",0,438,17,25.7647058823529,8.42307692307692,18.3529411764706,91,0,0,"2/21"
"CP Wood","Hampshire",2014,"NatWest T20 Blast",15,"54.4",0,470,17,27.6470588235294,8.59756097560976,19.2941176470588,107,1,0,"4/24"
"JA Thompson","Yorkshire",2022,"Vitality Blast",15,"47.0",0,478,17,28.1176470588235,10.1702127659574,16.5882352941176,84,1,0,"4/32"
"KJ Abbott","Hampshire",2017,"NatWest T20 Blast",15,"54.3",0,487,17,28.6470588235294,8.93577981651376,19.2352941176471,104,0,0,"3/22"
"Yasir Arafat","Hampshire",2015,"NatWest T20 Blast",16,"54.5",0,487,17,28.6470588235294,8.88145896656535,19.3529411764706,99,1,0,"4/37"
"BAC Howell","Gloucestershire",2017,"NatWest T20 Blast",11,"41.0",0,236,16,14.75,5.75609756097561,15.375,97,1,0,"4/29"
"MG Hogan","Glamorgan",2016,"NatWest T20 Blast",13,"40.3",0,276,16,17.25,6.81481481481481,15.1875,94,1,0,"4/28"
"ST Finn","Middlesex",2017,"NatWest T20 Blast",9,"34.0",1,278,16,17.375,8.17647058823529,12.75,82,1,0,"4/24"
"CJ Russell","Worcestershire",2014,"NatWest T20 Blast",8,"30.2",0,280,16,17.5,9.23076923076923,11.375,62,1,0,"4/40"
"TT Bresnan","Birmingham Bears",2021,"Vitality Blast",9,"31.3",0,280,16,17.5,8.88888888888889,11.8125,60,1,0,"4/26"
"DA Payne","Gloucestershire",2020,"Vitality Blast",11,"37.5",0,299,16,18.6875,7.90308370044053,14.1875,88,0,0,"3/18"
"OJ Hannon-Dalby","Birmingham Bears",2018,"Vitality Blast",8,"32.0",0,302,16,18.875,9.4375,12,73,1,0,"4/20"
"NJ Rimmington","Durham",2019,"Vitality Blast",12,"43.5",0,305,16,19.0625,6.95817490494297,16.4375,89,0,0,"3/15"
"SR Patel","Nottinghamshire",2016,"NatWest T20 Blast",12,"48.0",0,312,16,19.5,6.5,18,96,1,0,"4/20"
"BA Raine","Durham",2023,"Vitality Blast",13,"44.5",1,314,16,19.625,7.00371747211896,16.8125,120,1,0,"4/30"
"AM Lilley","Lancashire",2015,"NatWest T20 Blast",16,"49.0",0,317,16,19.8125,6.46938775510204,18.375,108,0,0,"3/31"
"LH Ferguson","Derbyshire",2018,"Vitality Blast",13,"48.0",0,319,16,19.9375,6.64583333333333,18,138,1,0,"4/26"
"FJ Hudson-Prentice","Derbyshire",2021,"Vitality Blast",12,"34.0",0,325,16,20.3125,9.55882352941176,12.75,72,0,0,"3/36"
"CJ Jordan","Sussex",2017,"NatWest T20 Blast",12,"41.5",0,327,16,20.4375,7.81673306772908,15.6875,91,0,0,"3/17"
"RF Higgins","Gloucestershire",2020,"Vitality Blast",11,"34.4",0,329,16,20.5625,9.49038461538462,13,57,1,0,"4/34"
"GA Edwards","Lancashire",2016,"NatWest T20 Blast",10,"35.0",0,335,16,20.9375,9.57142857142857,13.125,70,0,0,"3/33"
"SR Patel","Nottinghamshire",2021,"Vitality Blast",15,"52.0",1,345,16,21.5625,6.63461538461539,19.5,116,0,0,"3/4"
"DA Payne","Gloucestershire",2019,"Vitality Blast",13,"47.0",1,347,16,21.6875,7.38297872340426,17.625,117,0,0,"3/32"
"DJ Willey","Northamptonshire",2023,"Vitality Blast",14,"48.0",2,353,16,22.0625,7.35416666666667,18,133,0,0,"2/9"
"SR Patel","Nottinghamshire",2022,"Vitality Blast",13,"47.0",1,356,16,22.25,7.57446808510638,17.625,89,0,0,"3/32"
"LV van Beek","Derbyshire",2021,"Vitality Blast",12,"36.5",0,361,16,22.5625,9.80090497737556,13.8125,84,0,0,"3/22"
"MD Fisher","Yorkshire",2015,"NatWest T20 Blast",13,"40.5",0,362,16,22.625,8.86530612244898,15.3125,108,0,1,"5/22"
"T van der Gugten","Glamorgan",2018,"Vitality Blast",12,"38.4",1,373,16,23.3125,9.64655172413793,14.5,87,1,0,"4/31"
"Imran Tahir","Derbyshire",2017,"NatWest T20 Blast",13,"52.0",0,376,16,23.5,7.23076923076923,19.5,97,1,0,"4/17"
"R Clarke","Surrey",2018,"Vitality Blast",13,"45.1",0,377,16,23.5625,8.34686346863469,16.9375,71,0,0,"2/19"
"MTC Waller","Somerset",2017,"NatWest T20 Blast",14,"49.0",0,379,16,23.6875,7.73469387755102,18.375,87,0,0,"2/13"
"MS Crane","Hampshire",2021,"Vitality Blast",13,"49.0",0,382,16,23.875,7.79591836734694,18.375,102,0,0,"3/23"
"MTC Waller","Somerset",2018,"Vitality Blast",16,"56.0",1,382,16,23.875,6.82142857142857,21,101,1,0,"4/25"
"CN Miles","Birmingham Bears",2022,"Vitality Blast",14,"41.4",0,389,16,24.3125,9.336,15.625,93,0,0,"3/29"
"DA Payne","Gloucestershire",2018,"Vitality Blast",13,"47.0",1,410,16,25.625,8.72340425531915,17.625,110,0,0,"3/29"
"JW Dernbach","Surrey",2017,"NatWest T20 Blast",13,"48.2",0,415,16,25.9375,8.58620689655172,18.125,116,0,0,"3/29"
"MJ Potts","Durham",2021,"Vitality Blast",13,"46.2",0,424,16,26.5,9.15107913669065,17.375,93,0,0,"3/27"
"BW Sanderson","Northamptonshire",2022,"Vitality Blast",13,"46.5",0,433,16,27.0625,9.24555160142349,17.5625,94,0,0,"3/30"
"SR Patel","Nottinghamshire",2017,"NatWest T20 Blast",15,"60.0",0,437,16,27.3125,7.28333333333333,22.5,106,0,0,"3/26"
"Azhar Mahmood","Surrey",2014,"NatWest T20 Blast",15,"57.2",1,439,16,27.4375,7.65697674418605,21.5,124,0,0,"3/38"
"NA Sowter","Middlesex",2019,"Vitality Blast",14,"53.0",0,447,16,27.9375,8.43396226415094,19.875,92,1,0,"4/29"
"MR Quinn","Essex",2016,"NatWest T20 Blast",14,"52.0",0,470,16,29.375,9.03846153846154,19.5,110,1,0,"4/35"
"JD Shantry","Worcestershire",2015,"NatWest T20 Blast",14,"55.0",0,471,16,29.4375,8.56363636363636,20.625,126,0,0,"2/26"
"SJ Cook","Essex",2023,"Vitality Blast",15,"52.3",0,471,16,29.4375,8.97142857142857,19.6875,109,2,0,"4/18"
"SM Curran","Surrey",2023,"Vitality Blast",16,"57.0",0,486,16,30.375,8.52631578947368,21.375,129,0,1,"5/26"
"AF Milne","Kent",2017,"NatWest T20 Blast",7,"25.5",1,187,15,12.4666666666667,7.23870967741936,10.3333333333333,72,0,1,"5/11"
"Imran Tahir","Durham",2018,"Vitality Blast",8,"32.0",0,203,15,13.5333333333333,6.34375,12.8,65,2,0,"4/14"
"AAP Atkinson","Surrey",2021,"Vitality Blast",8,"26.4",1,223,15,14.8666666666667,8.3625,10.6666666666667,66,2,0,"4/36"
"DE Bollinger","Kent",2014,"NatWest T20 Blast",9,"30.0",0,236,15,15.7333333333333,7.86666666666667,12,75,0,0,"3/19"
