"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"JB Lintott",22,184,171,107.602339181287,12.2666666666667,11,7,7,0,0,41
"JC Archer",20,184,139,132.374100719424,16.7272727272727,16,5,9,0,0,26
"JC Buttler",50,1559,1018,153.143418467584,37.1190476190476,117,71,8,0,15,83
"JC Hildreth",79,1754,1319,132.979529946929,27.40625,160,49,15,0,8,72
"JC Tongue",3,4,4,100,4,0,0,2,0,0,2
"JC Tredwell",22,106,112,94.6428571428571,9.63636363636364,7,1,11,0,0,31
"JC Wainman",3,13,15,86.6666666666667,Inf,1,0,3,0,0,12
"JD Libby",45,1150,932,123.390557939914,30.2631578947368,94,12,7,0,5,78
"JD Ryder",37,855,548,156.021897810219,24.4285714285714,110,32,2,1,5,107
"JD Shantry",13,59,56,105.357142857143,7.375,3,3,5,0,0,12
"JDM Evison",3,62,44,140.909090909091,31,6,3,1,0,0,46
"JDS Neesham",42,846,593,142.664418212479,26.4375,66,34,10,0,5,75
"JE Anyon",1,0,1,0,0,0,0,0,0,0,0
"JE Burke",9,30,42,71.4285714285714,4.28571428571429,1,0,2,0,0,8
"JE Poysden",11,13,11,118.181818181818,6.5,1,0,9,0,0,9
"JE Root",18,653,469,139.232409381663,50.2307692307692,71,9,5,0,7,92
"JE Taylor",6,39,27,144.444444444444,39,5,1,5,0,0,19
"JEC Franklin",48,631,527,119.734345351044,17.5277777777778,34,25,12,0,0,41
"JG Bethell",18,199,162,122.83950617284,14.2142857142857,16,7,4,0,0,32
"JG Myburgh",43,1087,737,147.489823609227,28.6052631578947,123,37,5,1,7,103
"JH Davey",19,158,110,143.636363636364,39.5,15,4,15,0,0,23
"JH Plom",9,38,38,100,7.6,2,2,4,0,0,12
"JH Wharton",8,157,115,136.521739130435,22.4285714285714,21,3,1,1,0,111
"JHK Adams",31,646,462,139.82683982684,22.2758620689655,65,21,2,0,5,69
"JJ Bohannon",18,130,140,92.8571428571429,10,10,0,5,0,0,35
"JJ Bushnell",3,73,61,119.672131147541,Inf,7,0,3,0,0,40
"JJ Cobb",107,2802,2091,134.002869440459,28.3030303030303,245,126,8,1,20,103
"JJ Roy",76,2618,1679,155.926146515783,35.8630136986301,303,92,3,3,24,122
"JJ Weatherley",60,1447,1113,130.008984725966,28.3725490196078,114,43,9,0,6,71
"JJG Sales",5,30,27,111.111111111111,15,2,1,3,0,0,11
"JK Fuller",77,1186,838,141.527446300716,22.8076923076923,70,55,25,0,3,57
"JKH Naik",8,52,56,92.8571428571429,17.3333333333333,2,1,5,0,0,16
"JL Clare",1,5,9,55.5555555555556,Inf,0,0,1,0,0,5
"JL Denly",109,2997,2182,137.351054078827,28.8173076923077,281,109,5,4,12,127
"JL Lawlor",5,60,53,113.207547169811,12,6,1,0,0,0,43
"JL Smith",39,680,576,118.055555555556,24.2857142857143,62,11,11,0,3,60
"JL du Plooy",60,1476,1038,142.196531791908,32.0869565217391,109,55,14,0,11,92
"JLB Davies",24,426,354,120.338983050847,21.3,34,10,4,0,0,47
"JM Anderson",1,0,1,0,0,0,0,0,0,0,0
"JM Bairstow",30,1001,686,145.918367346939,41.7083333333333,75,46,6,2,5,112
"JM Bird",1,1,1,100,1,0,0,0,0,0,1
"JM Blatherwick",1,7,4,175,7,1,0,0,0,0,7
"JM Clarke",102,2768,1784,155.156950672646,29.1368421052632,290,126,7,3,16,136
"JM Coles",10,122,95,128.421052631579,17.4285714285714,12,2,3,0,0,35
"JM Cooke",1,10,6,166.666666666667,Inf,2,0,1,0,0,10
"JM Cox",50,1180,841,140.309155766944,34.7058823529412,86,41,16,0,6,94
"JM De Caires",7,105,88,119.318181818182,15,11,3,0,0,0,28
"JM Vince",125,4226,2982,141.716968477532,39.1296296296296,509,105,17,5,31,129
"JMR Taylor",94,1558,1144,136.188811188811,23.2537313432836,126,60,27,0,1,80
"JO Baker",6,14,25,56,3.5,0,0,2,0,0,5
"JOI Campbell",1,6,8,75,6,1,0,0,0,0,6
"JP Behrendorff",5,39,31,125.806451612903,19.5,0,4,3,0,0,22
"JP Faulkner",30,461,343,134.402332361516,25.6111111111111,19,21,12,0,1,73
"JP Inglis",14,531,302,175.827814569536,48.2727272727273,63,24,3,2,1,118
"JP McIlroy",4,2,9,22.2222222222222,1,0,0,2,0,0,2
"JP Webb",10,126,117,107.692307692308,12.6,16,2,0,0,1,50
"JPA Taylor",1,3,6,50,3,0,0,0,0,0,3
"JR Philippe",6,142,110,129.090909090909,23.6666666666667,11,6,0,0,1,70
"JS Foster",38,447,315,141.904761904762,16.5555555555556,35,16,11,0,1,50
"JS Gatting",5,49,49,100,16.3333333333333,2,1,2,0,0,22
"JS Patel",41,194,160,121.25,7.76,8,9,16,0,0,23
"JS Rymell",3,28,28,100,9.33333333333333,5,0,0,0,0,21
"JT Ball",18,49,55,89.0909090909091,8.16666666666667,1,3,12,0,0,18
"JTA Burnham",20,194,218,88.9908256880734,10.2105263157895,12,5,1,0,1,53
"JW Dernbach",15,65,62,104.838709677419,10.8333333333333,5,1,9,0,0,24
"JW Hastings",25,513,278,184.532374100719,28.5,44,32,7,0,3,80
"JW Shutt",4,0,2,0,0,0,0,3,0,0,0
"JWA Taylor",23,525,426,123.239436619718,32.8125,46,10,7,0,1,52
"James Bracey",44,809,654,123.700305810398,20.225,79,16,4,0,3,70
"James Middlebrook",7,53,43,123.255813953488,13.25,3,2,3,0,0,29
"Junaid Khan",3,10,12,83.3333333333333,5,1,0,1,0,0,9
"K Carver",2,2,4,50,2,0,0,1,0,0,2
"K Noema-Barnett",29,378,260,145.384615384615,18,23,26,8,0,1,57
"K Rabada",4,3,8,37.5,1.5,0,0,2,0,0,3
"KA Jamieson",4,47,32,146.875,23.5,4,2,2,0,0,31
"KA Maharaj",2,10,13,76.9230769230769,Inf,0,0,2,0,0,10
"KA Pollard",5,99,70,141.428571428571,49.5,7,5,3,0,0,34
"KC Sangakkara",21,679,441,153.968253968254,33.95,72,20,1,0,4,72
"KHD Barker",8,54,45,120,7.71428571428571,4,2,1,0,0,35
"KJ Abbott",20,138,105,131.428571428571,11.5,10,5,8,0,0,29
"KJ Coetzer",13,228,210,108.571428571429,17.5384615384615,21,2,0,0,1,67
"KJ O'Brien",21,366,289,126.643598615917,21.5294117647059,31,12,4,0,0,48
"KK Jennings",65,1577,1265,124.664031620553,32.8541666666667,134,31,17,1,7,108
"KM Jarvis",1,9,8,112.5,Inf,1,0,1,0,0,9
"KMDN Kulasekara",1,0,2,0,0,0,0,0,0,0,0
"KP Pietersen",14,281,254,110.629921259843,23.4166666666667,24,10,2,0,1,52
"KR Brown",59,1502,1170,128.376068376068,26.8214285714286,139,50,3,0,12,69
"KR Mayers",2,27,22,122.727272727273,13.5,2,1,0,0,0,14
"KS Carlson",53,1003,730,137.397260273973,20.06,93,40,3,0,3,77
"KS Velani",14,172,154,111.688311688312,12.2857142857143,22,4,0,0,0,34
"KS Williamson",21,582,443,131.3769751693,32.3333333333333,57,15,3,0,3,77
"KW Richardson",1,1,2,50,Inf,0,0,1,0,0,1
"Kabir Ali",5,28,23,121.739130434783,9.33333333333333,2,1,2,0,0,19
"Kasey Aldridge",3,43,33,130.30303030303,Inf,3,0,3,0,0,32
"Kashif Ali",21,378,318,118.867924528302,22.2352941176471,22,17,4,0,1,69
"L Banks",5,34,21,161.904761904762,17,2,1,3,0,0,24
"L Doneathy",4,24,21,114.285714285714,8,1,1,1,0,0,12
"L Gregory",84,1337,923,144.853737811484,21.2222222222222,114,51,21,0,6,62
"L Ronchi",22,603,352,171.306818181818,28.7142857142857,64,31,1,0,4,63
"L Trevaskis",45,379,303,125.082508250825,14.5769230769231,23,16,19,0,0,31
"L Wood",32,180,158,113.924050632911,10,9,5,14,0,0,33
"LA Dawson",74,1256,1044,120.306513409962,20.5901639344262,89,33,13,0,4,82
"LA Procter",14,155,142,109.154929577465,12.9166666666667,12,1,2,0,0,20
"LBK Hollman",42,623,467,133.404710920771,18.8787878787879,49,22,9,0,1,51
"LC Norwell",4,3,5,60,3,0,0,3,0,0,2
"LD McManus",71,876,670,130.746268656716,16.2222222222222,52,39,17,0,2,60
"LE Plunkett",26,279,181,154.14364640884,17.4375,23,10,10,0,0,36
"LH Ferguson",6,7,12,58.3333333333333,3.5,0,0,4,0,0,5
"LJ Carey",3,7,10,70,7,1,0,2,0,0,5
"LJ Evans",130,3396,2502,135.731414868106,32.3428571428571,298,116,25,1,22,118
"LJ Fletcher",30,158,135,117.037037037037,7.52380952380952,6,11,9,0,0,27
"LJ Hatchett",3,0,1,0,0,0,0,2,0,0,0
"LJ Hill",68,1071,855,125.263157894737,19.125,87,36,12,0,4,59
"LJ Hurt",2,7,14,50,3.5,1,0,0,0,0,7
"LJ Wright",100,3359,2274,147.713280562885,36.5108695652174,353,120,8,4,21,153
"LM Reece",76,1672,1271,131.549960660897,22.5945945945946,162,62,2,0,14,75
"LP Goldsworthy",15,247,212,116.509433962264,20.5833333333333,24,5,3,0,0,48
"LPJ Kimber",17,320,205,156.09756097561,22.8571428571429,24,15,3,0,3,59
"LRPL Taylor",22,571,453,126.048565121413,35.6875,42,24,6,0,3,93
"LS Livingstone",83,2182,1530,142.614379084967,28.3376623376623,169,113,6,1,9,100
"LV van Beek",9,48,49,97.9591836734694,9.6,2,2,4,0,0,16
"LW James",13,154,132,116.666666666667,15.4,11,6,3,0,0,37
"LWP Wells",29,434,330,131.515151515152,16.6923076923077,43,17,3,0,2,66
"M Carter",23,131,126,103.968253968254,10.9166666666667,9,5,11,0,0,23
"M Kelly",1,9,8,112.5,9,1,0,0,0,0,9
"M Klinger",71,2547,1981,128.571428571429,41.7540983606557,230,73,10,6,14,126
"M Labuschagne",13,508,366,138.79781420765,42.3333333333333,48,14,1,0,4,93
"M Montgomery",15,287,233,123.175965665236,20.5,35,3,1,0,2,51
"M Morkel",3,7,15,46.6666666666667,3.5,0,0,1,0,0,3
"M de Lange",26,212,149,142.281879194631,11.7777777777778,18,12,8,0,0,28
"MA Ashraf",2,1,4,25,1,0,0,1,0,0,1
"MA Carberry",44,1258,929,135.414424111948,30.6829268292683,136,44,3,0,10,87
"MA Cohen",3,21,18,116.666666666667,21,1,1,2,0,0,7
"MA Jones",25,650,481,135.135135135135,27.0833333333333,64,23,1,0,1,50
"MA Leask",7,52,45,115.555555555556,8.66666666666667,3,3,1,0,0,13
"MA Thornely",1,13,10,130,Inf,1,0,1,0,0,13
"MA Wallace",28,473,414,114.251207729469,17.5185185185185,47,7,1,0,1,69
"MA Wood",7,65,66,98.4848484848485,21.6666666666667,5,0,4,0,0,17
"MAG Boyce",11,240,224,107.142857142857,30,25,1,3,0,0,47
"MB Harris",2,7,6,116.666666666667,7,1,0,1,0,0,7
"MC Henriques",9,272,237,114.767932489451,34,19,9,1,0,1,63
"MD Bates (2)",5,38,33,115.151515151515,12.6666666666667,4,0,2,0,0,15
"MD Fisher",11,61,46,132.608695652174,10.1666666666667,3,5,5,0,0,19
"MD Stoneman",56,1066,888,120.045045045045,20.5,128,13,4,0,7,89
"MD Taylor",21,102,97,105.154639175258,9.27272727272727,7,3,10,0,0,23
"MDE Holden",51,1273,884,144.004524886878,28.2888888888889,144,37,6,2,5,121
"ME Claydon",24,64,87,73.5632183908046,8,4,0,16,0,0,15
"ME Milnes",14,59,43,137.209302325581,11.8,5,1,9,0,0,14
"ME Trescothick",12,117,119,98.3193277310924,9.75,18,0,0,0,0,46
"MET Salisbury",5,4,13,30.7692307692308,4,0,0,4,0,0,1
"MG Bracewell",7,91,73,124.657534246575,13,11,3,0,0,1,55
"MG Finan",6,55,42,130.952380952381,11,4,2,1,0,0,20
"MG Hogan",18,65,59,110.169491525424,10.8333333333333,3,3,12,0,0,17
"MG Neser",2,17,14,121.428571428571,17,2,0,1,0,0,11
"MGK Burgess",52,754,627,120.255183413078,18.390243902439,59,24,11,0,2,64
"MH McKiernan",29,253,176,143.75,13.3157894736842,23,11,10,0,0,26
"MH Wessels",99,3035,2124,142.89077212806,33.3516483516484,303,122,8,1,17,110
"MH Yardy",8,45,40,112.5,11.25,6,1,4,0,0,16
"MHA Footitt",1,0,1,0,NA,0,0,1,0,0,0
"MJ Cosgrove",62,1538,1165,132.017167381974,27.4642857142857,172,34,6,0,8,79
"MJ Guptill",21,637,445,143.14606741573,31.85,60,32,1,1,4,102
"MJ Henry",19,181,120,150.833333333333,12.9285714285714,9,12,5,0,0,35
"MJ Lamb",9,168,140,120,24,14,4,2,0,0,39
"MJ Lumb",28,534,406,131.527093596059,19.7777777777778,68,18,1,0,2,69
"MJ McClenaghan",5,12,10,120,6,2,0,3,0,0,4
"MJ North",13,361,298,121.140939597315,27.7692307692308,31,10,0,0,2,90
"MJ Potts",14,107,80,133.75,17.8333333333333,7,4,8,0,0,40
"MJ Prior",1,39,24,162.5,39,5,1,0,0,0,39
"MJ Richardson",30,499,430,116.046511627907,21.695652173913,38,9,7,0,1,53
"MJ Santner",25,644,469,137.313432835821,25.76,57,30,0,0,3,64
"MJ Waite",16,103,82,125.609756097561,10.3,10,2,6,0,0,35
"MJJ Critchley",83,1447,1173,123.358908780904,21.5970149253731,109,46,16,0,4,80
"MK Andersson",30,265,238,111.344537815126,12.0454545454545,18,7,8,0,0,25
"MK O'Riordan",2,15,16,93.75,15,1,0,1,0,0,13
"ML Pettini",38,1052,808,130.19801980198,30.9411764705882,128,19,4,0,8,95
"ML Revis",17,205,164,125,17.0833333333333,15,8,5,0,0,42
"ML Turner",3,2,5,40,0.666666666666667,0,0,0,0,0,1
"MM Ali",43,1358,855,158.830409356725,33.1219512195122,138,75,2,2,6,121
"MNW Spriegel",11,97,76,127.631578947368,10.7777777777778,9,2,2,0,0,32
"MP Dunn",4,4,8,50,2,0,0,2,0,0,2
"MP Stoinis",4,80,67,119.402985074627,20,3,3,0,0,0,47
"MR Adair",3,11,14,78.5714285714286,3.66666666666667,1,0,0,0,0,7
"MR Quinn",5,16,15,106.666666666667,8,1,1,3,0,0,8
"MRJ Watt",10,61,59,103.389830508475,8.71428571428571,5,2,3,0,0,17
"MS Crane",19,81,98,82.6530612244898,27,2,0,16,0,0,12
"MS Pepper",49,1210,816,148.28431372549,29.5121951219512,130,47,8,0,7,86
"MS Wade",6,108,68,158.823529411765,21.6,7,4,1,0,1,74
"MT Coles",43,346,253,136.758893280632,9.88571428571429,27,18,8,0,1,54
"MT Stanley",4,10,12,83.3333333333333,5,1,0,2,0,0,7
"MTC Waller",24,90,111,81.0810810810811,9,6,0,14,0,0,17
"MW Dixon",2,2,4,50,1,0,0,0,0,0,1
"MW Goodwin",8,203,143,141.958041958042,33.8333333333333,18,6,2,0,1,71
"MW Machan",33,650,526,123.574144486692,25,45,20,7,0,1,52
"MW Parkinson",11,22,29,75.8620689655172,3.66666666666667,3,0,5,0,0,12
"MW Pillans",16,120,117,102.564102564103,15,11,2,8,0,0,15
"Miles Hammond",72,1453,1082,134.288354898336,20.1805555555556,164,60,0,0,5,63
"Mohammad Abbas",5,24,14,171.428571428571,24,3,1,4,0,0,15
"Mohammad Amir",8,9,17,52.9411764705882,1.5,1,0,2,0,0,5
"Mohammad Hafeez",4,115,102,112.745098039216,28.75,7,4,0,0,0,48
"Mohammad Nabi",29,524,378,138.624338624339,20.96,32,30,4,0,1,86
"Mohammad Rizwan",7,275,191,143.979057591623,45.8333333333333,23,11,1,0,3,81
"Mujeeb Ur Rahman",9,23,26,88.4615384615385,4.6,1,1,4,0,0,13
"N Fernandes",4,11,15,73.3333333333333,2.75,1,0,0,0,0,8
"N McAndrew",7,48,31,154.838709677419,9.6,1,5,2,0,0,28
"N Pooran",3,122,66,184.848484848485,40.6666666666667,10,10,0,0,1,67
"N Wagner",6,61,32,190.625,15.25,6,3,2,0,0,16
"NA Sowter",33,211,184,114.673913043478,11.1052631578947,20,3,14,0,0,37
"NJ Dexter",36,510,430,118.604651162791,17,52,15,6,0,1,56
"NJ Maddinson",10,245,177,138.418079096045,35,17,12,3,0,1,70
