"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Imad Wasim",2023-07-15,"San Francisco Unicorns","Seattle Orcas",2,"3.0",0,24,2,8,9,"Major League Cricket",2023,1381364,"Grand Prairie Stadium","Dallas","Seattle Orcas","San Francisco Unicorns","Seattle Orcas","bat","H Klaasen","Seattle Orcas",NA,"35"
"LE Plunkett",2023-07-22,"Washington Freedom","San Francisco Unicorns",1,"4.0",0,24,2,6,8,"Major League Cricket",2023,1381371,"Church Street Park, Morrisville","Morrisville","Washington Freedom","San Francisco Unicorns","San Francisco Unicorns","field","SN Netravalkar","Washington Freedom",NA,"30"
"A Zampa",2023-07-16,"MI New York","Los Angeles Knight Riders",1,"4.0",0,25,2,6.25,10,"Major League Cricket",2023,1381366,"Grand Prairie Stadium","Dallas","MI New York","Los Angeles Knight Riders","MI New York","bat","TH David","MI New York",NA,"105"
"AJ Hosein",2023-07-16,"Texas Super Kings","Washington Freedom",2,"4.0",0,25,2,6.25,10,"Major League Cricket",2023,1381365,"Grand Prairie Stadium","Dallas","Washington Freedom","Texas Super Kings","Washington Freedom","bat","MW Short","Washington Freedom",NA,"6"
"SN Netravalkar",2023-07-27,"MI New York","Washington Freedom",1,"4.0",0,25,2,6.25,10,"Major League Cricket",2023,1381376,"Grand Prairie Stadium","Dallas","MI New York","Washington Freedom","Washington Freedom","field","D Brevis","MI New York",NA,"16"
"A Zampa",2023-07-23,"Seattle Orcas","Los Angeles Knight Riders",1,"4.0",0,26,2,6.5,10,"Major League Cricket",2023,1381372,"Church Street Park, Morrisville","Morrisville","Seattle Orcas","Los Angeles Knight Riders","Los Angeles Knight Riders","field","RR Rossouw","Los Angeles Knight Riders","2",NA
"AM Hardie",2024-07-05,"Los Angeles Knight Riders","Texas Super Kings",1,"3.0",0,26,2,8.66666666666667,7,"Major League Cricket",2024,1432727,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","Texas Super Kings","Texas Super Kings","field","Ali Khan","Los Angeles Knight Riders",NA,"12"
"G Coetzee",2023-07-16,"Washington Freedom","Texas Super Kings",1,"4.0",1,26,2,6.5,12,"Major League Cricket",2023,1381365,"Grand Prairie Stadium","Dallas","Washington Freedom","Texas Super Kings","Washington Freedom","bat","MW Short","Washington Freedom",NA,"6"
"Shadab Khan",2023-07-18,"Los Angeles Knight Riders","San Francisco Unicorns",2,"4.0",0,26,2,6.5,8,"Major League Cricket",2023,1381368,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","Los Angeles Knight Riders","San Francisco Unicorns","bat","MS Wade","San Francisco Unicorns",NA,"21"
"AJ Tye",2023-07-15,"San Francisco Unicorns","Seattle Orcas",2,"3.0",0,27,2,9,5,"Major League Cricket",2023,1381364,"Grand Prairie Stadium","Dallas","Seattle Orcas","San Francisco Unicorns","Seattle Orcas","bat","H Klaasen","Seattle Orcas",NA,"35"
"Ali Khan",2023-07-16,"MI New York","Los Angeles Knight Riders",1,"4.0",0,28,2,7,13,"Major League Cricket",2023,1381366,"Grand Prairie Stadium","Dallas","MI New York","Los Angeles Knight Riders","MI New York","bat","TH David","MI New York",NA,"105"
"M Jansen",2023-07-20,"Los Angeles Knight Riders","Washington Freedom",1,"4.0",0,29,2,7.25,14,"Major League Cricket",2023,1381369,"Church Street Park, Morrisville","Morrisville","Los Angeles Knight Riders","Washington Freedom","Washington Freedom","field","AD Russell","Washington Freedom","6",NA
"TA Boult",2023-07-17,"Texas Super Kings","MI New York",1,"4.0",0,29,2,7.25,12,"Major League Cricket",2023,1381367,"Grand Prairie Stadium","Dallas","Texas Super Kings","MI New York","Texas Super Kings","bat","DP Conway","Texas Super Kings",NA,"17"
"K Rabada",2023-07-17,"Texas Super Kings","MI New York",1,"4.0",0,30,2,7.5,6,"Major League Cricket",2023,1381367,"Grand Prairie Stadium","Dallas","Texas Super Kings","MI New York","Texas Super Kings","bat","DP Conway","Texas Super Kings",NA,"17"
"LE Plunkett",2023-07-14,"MI New York","San Francisco Unicorns",2,"4.0",0,30,2,7.5,11,"Major League Cricket",2023,1381362,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","MI New York","San Francisco Unicorns","bat","CJ Anderson","San Francisco Unicorns",NA,"22"
"MJ Santner",2023-07-24,"San Francisco Unicorns","Texas Super Kings",1,"4.0",0,30,2,7.5,7,"Major League Cricket",2023,1381374,"Church Street Park, Morrisville","Morrisville","San Francisco Unicorns","Texas Super Kings","San Francisco Unicorns","bat","DR Sams","Texas Super Kings","3",NA
"M Jansen",2023-07-16,"Texas Super Kings","Washington Freedom",2,"4.0",0,31,2,7.75,11,"Major League Cricket",2023,1381365,"Grand Prairie Stadium","Dallas","Washington Freedom","Texas Super Kings","Washington Freedom","bat","MW Short","Washington Freedom",NA,"6"
"Haris Rauf",2023-07-24,"Texas Super Kings","San Francisco Unicorns",2,"4.0",1,32,2,8,12,"Major League Cricket",2023,1381374,"Church Street Park, Morrisville","Morrisville","San Francisco Unicorns","Texas Super Kings","San Francisco Unicorns","bat","DR Sams","Texas Super Kings","3",NA
"K Rabada",2023-07-14,"San Francisco Unicorns","MI New York",1,"4.0",0,32,2,8,14,"Major League Cricket",2023,1381362,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","MI New York","San Francisco Unicorns","bat","CJ Anderson","San Francisco Unicorns",NA,"22"
"KA Pollard",2023-07-23,"Washington Freedom","MI New York",1,"4.0",0,33,2,8.25,8,"Major League Cricket",2023,1381373,"Church Street Park, Morrisville","Morrisville","Washington Freedom","MI New York","MI New York","field","N Pooran","MI New York","8",NA
"LE Plunkett",2023-07-15,"Seattle Orcas","San Francisco Unicorns",1,"4.0",0,36,2,9,6,"Major League Cricket",2023,1381364,"Grand Prairie Stadium","Dallas","Seattle Orcas","San Francisco Unicorns","Seattle Orcas","bat","H Klaasen","Seattle Orcas",NA,"35"
"Mohammad Mohsin",2023-07-17,"MI New York","Texas Super Kings",2,"4.0",0,36,2,9,8,"Major League Cricket",2023,1381367,"Grand Prairie Stadium","Dallas","Texas Super Kings","MI New York","Texas Super Kings","bat","DP Conway","Texas Super Kings",NA,"17"
"MP Stoinis",2024-07-05,"Los Angeles Knight Riders","Texas Super Kings",1,"3.0",0,37,2,12.3333333333333,8,"Major League Cricket",2024,1432727,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","Texas Super Kings","Texas Super Kings","field","Ali Khan","Los Angeles Knight Riders",NA,"12"
"Haris Rauf",2024-07-07,"Los Angeles Knight Riders","San Francisco Unicorns",1,"4.0",0,38,2,9.5,12,"Major League Cricket",2024,1432729,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","San Francisco Unicorns","San Francisco Unicorns","field","FH Allen","San Francisco Unicorns","6",NA
