"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Shakib Al Hasan",2022-02-11,"Fortune Barishal","Minister Group Dhaka",2,51,29,6,2,175.862068965517,TRUE,"Bangladesh Premier League","2021/22",1296712,"Shere Bangla National Stadium, Mirpur","Dhaka","Minister Group Dhaka","Fortune Barishal","Minister Group Dhaka","bat","Shakib Al Hasan","Fortune Barishal","8",NA
"Iftikhar Ahmed",2023-02-03,"Fortune Barishal","Khulna Tigers",1,51,31,3,3,164.516129032258,TRUE,"Bangladesh Premier League","2022/23",1351084,"Shere Bangla National Stadium, Mirpur","Dhaka","Fortune Barishal","Khulna Tigers","Khulna Tigers","field","Shakib Al Hasan","Fortune Barishal",NA,"37"
"AI Ross",2024-01-27,"Durdanto Dhaka","Rangpur Riders",2,51,35,7,1,145.714285714286,FALSE,"Bangladesh Premier League","2023/24",1412285,"Sylhet International Cricket Stadium","Sylhet","Rangpur Riders","Durdanto Dhaka","Durdanto Dhaka","field","Babar Azam","Rangpur Riders",NA,"79"
"Shamsur Rahman",2013-02-11,"Rangpur Riders","Duronto Rajshahi",1,51,36,7,0,141.666666666667,FALSE,"Bangladesh Premier League","2012/13",599900,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Duronto Rajshahi","Duronto Rajshahi","field","KJ O'Brien","Rangpur Riders",NA,"19"
"LJ Wright",2013-01-22,"Dhaka Gladiators","Duronto Rajshahi",1,51,37,8,1,137.837837837838,FALSE,"Bangladesh Premier League","2012/13",599872,"Sheikh Abu Naser Stadium, Khulna","Khulna","Dhaka Gladiators","Duronto Rajshahi","Dhaka Gladiators","bat","Shakib Al Hasan","Dhaka Gladiators",NA,"13"
"LMP Simmons",2015-11-25,"Rangpur Riders","Dhaka Dynamites",1,51,39,5,3,130.769230769231,FALSE,"Bangladesh Premier League","2015/16",935295,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Dhaka Dynamites","Rangpur Riders","bat","Shakib Al Hasan","Rangpur Riders",NA,"69"
"WU Tharanga",2017-11-05,"Sylhet Sixers","Comilla Victorians",2,51,40,5,2,127.5,FALSE,"Bangladesh Premier League","2017/18",1121247,"Sylhet International Cricket Stadium","Sylhet","Comilla Victorians","Sylhet Sixers","Sylhet Sixers","field","WU Tharanga","Sylhet Sixers","4",NA
"BRM Taylor",2013-01-31,"Chittagong Kings","Barisal Burners",2,51,42,5,2,121.428571428571,FALSE,"Bangladesh Premier League","2012/13",599884,"MA Aziz Stadium, Chittagong","Chattogram","Barisal Burners","Chittagong Kings","Barisal Burners","bat","Azhar Mahmood","Barisal Burners",NA,"6"
"BB McCullum",2017-12-12,"Rangpur Riders","Dhaka Dynamites",1,51,43,4,3,118.604651162791,TRUE,"Bangladesh Premier League","2017/18",1121290,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Dhaka Dynamites","Dhaka Dynamites","field","CH Gayle","Rangpur Riders",NA,"57"
"LMP Simmons",2020-01-07,"Chattogram Challengers","Rajshahi Royals",2,51,43,2,4,118.604651162791,FALSE,"Bangladesh Premier League","2019/20",1208102,"Shere Bangla National Stadium, Mirpur","Dhaka","Rajshahi Royals","Chattogram Challengers","Chattogram Challengers","field","Imrul Kayes","Chattogram Challengers","7",NA
"Mahmudullah",2015-11-23,"Barisal Bulls","Rangpur Riders",1,51,43,5,1,118.604651162791,FALSE,"Bangladesh Premier League","2015/16",935289,"Shere Bangla National Stadium, Mirpur","Dhaka","Barisal Bulls","Rangpur Riders","Rangpur Riders","field","KK Cooper","Barisal Bulls",NA,"13"
"WU Tharanga",2019-02-04,"Dhaka Dynamites","Chittagong Vikings",2,51,43,7,0,118.604651162791,FALSE,"Bangladesh Premier League","2018/19",1169421,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Vikings","Dhaka Dynamites","Chittagong Vikings","bat","SP Narine","Dhaka Dynamites","6",NA
"Junaid Siddique",2015-12-09,"Sylhet Super Stars","Dhaka Dynamites",2,51,44,1,3,115.909090909091,FALSE,"Bangladesh Premier League","2015/16",935335,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Dynamites","Sylhet Super Stars","Sylhet Super Stars","field","RS Bopara","Sylhet Super Stars","6",NA
"TC Bruce",2024-01-29,"Chattogram Challengers","Sylhet Strikers",2,51,44,3,2,115.909090909091,TRUE,"Bangladesh Premier League","2023/24",1412286,"Sylhet International Cricket Stadium","Sylhet","Sylhet Strikers","Chattogram Challengers","Sylhet Strikers","bat","Bilal Khan","Chattogram Challengers","8",NA
"Mahmudullah",2015-11-30,"Barisal Bulls","Chittagong Vikings",1,51,45,3,1,113.333333333333,FALSE,"Bangladesh Premier League","2015/16",935307,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Barisal Bulls","Chittagong Vikings","Chittagong Vikings","field","KK Cooper","Barisal Bulls",NA,"33"
"Mehedi Hasan Miraz",2019-01-09,"Rajshahi Kings","Khulna Titans",2,51,45,6,1,113.333333333333,FALSE,"Bangladesh Premier League","2018/19",1169386,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Titans","Rajshahi Kings","Khulna Titans","bat","I Udana","Rajshahi Kings","7",NA
