"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SP Narine",2019-02-04,"Chittagong Vikings","Dhaka Dynamites",1,"4.0",0,15,4,3.75,11,"Bangladesh Premier League","2018/19",1169421,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Vikings","Dhaka Dynamites","Chittagong Vikings","bat","SP Narine","Dhaka Dynamites","6",NA
"MD Shanaka",2024-01-26,"Rangpur Riders","Khulna Tigers",2,"3.0",0,16,4,5.33333333333333,8,"Bangladesh Premier League","2023/24",1412282,"Sylhet International Cricket Stadium","Sylhet","Khulna Tigers","Rangpur Riders","Rangpur Riders","field","MD Shanaka","Khulna Tigers",NA,"28"
"Mehedi Hasan Miraz",2022-01-21,"Fortune Barishal","Chattogram Challengers",2,"4.0",0,16,4,4,17,"Bangladesh Premier League","2021/22",1296685,"Shere Bangla National Stadium, Mirpur","Dhaka","Chattogram Challengers","Fortune Barishal","Fortune Barishal","field","Mehedi Hasan Miraz","Fortune Barishal","4",NA
"Mosharraf Hossain",2015-12-08,"Chittagong Vikings","Dhaka Dynamites",2,"4.0",0,16,4,4,14,"Bangladesh Premier League","2015/16",935331,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Dynamites","Chittagong Vikings","Chittagong Vikings","field","Mosharraf Hossain","Dhaka Dynamites",NA,"45"
"Shakib Al Hasan",2015-11-25,"Dhaka Dynamites","Rangpur Riders",2,"4.0",0,16,4,4,14,"Bangladesh Premier League","2015/16",935295,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Dhaka Dynamites","Rangpur Riders","bat","Shakib Al Hasan","Rangpur Riders",NA,"69"
"Shakib Al Hasan",2019-01-21,"Chittagong Vikings","Dhaka Dynamites",2,"4.0",1,16,4,4,17,"Bangladesh Premier League","2018/19",1169402,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Dynamites","Chittagong Vikings","Dhaka Dynamites","bat","R Frylinck","Chittagong Vikings","3",NA
"Sikandar Raza",2017-12-05,"Rajshahi Kings","Chittagong Vikings",2,"4.0",0,16,4,4,14,"Bangladesh Premier League","2017/18",1121284,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Vikings","Rajshahi Kings","Rajshahi Kings","field","LM Reece","Chittagong Vikings",NA,"45"
"Al Islam",2024-01-26,"Sylhet Strikers","Comilla Victorians",2,"4.0",1,17,4,4.25,18,"Bangladesh Premier League","2023/24",1412283,"Sylhet International Cricket Stadium","Sylhet","Comilla Victorians","Sylhet Strikers","Sylhet Strikers","field","Al Islam","Comilla Victorians",NA,"52"
"Ebadat Hossain",2019-02-01,"Chittagong Vikings","Sylhet Sixers",2,"4.0",0,17,4,4.25,15,"Bangladesh Premier League","2018/19",1169418,"Shere Bangla National Stadium, Mirpur","Dhaka","Sylhet Sixers","Chittagong Vikings","Chittagong Vikings","field","Ebadat Hossain","Sylhet Sixers",NA,"29"
"Mehedi Hasan Rana",2022-01-29,"Khulna Tigers","Fortune Barishal",2,"3.0",0,17,4,5.66666666666667,6,"Bangladesh Premier League","2021/22",1296695,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Fortune Barishal","Khulna Tigers","Khulna Tigers","field","Mehedi Hasan Rana","Fortune Barishal",NA,"17"
"Nihaduzzaman",2023-01-27,"Fortune Barishal","Chattogram Challengers",2,"4.0",0,17,4,4.25,12,"Bangladesh Premier League","2022/23",1351077,"Sylhet International Cricket Stadium","Sylhet","Chattogram Challengers","Fortune Barishal","Fortune Barishal","field","Anamul Haque","Fortune Barishal","3",NA
"Qazi Onik",2017-11-29,"Chittagong Vikings","Rajshahi Kings",2,"3.2",0,17,4,5.1,9,"Bangladesh Premier League","2017/18",1121277,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Rajshahi Kings","Chittagong Vikings","Rajshahi Kings","bat","DJG Sammy","Rajshahi Kings",NA,"33"
"Shafiul Islam",2016-11-20,"Barisal Bulls","Khulna Titans",2,"3.3",0,17,4,4.85714285714286,10,"Bangladesh Premier League","2016/17",1063052,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Khulna Titans","Barisal Bulls","Barisal Bulls","field","Mahmudullah","Khulna Titans",NA,"22"
"Nazmul Islam",2022-01-25,"Minister Group Dhaka","Sylhet Sunrisers",1,"4.0",1,18,4,4.5,13,"Bangladesh Premier League","2021/22",1296691,"Shere Bangla National Stadium, Mirpur","Dhaka","Minister Group Dhaka","Sylhet Sunrisers","Sylhet Sunrisers","field","Nazmul Islam","Sylhet Sunrisers","7",NA
"RS Bopara",2015-11-30,"Comilla Victorians","Sylhet Super Stars",1,"4.0",0,18,4,4.5,11,"Bangladesh Premier League","2015/16",935309,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Comilla Victorians","Sylhet Super Stars","Sylhet Super Stars","field","RS Bopara","Sylhet Super Stars","4",NA
"Sohail Tanvir",2016-11-19,"Rajshahi Kings","Comilla Victorians",2,"3.0",0,18,4,6,7,"Bangladesh Premier League","2016/17",1063068,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Comilla Victorians","Rajshahi Kings","Rajshahi Kings","field","Sohail Tanvir","Comilla Victorians",NA,"32"
"Abu Hider",2015-12-12,"Rangpur Riders","Comilla Victorians",2,"3.0",0,19,4,6.33333333333333,8,"Bangladesh Premier League","2015/16",935343,"Shere Bangla National Stadium, Mirpur","Dhaka","Comilla Victorians","Rangpur Riders","Rangpur Riders","field","Ashar Zaidi","Comilla Victorians",NA,"72"
"C Campher",2024-01-27,"Fortune Barishal","Chattogram Challengers",2,"3.0",0,20,4,6.66666666666667,7,"Bangladesh Premier League","2023/24",1412284,"Sylhet International Cricket Stadium","Sylhet","Chattogram Challengers","Fortune Barishal","Fortune Barishal","field","C Campher","Chattogram Challengers",NA,"10"
"Mohammad Saifuddin",2023-02-10,"Fortune Barishal","Khulna Tigers",1,"4.0",0,20,4,5,17,"Bangladesh Premier League","2022/23",1351093,"Shere Bangla National Stadium, Mirpur","Dhaka","Fortune Barishal","Khulna Tigers","Fortune Barishal","bat","Mahmudul Hasan Joy","Khulna Tigers","6",NA
"Nasir Hossain",2023-02-03,"Rangpur Riders","Dhaka Dominators",2,"4.0",0,20,4,5,13,"Bangladesh Premier League","2022/23",1351085,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Dominators","Rangpur Riders","Rangpur Riders","field","Nurul Hasan","Rangpur Riders","2",NA
"Alok Kapali",2019-01-23,"Khulna Titans","Sylhet Sixers",1,"4.0",0,22,4,5.5,11,"Bangladesh Premier League","2018/19",1169406,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Titans","Sylhet Sixers","Sylhet Sixers","field","D Wiese","Khulna Titans",NA,"21"
"Arafat Sunny",2023-02-07,"Chattogram Challengers","Dhaka Dominators",1,"4.0",0,22,4,5.5,13,"Bangladesh Premier League","2022/23",1351088,"Shere Bangla National Stadium, Mirpur","Dhaka","Chattogram Challengers","Dhaka Dominators","Chattogram Challengers","bat","Ziaur Rahman","Chattogram Challengers",NA,"15"
"Mahedi Hasan",2017-12-02,"Rangpur Riders","Comilla Victorians",1,"4.0",0,22,4,5.5,13,"Bangladesh Premier League","2017/18",1121279,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Comilla Victorians","Comilla Victorians","field","Mahedi Hasan","Comilla Victorians","4",NA
"Mahedi Hasan",2019-01-15,"Sylhet Sixers","Comilla Victorians",1,"4.0",0,22,4,5.5,15,"Bangladesh Premier League","2018/19",1169394,"Sylhet International Cricket Stadium","Sylhet","Sylhet Sixers","Comilla Victorians","Comilla Victorians","field","Mahedi Hasan","Comilla Victorians","8",NA
"Mohammad Saifuddin",2019-02-01,"Dhaka Dynamites","Comilla Victorians",2,"4.0",1,22,4,5.5,16,"Bangladesh Premier League","2018/19",1169417,"Shere Bangla National Stadium, Mirpur","Dhaka","Comilla Victorians","Dhaka Dynamites","Dhaka Dynamites","field","Mohammad Saifuddin","Comilla Victorians",NA,"1"
"Rishad Hossain",2024-02-13,"Chattogram Challengers","Comilla Victorians",2,"4.0",0,22,4,5.5,13,"Bangladesh Premier League","2023/24",1412302,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Comilla Victorians","Chattogram Challengers","Chattogram Challengers","field","WG Jacks","Comilla Victorians",NA,"73"
"Robiul Haque",2023-01-13,"Khulna Tigers","Rangpur Riders",1,"4.0",0,22,4,5.5,10,"Bangladesh Premier League","2022/23",1351061,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Khulna Tigers","Rangpur Riders","Rangpur Riders","field","Robiul Haque","Rangpur Riders","4",NA
"Junaid Khan",2016-11-09,"Rajshahi Kings","Khulna Titans",2,"4.0",0,23,4,5.75,13,"Bangladesh Premier League","2016/17",1063055,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Titans","Rajshahi Kings","Khulna Titans","bat","Mahmudullah","Khulna Titans",NA,"3"
"Mehedi Hasan Rana",2019-12-17,"Sylhet Thunder","Chattogram Challengers",1,"4.0",1,23,4,5.75,15,"Bangladesh Premier League","2019/20",1208076,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Sylhet Thunder","Chattogram Challengers","Chattogram Challengers","field","Mehedi Hasan Rana","Chattogram Challengers","4",NA
"MM Ali",2024-02-13,"Chattogram Challengers","Comilla Victorians",2,"3.3",0,23,4,6.57142857142857,10,"Bangladesh Premier League","2023/24",1412302,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Comilla Victorians","Chattogram Challengers","Chattogram Challengers","field","WG Jacks","Comilla Victorians",NA,"73"
"Rubel Hossain",2019-02-06,"Rangpur Riders","Dhaka Dynamites",1,"3.4",1,23,4,6.27272727272727,13,"Bangladesh Premier League","2018/19",1169423,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Dhaka Dynamites","Dhaka Dynamites","field","Rubel Hossain","Dhaka Dynamites","5",NA
"Shohidul Islam",2019-12-27,"Rangpur Rangers","Khulna Tigers",2,"4.0",0,23,4,5.75,14,"Bangladesh Premier League","2019/20",1208088,"Shere Bangla National Stadium, Mirpur","Dhaka","Khulna Tigers","Rangpur Rangers","Rangpur Rangers","field","Shohidul Islam","Khulna Tigers",NA,"52"
"Junaid Khan",2016-12-06,"Dhaka Dynamites","Khulna Titans",1,"4.0",0,24,4,6,15,"Bangladesh Premier League","2016/17",1063090,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Dynamites","Khulna Titans","Khulna Titans","field","AD Russell","Dhaka Dynamites",NA,"54"
"Mohammad Nabi",2016-11-08,"Comilla Victorians","Chittagong Vikings",2,"4.0",0,24,4,6,11,"Bangladesh Premier League","2016/17",1063054,"Shere Bangla National Stadium, Mirpur","Dhaka","Chittagong Vikings","Comilla Victorians","Comilla Victorians","field","Mohammad Nabi","Chittagong Vikings",NA,"29"
"Shoriful Islam",2024-02-02,"Sylhet Strikers","Durdanto Dhaka",1,"4.0",0,24,4,6,18,"Bangladesh Premier League","2023/24",1412290,"Sylhet International Cricket Stadium","Sylhet","Sylhet Strikers","Durdanto Dhaka","Durdanto Dhaka","field","R Ngarava","Sylhet Strikers",NA,"15"
"Al Islam",2019-01-11,"Rangpur Riders","Dhaka Dynamites",2,"4.0",0,26,4,6.5,9,"Bangladesh Premier League","2018/19",1169387,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Dynamites","Rangpur Riders","Rangpur Riders","field","Al Islam","Dhaka Dynamites",NA,"2"
"Shahid Afridi",2017-11-18,"Rajshahi Kings","Dhaka Dynamites",2,"4.0",0,26,4,6.5,11,"Bangladesh Premier League","2017/18",1121263,"Shere Bangla National Stadium, Mirpur","Dhaka","Dhaka Dynamites","Rajshahi Kings","Rajshahi Kings","field","E Lewis","Dhaka Dynamites",NA,"68"
"Junaid Khan",2017-11-21,"Rajshahi Kings","Khulna Titans",1,"4.0",0,27,4,6.75,13,"Bangladesh Premier League","2017/18",1121267,"Shere Bangla National Stadium, Mirpur","Dhaka","Rajshahi Kings","Khulna Titans","Khulna Titans","field","Ariful Haque","Khulna Titans","2",NA
"Abu Hider",2015-11-30,"Sylhet Super Stars","Comilla Victorians",2,"3.4",0,28,4,7.63636363636364,9,"Bangladesh Premier League","2015/16",935309,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Comilla Victorians","Sylhet Super Stars","Sylhet Super Stars","field","RS Bopara","Sylhet Super Stars","4",NA
