"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Shamim Hossain",2,"1.1",0,29,0,Inf,24.8571428571429,Inf,1,0,0,"0/4"
"TAM Siriwardana",1,"3.0",0,29,0,Inf,9.66666666666667,Inf,4,0,0,"0/29"
"Sohail Khan",1,"3.2",0,30,0,Inf,9,Inf,10,0,0,"0/30"
"Anamul Haque",1,"3.0",0,31,0,Inf,10.3333333333333,Inf,4,0,0,"0/31"
"Ghulam Mudassar",1,"2.0",0,31,0,Inf,15.5,Inf,4,0,0,"0/31"
"Tapash Baisya",1,"2.0",0,31,0,Inf,15.5,Inf,0,0,0,"0/31"
"Waqar Salamkheil",1,"4.0",1,33,0,Inf,8.25,Inf,12,0,0,"0/33"
"Saif Hassan",2,"3.0",0,34,0,Inf,11.3333333333333,Inf,6,0,0,"0/14"
"AR Adams",2,"4.0",0,36,0,Inf,9,Inf,8,0,0,"0/14"
"M Muralitharan",2,"6.0",1,38,0,Inf,6.33333333333333,Inf,20,0,0,"0/6"
"BAW Mendis",1,"4.0",0,41,0,Inf,10.25,Inf,6,0,0,"0/41"
"Qaisar Abbas",1,"4.0",0,42,0,Inf,10.5,Inf,7,0,0,"0/42"
"SMLD Samarakoon",1,"4.0",0,44,0,Inf,11,Inf,7,0,0,"0/44"
"JJ Cobb",4,"6.0",0,45,0,Inf,7.5,Inf,4,0,0,"0/8"
"Syed Rasel",2,"4.0",0,46,0,Inf,11.5,Inf,8,0,0,"0/13"
"CJ Jordan",2,"5.2",0,49,0,Inf,9.1875,Inf,7,0,0,"0/21"
"Shiraz Ahmed",2,"7.0",0,74,0,Inf,10.5714285714286,Inf,16,0,0,"0/18"
"Gulbadin Naib",4,"10.0",0,75,0,Inf,7.5,Inf,19,0,0,"0/11"
"BMAJ Mendis",6,"8.0",0,87,0,Inf,10.875,Inf,10,0,0,"0/8"
"Ashiqur Zaman",3,"9.0",0,98,0,Inf,10.8888888888889,Inf,18,0,0,"0/22"
"Jubair Hossain",5,"10.1",0,102,0,Inf,10.0327868852459,Inf,13,0,0,"0/12"
"Mahmudul Hasan",11,"18.0",0,194,0,Inf,10.7777777777778,Inf,27,0,0,"0/8"
