"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SW Currie",2023-08-15,"Lancashire","Hampshire",2,"8.0",0,41,2,5.125,24,"One-Day Cup",2023,1347533,"Old Trafford, Manchester","Manchester","Hampshire","Lancashire","Hampshire","bat",NA,"Hampshire",NA,"11"
"T van der Gugten",2023-08-20,"Somerset","Glamorgan",1,"10.0",2,41,2,4.1,37,"One-Day Cup",2023,1347551,"The Cooper Associates County Ground, Taunton","Taunton","Somerset","Glamorgan","Somerset","bat",NA,"Glamorgan","2",NA
"T Westley",2021-08-16,"Glamorgan","Essex",2,"10.0",0,41,2,4.1,28,"Royal London One-Day Cup",2021,1250233,"Sophia Gardens, Cardiff","Cardiff","Essex","Glamorgan","Glamorgan","field",NA,"Glamorgan","5",NA
"TD Groenewald",2014-08-07,"Middlesex","Somerset",1,"10.0",1,41,2,4.1,37,"Royal London One-Day Cup",2014,693339,"Lord's, London","London","Middlesex","Somerset","Somerset","field",NA,"Somerset","6",NA
"TMJ Smith",2022-08-10,"Nottinghamshire","Gloucestershire",1,"10.0",0,41,2,4.1,29,"Royal London One-Day Cup",2022,1297982,"County Ground, Bristol","Bristol","Nottinghamshire","Gloucestershire","Nottinghamshire","bat",NA,"Gloucestershire","5",NA
"TT Bresnan",2015-08-27,"Essex","Yorkshire",2,"8.5",0,41,2,4.64150943396226,31,"Royal London One-Day Cup",2015,804861,"County Ground, Chelmsford","Chelmsford","Yorkshire","Essex","Essex","field","LE Plunkett","Yorkshire",NA,"20"
"WS Davis",2023-08-20,"Yorkshire","Leicestershire",1,"9.0",0,41,2,4.55555555555556,27,"One-Day Cup",2023,1347554,"Grace Road, Leicester","Leicester","Yorkshire","Leicestershire","Leicestershire","field",NA,"Leicestershire","6",NA
"WSA Williams",2024-07-28,"Kent","Lancashire",1,"9.0",1,41,2,4.55555555555556,31,"One-Day Cup",2024,1415093,"Stanley Park, Blackpool","Blackpool","Kent","Lancashire","Lancashire","field",NA,"Kent",NA,"5"
"Y Majid",2022-08-04,"Durham","Surrey",1,"10.0",1,41,2,4.1,33,"Royal London One-Day Cup",2022,1297964,"Roseworth Terrace, Gosforth","Gosforth","Durham","Surrey","Surrey","field",NA,"Surrey","9",NA
"AS Dale",2022-08-21,"Middlesex","Gloucestershire",1,"10.0",2,42,2,4.2,37,"Royal London One-Day Cup",2022,1298019,"Radlett Cricket Club, Radlett","Radlett","Middlesex","Gloucestershire","Middlesex","bat",NA,"Gloucestershire","5",NA
