"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Zhang Yu Fei",2018-09-15,"China","Japan",1,56,53,5,3,105.660377358491,FALSE,"East Asia Cup","2018",1159091,"Mission Road Ground, Mong Kok","Hong Kong","China","Japan","China","bat","R Matsumura","Japan","7",NA
"Aamir Javed",2015-01-27,"Kuwait","Maldives",2,55,18,3,6,305.555555555556,TRUE,"ACC Twenty20 Cup","2014/15",811121,"Sharjah Cricket Stadium",NA,"Kuwait","Maldives","Maldives","bat","Sibtain Raza","Kuwait","9",NA
"Anwar Arudin",2016-02-21,"Malaysia","Singapore",1,55,26,3,5,211.538461538462,FALSE,"Stan Nagaiah Trophy","2015/16",973777,"Kinrara Academy Oval","Kuala Lumpur","Malaysia","Singapore","Singapore","field",NA,"Malaysia",NA,"83"
"Imran Ismail",2018-10-30,"Mozambique","Lesotho",1,55,35,8,2,157.142857142857,FALSE,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163057,"Botswana Cricket Association Oval 1","Gaborone","Mozambique","Lesotho","Mozambique","bat","FA Cossa","Mozambique",NA,"66"
"PR Stirling",2015-07-19,"Ireland","Jersey",2,55,38,7,1,144.736842105263,FALSE,"ICC World Twenty20 Qualifier","2015",875535,"The Village, Malahide","Dublin","Ireland","Jersey","Ireland","field","PR Stirling","Ireland","7",NA
"Irfan Ahmed",2015-05-18,"Hong Kong","Namibia",1,55,39,2,3,141.025641025641,FALSE,"Hong Kong tour of Namibia","2015",877507,"Wanderers Cricket Ground","Windhoek","Namibia","Hong Kong","Namibia","field","JJ Atkinson","Hong Kong",NA,"59"
"GO Jones",2013-11-19,"Papua New Guinea","Nepal",1,55,53,0,4,103.77358490566,FALSE,"ICC World Twenty20 Qualifier","2013/14",660151,"Sharjah Cricket Stadium",NA,"Nepal","Papua New Guinea","Papua New Guinea","bat","B Bhandari","Nepal","7",NA
"Shoaib Ali",2016-09-28,"Saudi Arabia","Qatar",1,54,18,1,7,300,FALSE,"Kenya T20 Quadrangular Series","2016",1058157,"Jaffery Sports Club Ground","Nairobi","Qatar","Saudi Arabia","Qatar","field",NA,"Saudi Arabia",NA,"36"
"P Khadka",2013-11-16,"Nepal","Kenya",2,54,31,3,4,174.193548387097,TRUE,"ICC World Twenty20 Qualifier","2013/14",660121,"ICC Academy Oval 2","Dubai","Kenya","Nepal","Nepal","field","RR Patel","Nepal","6",NA
"SJ Myburgh",2013-11-19,"Netherlands","Denmark",2,54,32,4,4,168.75,TRUE,"ICC World Twenty20 Qualifier","2013/14",660143,"ICC Academy Ground No 2","Dubai","Denmark","Netherlands","Denmark","bat","Ahsan Malik","Netherlands","7",NA
