"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"F Nkhoma",1,8,9,88.8888888888889,Inf,0,0,1,0,0,8
"F Nsubuga",8,46,53,86.7924528301887,6.57142857142857,4,1,1,0,0,19
"F Pieters",3,9,14,64.2857142857143,3,0,1,0,0,0,7
"F Sapatu",2,8,12,66.6666666666667,8,1,0,1,0,0,8
"F Sutherland",5,48,62,77.4193548387097,12,4,2,1,0,0,20
"F Vaaetasi",3,10,15,66.6666666666667,10,1,0,2,0,0,6
"FA Cossa",3,97,50,194,32.3333333333333,6,9,0,0,1,59
"FA Klokker",7,96,106,90.5660377358491,13.7142857142857,8,3,0,0,0,40
"FS Crockwell",2,19,27,70.3703703703704,9.5,2,0,0,0,0,14
"Fahad Babar",7,135,139,97.1223021582734,19.2857142857143,14,1,0,0,0,30
"Fahad Nawaz",2,12,8,150,6,1,1,0,0,0,8
"Faheem Afrad",1,1,1,100,Inf,0,0,1,0,0,1
"Faisal Javed",9,218,121,180.165289256198,24.2222222222222,30,10,0,0,0,48
"Faisal Khan",6,131,79,165.822784810127,21.8333333333333,7,13,0,0,0,35
"Faizan Asif",2,24,33,72.7272727272727,12,3,0,0,0,0,21
"Faizan Mumtaz",3,52,32,162.5,26,4,2,1,0,0,38
"Fareed Ahmad",2,4,4,100,4,0,0,1,0,0,4
"Faruq Hakimin",1,2,5,40,2,0,0,0,0,0,2
"Farzan Afzal",1,13,8,162.5,Inf,2,0,1,0,0,13
"Fazal Rahman",2,7,9,77.7777777777778,3.5,0,0,0,0,0,5
"Feng Yu",1,0,2,0,0,0,0,0,0,0,0
"Fiaz Ahmad",1,6,5,120,6,1,0,0,0,0,6
"Fiaz Ahmed",5,56,66,84.8484848484848,11.2,5,0,0,0,0,17
"Fida Hussain",2,39,44,88.6363636363636,39,1,0,1,0,0,21
"G Burrows",3,21,18,116.666666666667,Inf,0,0,3,0,0,9
"G Goudie",1,7,6,116.666666666667,7,1,0,0,0,0,7
"G Irvin",1,0,0,NA,NA,0,0,1,0,0,0
"G Johnson",3,20,31,64.5161290322581,10,1,1,1,0,0,11
"G Kansonkho",4,20,31,64.5161290322581,6.66666666666667,2,0,1,0,0,10
"G Malla",16,353,340,103.823529411765,25.2142857142857,28,7,2,0,1,52
"G Schachat",5,25,50,50,12.5,0,0,3,0,0,16
"G Snyman",11,188,146,128.767123287671,17.0909090909091,18,9,0,0,1,82
"GC Wilson",8,192,155,123.870967741935,48,13,3,4,0,1,53
"GD Arta",3,32,47,68.0851063829787,16,3,0,1,0,0,23
"GF Gomes",1,13,21,61.9047619047619,13,0,0,0,0,0,13
"GH Dockrell",1,0,1,0,NA,0,0,1,0,0,0
"GJ Thompson",1,17,21,80.9523809523809,17,1,0,0,0,0,17
"GK Berg",7,213,134,158.955223880597,30.4285714285714,29,4,0,0,2,90
"GM Ntambalika",4,56,39,143.589743589744,18.6666666666667,5,2,1,0,0,29
"GO Jones",7,180,151,119.205298013245,25.7142857142857,13,7,0,0,1,55
"GP Meade",1,7,10,70,7,1,0,0,0,0,7
"GR Russ",5,42,40,105,21,2,1,3,0,0,16
"GRD Munasinghe",3,5,5,100,2.5,0,0,1,0,0,5
"GSNFG Jayasuriya",1,0,5,0,0,0,0,0,0,0,0
"GT Taylor",1,6,8,75,6,1,0,0,0,0,6
"Gaofeng Hu",1,1,3,33.3333333333333,Inf,0,0,1,0,0,1
"Gayan Munaweera",1,31,27,114.814814814815,31,2,1,0,0,0,31
"Ghazanfar Ali",1,0,2,0,0,0,0,0,0,0,0
"Ghulam Shabber",4,93,75,124,31,10,2,1,0,1,63
"Gulam Mustafa",1,26,22,118.181818181818,26,1,1,0,0,0,26
"Gulbadin Naib",7,54,49,110.204081632653,10.8,4,2,2,0,0,12
"Gurdeep Singh",6,65,66,98.4848484848485,16.25,5,1,2,0,0,21
"H Carlyon",3,57,62,91.9354838709677,28.5,4,0,1,0,1,50
"H Dandapani",2,4,8,50,2,0,0,0,0,0,3
"H Gillett",2,3,12,25,3,0,0,1,0,0,3
"H Lin Aung",4,21,56,37.5,5.25,2,0,0,0,0,16
"H Lin Oo",3,10,17,58.8235294117647,5,1,0,1,0,0,9
"H Min Jian",2,1,5,20,1,0,0,1,0,0,1
"H Patel",8,137,129,106.201550387597,17.125,16,3,0,0,0,45
"H Ramaiya",2,9,14,64.2857142857143,Inf,1,0,2,0,0,8
"H Rashid",3,40,60,66.6666666666667,13.3333333333333,3,1,0,0,0,19
"H Shahid",2,5,9,55.5555555555556,Inf,0,0,2,0,0,5
"H Singh",3,36,41,87.8048780487805,18,1,0,1,0,0,18
"H Ssenyondo",2,1,3,33.3333333333333,1,0,0,1,0,0,1
"HAM Shah",9,116,138,84.0579710144928,14.5,8,3,1,0,0,31
"HB Kayondo",8,95,83,114.457831325301,11.875,15,1,0,0,0,26
"HDRL Thirimanne",2,62,43,144.186046511628,31,7,1,0,0,1,57
"HER Tyler",5,100,92,108.695652173913,20,9,4,0,0,0,33
"HG Munsey",3,71,39,182.051282051282,35.5,12,2,1,0,0,35
"HH Banner",5,29,30,96.6666666666667,5.8,2,2,0,0,0,10
"HH Patel",3,32,37,86.4864864864865,10.6666666666667,4,0,0,0,0,15
"HJ Yan",5,13,44,29.5454545454545,2.6,1,0,0,0,0,11
"HN Ya France",7,180,128,140.625,30,27,4,1,0,1,62
"HR Bhamu",1,2,5,40,Inf,0,0,1,0,0,2
