"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","match_referee","winner","winner_wickets","winner_runs","method","tv_umpire","outcome"
660105,6,"Kenya","Papua New Guinea","male","2013/14",2013-11-15,"ICC World Twenty20 Qualifier","7","Sheikh Zayed Stadium Nursery 2","Abu Dhabi","Kenya","bat","GO Jones","JS Wilson","AT Holdstock","Sarika Prasad","GF Labrooy","Papua New Guinea",4,NA,NA,NA,NA
660109,6,"Namibia","United Arab Emirates","male","2013/14",2013-11-16,"ICC World Twenty20 Qualifier","9","Sheikh Zayed Stadium","Abu Dhabi","United Arab Emirates","field","Rohan Mustafa","C Shamshuddin","IN Ramage","MA Gough","D Govindjee","United Arab Emirates",5,NA,NA,NA,NA
660111,6,"Denmark","Bermuda","male","2013/14",2013-11-16,"ICC World Twenty20 Qualifier","10","ICC Academy Oval 1","Dubai","Denmark","bat","T Manders","S Ravi","Sarika Prasad","JS Wilson","DT Jukes","Bermuda",9,NA,NA,NA,NA
660115,6,"Uganda","Hong Kong","male","2013/14",2013-11-16,"ICC World Twenty20 Qualifier","12","Abu Dhabi Oval 1","Abu Dhabi","Uganda","bat","Haseeb Amjad","SJ Davis","Shozab Raza","Zaheer-ul-Haq","D Govindjee","Hong Kong",4,NA,NA,NA,NA
660117,6,"United States of America","Italy","male","2013/14",2013-11-16,"ICC World Twenty20 Qualifier","13","Zayed Cricket Stadium","Abu Dhabi","United States of America","bat","GK Berg","DJ Walker","GO Brathwaite","Khalid Elahi","D Govindjee","Italy",6,NA,NA,NA,NA
660121,6,"Kenya","Nepal","male","2013/14",2013-11-16,"ICC World Twenty20 Qualifier","15","ICC Academy Oval 2","Dubai","Nepal","field","RR Patel","JD Ward","M Hawthorne","Razzak Shah","DT Jukes","Nepal",6,NA,NA,NA,NA
660125,6,"Namibia","United States of America","male","2013/14",2013-11-17,"ICC World Twenty20 Qualifier","17","Abu Dhabi Oval 1","Abu Dhabi","United States of America","field","SF Burger","GO Brathwaite","Shozab Raza","REJ Martinesz","D Govindjee","Namibia",NA,35,NA,NA,NA
660127,6,"Ireland","United Arab Emirates","male","2013/14",2013-11-17,"ICC World Twenty20 Qualifier","18","Abu Dhabi Oval 2","Abu Dhabi","Ireland","bat","KJ O'Brien","C Shamshuddin","DJ Walker","SJ Davis","D Govindjee","Ireland",NA,5,NA,NA,NA
660131,6,"Papua New Guinea","Afghanistan","male","2013/14",2013-11-17,"ICC World Twenty20 Qualifier","20","Sharjah Cricket Stadium","Sharjah","Papua New Guinea","bat","Samiullah Shenwari","M Hawthorne","Sarika Prasad","JS Wilson","DT Jukes","Afghanistan",6,NA,"D/L",NA,NA
660133,6,"Italy","Uganda","male","2013/14",2013-11-18,"ICC World Twenty20 Qualifier","21","Sheikh Zayed Stadium","Abu Dhabi","Uganda","field","RG Okia","SJ Davis","IN Ramage","Shozab Raza","D Govindjee","Uganda",1,NA,NA,NA,NA
660135,6,"Denmark","Kenya","male","2013/14",2013-11-18,"ICC World Twenty20 Qualifier","22","ICC Academy","Dubai","Denmark","bat","NN Odhiambo","CB Gaffaney","BB Pradhan","Sarika Prasad","DT Jukes","Kenya",8,NA,NA,NA,NA
660137,6,"Hong Kong","Canada","male","2013/14",2013-11-18,"ICC World Twenty20 Qualifier","23","Abu Dhabi Oval 1","Abu Dhabi","Canada","field","Irfan Ahmed","REJ Martinesz","GO Brathwaite","DJ Walker","D Govindjee","Hong Kong",NA,53,NA,NA,NA
660139,6,"Nepal","Scotland","male","2013/14",2013-11-18,"ICC World Twenty20 Qualifier","24","ICC Academy Ground No 2","Dubai","Scotland","field","CS MacLeod","S Ravi","JS Wilson","JD Ward","GF Labrooy","Scotland",8,NA,NA,NA,NA
660141,6,"Italy","Namibia","male","2013/14",2013-11-19,"ICC World Twenty20 Qualifier","25","Sheikh Zayed Stadium Nursery 1","Abu Dhabi","Italy","bat","CG Williams","SJ Davis","C Shamshuddin","Shozab Raza","D Govindjee","Namibia",3,NA,NA,NA,NA
660143,6,"Denmark","Netherlands","male","2013/14",2013-11-19,"ICC World Twenty20 Qualifier","26","ICC Academy Ground No 2","Dubai","Denmark","bat","Ahsan Malik","JD Ward","JS Wilson","M Hawthorne","GF Labrooy","Netherlands",7,NA,NA,NA,NA
660145,6,"United Arab Emirates","Hong Kong","male","2013/14",2013-11-19,"ICC World Twenty20 Qualifier","27","Sheikh Zayed Stadium","Abu Dhabi","United Arab Emirates","field","Khurram Khan","REJ Martinesz","DJ Walker","IN Ramage","D Govindjee","United Arab Emirates",7,NA,NA,NA,NA
660147,6,"Canada","Uganda","male","2013/14",2013-11-19,"ICC World Twenty20 Qualifier","28","Sheikh Zayed Stadium Nursery 1","Abu Dhabi","Canada","bat","AS Hansra","MA Gough","Shozab Raza","GO Brathwaite","D Govindjee","Canada",NA,44,NA,NA,NA
660151,6,"Nepal","Papua New Guinea","male","2013/14",2013-11-19,"ICC World Twenty20 Qualifier","30","Sharjah Cricket Stadium",NA,"Papua New Guinea","bat","B Bhandari","CB Gaffaney","Sarika Prasad","Iftikhar Ali","DT Jukes","Nepal",7,NA,NA,NA,NA
