"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"S Ecclestone",2020-11-09,"Supernovas","Trailblazers",2,"4.0",0,26,1,6.5,11,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"A Khaka",2022-05-26,"Trailblazers","Velocity",1,"3.0",0,27,1,9,5,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"A Khaka",2022-05-28,"Supernovas","Velocity",1,"4.0",0,27,1,6.75,6,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"KL Cross",2022-05-26,"Trailblazers","Velocity",1,"3.0",0,27,1,9,7,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"NR Sciver",2019-05-11,"Velocity","Supernovas",1,"4.0",1,27,1,6.75,11,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"P Vastrakar",2022-05-24,"Velocity","Supernovas",2,"3.0",0,27,1,9,7,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"Poonam Yadav",2020-11-04,"Velocity","Supernovas",2,"4.0",0,27,1,6.75,10,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"SFM Devine",2019-05-06,"Trailblazers","Supernovas",1,"4.0",0,27,1,6.75,10,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"AA Patil",2019-05-09,"Velocity","Supernovas",2,"4.0",0,28,1,7,8,"Women's T20 Challenge","2019",1181895,"Sawai Mansingh Stadium, Jaipur","Jaipur","Supernovas","Velocity","Velocity","field","JI Rodrigues","Supernovas",NA,"12"
"RS Gayakwad",2019-05-08,"Velocity","Trailblazers",2,"3.0",0,28,1,9.33333333333333,7,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"Poonam Yadav",2022-05-23,"Supernovas","Trailblazers",1,"4.0",0,29,1,7.25,7,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"HASD Siriwardene",2020-11-04,"Velocity","Supernovas",2,"3.5",0,30,1,7.82608695652174,9,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"RP Yadav",2019-05-09,"Velocity","Supernovas",2,"4.0",0,30,1,7.5,14,"Women's T20 Challenge","2019",1181895,"Sawai Mansingh Stadium, Jaipur","Jaipur","Supernovas","Velocity","Velocity","field","JI Rodrigues","Supernovas",NA,"12"
"DB Sharma",2022-05-24,"Supernovas","Velocity",1,"4.0",0,31,1,7.75,7,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"P Vastrakar",2022-05-28,"Velocity","Supernovas",2,"3.0",0,32,1,10.6666666666667,5,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"Renuka Singh",2022-05-26,"Velocity","Trailblazers",2,"4.0",0,32,1,8,9,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"AA Patil",2018-05-22,"Trailblazers","Supernovas",1,"4.0",0,34,1,8.5,7,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"H Deol",2020-11-07,"Supernovas","Trailblazers",1,"4.0",0,34,1,8.5,6,"Women's T20 Challenge","2020/21",1235588,"Sharjah Cricket Stadium","Sharjah","Supernovas","Trailblazers","Supernovas","bat","AC Jayangani","Supernovas",NA,"2"
"RS Gayakwad",2022-05-23,"Supernovas","Trailblazers",1,"4.0",0,34,1,8.5,6,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
