"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"HASD Siriwardene",2020-11-04,"Supernovas","Velocity",1,18,21,1,0,85.7142857142857,FALSE,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"Shafali Verma",2020-11-04,"Velocity","Supernovas",2,17,11,4,0,154.545454545455,FALSE,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"YH Bhatia",2022-05-24,"Velocity","Supernovas",2,17,13,2,0,130.769230769231,FALSE,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"L Wolvaardt",2022-05-26,"Velocity","Trailblazers",2,17,16,2,0,106.25,FALSE,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"M Raj",2019-05-08,"Velocity","Trailblazers",2,17,22,1,0,77.2727272727273,FALSE,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"MM Lanning",2018-05-22,"Supernovas","Trailblazers",2,16,14,3,0,114.285714285714,FALSE,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"DB Sharma",2019-05-08,"Trailblazers","Velocity",1,16,16,2,0,100,FALSE,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"PS Punia",2019-05-09,"Supernovas","Velocity",1,16,16,2,0,100,FALSE,"Women's T20 Challenge","2019",1181895,"Sawai Mansingh Stadium, Jaipur","Jaipur","Supernovas","Velocity","Velocity","field","JI Rodrigues","Supernovas",NA,"12"
"Shafali Verma",2022-05-28,"Velocity","Supernovas",2,15,8,3,0,187.5,FALSE,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"S Rana",2022-05-28,"Velocity","Supernovas",2,15,15,2,0,100,FALSE,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"S Mandhana",2018-05-22,"Trailblazers","Supernovas",1,14,9,3,0,155.555555555556,FALSE,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"P Vastrakar",2022-05-23,"Supernovas","Trailblazers",1,14,12,1,0,116.666666666667,FALSE,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"S Pandey",2018-05-22,"Trailblazers","Supernovas",1,14,15,1,0,93.3333333333333,TRUE,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"Renuka Singh",2022-05-23,"Trailblazers","Supernovas",2,14,18,2,0,77.7777777777778,TRUE,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"T Bhatia",2020-11-09,"Supernovas","Trailblazers",2,14,20,1,0,70,FALSE,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"KL Cross",2022-05-28,"Velocity","Supernovas",2,13,7,2,0,185.714285714286,FALSE,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"Shafali Verma",2020-11-05,"Velocity","Trailblazers",1,13,9,1,1,144.444444444444,FALSE,"Women's T20 Challenge","2020/21",1235587,"Sharjah Cricket Stadium","Sharjah","Velocity","Trailblazers","Velocity","bat","S Ecclestone","Trailblazers","9",NA
"YH Bhatia",2022-05-28,"Velocity","Supernovas",2,13,9,3,0,144.444444444444,FALSE,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"RM Ghosh",2020-11-05,"Trailblazers","Velocity",2,13,10,1,1,130,TRUE,"Women's T20 Challenge","2020/21",1235587,"Sharjah Cricket Stadium","Sharjah","Velocity","Trailblazers","Velocity","bat","S Ecclestone","Trailblazers","9",NA
"EA Perry",2018-05-22,"Supernovas","Trailblazers",2,13,14,1,0,92.8571428571429,TRUE,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"JI Rodrigues",2020-11-09,"Supernovas","Trailblazers",2,13,16,1,0,81.25,FALSE,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"SD Bahadur",2022-05-26,"Velocity","Trailblazers",2,12,10,2,0,120,FALSE,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
