"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","method","winner_runs","outcome","eliminator"
1247034,6,"Karachi Kings","Peshawar Zalmi","male","2021",2021-06-15,"Pakistan Super League","24","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Peshawar Zalmi","field","Hazratullah","Ahsan Raza","Shozab Raza","Faisal Afridi","Rashid Riaz","Mohammad Anees (2)","Peshawar Zalmi",6,NA,NA,NA,NA
1247035,6,"Multan Sultans","Quetta Gladiators","male","2021",2021-06-16,"Pakistan Super League","25","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Quetta Gladiators","field","Shan Masood","Aleem Dar","Shozab Raza","Faisal Afridi","Asif Yaqoob",NA,"Multan Sultans",NA,NA,110,NA,NA
1247036,6,"Islamabad United","Peshawar Zalmi","male","2021",2021-06-17,"Pakistan Super League","26","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Peshawar Zalmi","field","UT Khawaja","Rashid Riaz","Shozab Raza","Zameer Haider","Ahsan Raza","Mohammad Anees (2)","Islamabad United",NA,NA,15,NA,NA
1247037,6,"Karachi Kings","Lahore Qalandars","male","2021",2021-06-17,"Pakistan Super League","27","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Karachi Kings","bat","Noor Ahmad","Ahsan Raza","Asif Yaqoob","Zameer Haider","Aleem Dar","Mohammad Anees (2)","Karachi Kings",NA,NA,7,NA,NA
1247038,6,"Multan Sultans","Lahore Qalandars","male","2021",2021-06-18,"Pakistan Super League","28","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Lahore Qalandars","field","Shahnawaz Dhani","Aleem Dar","Shozab Raza","Faisal Afridi","Asif Yaqoob","Muhammad Javed","Multan Sultans",NA,NA,80,NA,NA
1247039,6,"Karachi Kings","Quetta Gladiators","male","2021",2021-06-19,"Pakistan Super League","29","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Karachi Kings","bat","Danish Aziz","Asif Yaqoob","Shozab Raza","Zameer Haider","Ahsan Raza","Muhammad Javed","Karachi Kings",NA,NA,14,NA,NA
1247040,6,"Multan Sultans","Islamabad United","male","2021",2021-06-19,"Pakistan Super League","30","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Islamabad United","field","Mohammad Wasim","Aleem Dar","Rashid Riaz","Zameer Haider","Asif Yaqoob","Muhammad Javed","Islamabad United",4,NA,NA,NA,NA
1247041,6,"Multan Sultans","Islamabad United","male","2021",2021-06-21,"Pakistan Super League",NA,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Multan Sultans","bat","Sohail Tanvir","Ahsan Raza","Rashid Riaz","Asif Yaqoob","Aleem Dar","Muhammad Javed","Multan Sultans",NA,NA,31,NA,NA
1247042,6,"Karachi Kings","Peshawar Zalmi","male","2021",2021-06-21,"Pakistan Super League",NA,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Peshawar Zalmi","field","Hazratullah","Aleem Dar","Shozab Raza","Ahsan Raza","Asif Yaqoob","Muhammad Javed","Peshawar Zalmi",5,NA,NA,NA,NA
1247043,6,"Islamabad United","Peshawar Zalmi","male","2021",2021-06-22,"Pakistan Super League",NA,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Peshawar Zalmi","field","Hazratullah","Aleem Dar","Asif Yaqoob","Shozab Raza","Rashid Riaz","Mohammad Anees","Peshawar Zalmi",8,NA,NA,NA,NA
