"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"D Wiese",2019-12-13,"Nelson Mandela Bay Giants","Tshwane Spartans",2,"4.0",0,30,3,7.5,8,"Mzansi Super League","2019/20",1202000,"St George's Park, Port Elizabeth","Port Elizabeth","Tshwane Spartans","Nelson Mandela Bay Giants","Nelson Mandela Bay Giants","field","D Wiese","Tshwane Spartans",NA,"22"
"TK Curran",2019-11-24,"Jozi Stars","Tshwane Spartans",2,"4.0",0,30,3,7.5,13,"Mzansi Super League","2019/20",1201985,"New Wanderers Stadium, Johannesburg","Johannesburg","Tshwane Spartans","Jozi Stars","Tshwane Spartans","bat","AB de Villiers","Tshwane Spartans",NA,"20"
"A Nortje",2019-11-10,"Paarl Rocks","Cape Town Blitz",1,"4.0",0,31,3,7.75,11,"Mzansi Super League","2019/20",1201972,"Boland Park, Paarl","Paarl","Paarl Rocks","Cape Town Blitz","Paarl Rocks","bat","GC Viljoen","Paarl Rocks",NA,"86"
"DJ Bravo",2018-11-18,"Tshwane Spartans","Paarl Rocks",1,"4.0",0,31,3,7.75,10,"Mzansi Super League","2018/19",1162644,"Boland Park, Paarl","Paarl","Tshwane Spartans","Paarl Rocks","Paarl Rocks","field","TB de Bruyn","Tshwane Spartans",NA,"1"
"E Leie",2018-11-20,"Paarl Rocks","Jozi Stars",2,"4.0",0,33,3,8.25,9,"Mzansi Super League","2018/19",1162645,"Boland Park, Paarl","Paarl","Jozi Stars","Paarl Rocks","Paarl Rocks","field","RD Rickelton","Jozi Stars",NA,"60"
"FD Adams",2019-12-08,"Nelson Mandela Bay Giants","Paarl Rocks",2,"4.0",0,36,3,9,7,"Mzansi Super League","2019/20",1201997,"Boland Park, Paarl","Paarl","Paarl Rocks","Nelson Mandela Bay Giants","Nelson Mandela Bay Giants","field","T Shamsi","Paarl Rocks",NA,"12"
"K Rabada",2019-12-01,"Paarl Rocks","Jozi Stars",2,"4.0",0,36,3,9,5,"Mzansi Super League","2019/20",1201990,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Paarl Rocks","Paarl Rocks","field","BS Makhanya","Paarl Rocks","5",NA
"L Sipamla",2018-12-12,"Durban Heat","Tshwane Spartans",2,"4.0",0,37,3,9.25,9,"Mzansi Super League","2018/19",1162670,"SuperSport Park, Centurion","Centurion","Tshwane Spartans","Durban Heat","Tshwane Spartans","bat","JA Morkel","Durban Heat","2",NA
"D Olivier",2018-12-04,"Cape Town Blitz","Jozi Stars",2,"4.0",0,38,3,9.5,11,"Mzansi Super League","2018/19",1162660,"Newlands, Cape Town","Cape Town","Jozi Stars","Cape Town Blitz","Jozi Stars","bat","RR Hendricks","Jozi Stars",NA,"50"
"D Olivier",2019-11-22,"Paarl Rocks","Jozi Stars",2,"4.0",0,39,3,9.75,7,"Mzansi Super League","2019/20",1201982,"Boland Park, Paarl","Paarl","Jozi Stars","Paarl Rocks","Jozi Stars","bat","D Pretorius","Paarl Rocks","4",NA
