"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"DM Dupavillon","Durban Heat","2019/20","Mzansi Super League",1,"2.0",0,18,0,Inf,9,Inf,4,0,0,"0/18"
"P Subrayen","Durban Heat","2019/20","Mzansi Super League",1,"2.0",0,18,0,Inf,9,Inf,3,0,0,"0/18"
"BS Makhanya","Paarl Rocks","2019/20","Mzansi Super League",2,"2.0",0,21,0,Inf,10.5,Inf,0,0,0,"0/8"
"WJ Lubbe","Durban Heat","2019/20","Mzansi Super League",1,"3.0",0,21,0,Inf,7,Inf,4,0,0,"0/21"
"D Elgar","Tshwane Spartans","2019/20","Mzansi Super League",2,"2.0",0,22,0,Inf,11,Inf,0,0,0,"0/10"
"Waqar Salamkheil","Tshwane Spartans","2019/20","Mzansi Super League",1,"2.0",0,23,0,Inf,11.5,Inf,3,0,0,"0/23"
"DJ Malan","Cape Town Blitz","2018/19","Mzansi Super League",2,"3.0",0,25,0,Inf,8.33333333333333,Inf,8,0,0,"0/8"
"CP Savage","Jozi Stars","2018/19","Mzansi Super League",1,"3.0",0,27,0,Inf,9,Inf,6,0,0,"0/27"
"AK Markram","Paarl Rocks","2018/19","Mzansi Super League",2,"3.0",0,38,0,Inf,12.6666666666667,Inf,5,0,0,"0/15"
"H Davids","Paarl Rocks","2018/19","Mzansi Super League",2,"4.0",0,38,0,Inf,9.5,Inf,3,0,0,"0/19"
"Z Pongolo","Jozi Stars","2019/20","Mzansi Super League",1,"3.0",0,39,0,Inf,13,Inf,4,0,0,"0/39"
"P Subrayen","Durban Heat","2018/19","Mzansi Super League",1,"4.0",0,41,0,Inf,10.25,Inf,5,0,0,"0/41"
