"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","outcome","method","eliminator"
1144522,6,"Bangladesh","India","male","2019",2019-07-02,"World Cup","40","Edgbaston","Birmingham","India","bat","RG Sharma","M Erasmus","RSA Palliyaguruge","HDPK Dharmasena","Aleem Dar","RS Madugalle","India",NA,28,NA,NA,NA
1144523,6,"England","New Zealand","male","2019",2019-07-03,"World Cup","41","Riverside Ground","Chester-le-Street","England","bat","JM Bairstow","RJ Tucker","S Ravi","BNJ Oxenford","PR Reiffel","DC Boon","England",NA,119,NA,NA,NA
1144524,6,"Afghanistan","West Indies","male","2019",2019-07-04,"World Cup","42","Headingley","Leeds","West Indies","bat","SD Hope","CB Gaffaney","NJ Llong","P Wilson","IJ Gould","BC Broad","West Indies",NA,23,NA,NA,NA
1168518,6,"Ireland","Zimbabwe","male","2019",2019-07-04,"Zimbabwe tour of Netherlands and Ireland","2","Civil Service Cricket Club, Stormont","Belfast","Zimbabwe","field",NA,"R Black","S George","M Hawthorne",NA,"JJ Crowe","Ireland",NA,5,NA,NA,NA
1144525,6,"Bangladesh","Pakistan","male","2019",2019-07-05,"World Cup","43","Lord's","London","Pakistan","bat","Shaheen Shah Afridi","RA Kettleborough","MA Gough","JS Wilson","RK Illingworth","RB Richardson","Pakistan",NA,94,NA,NA,NA
1144526,6,"India","Sri Lanka","male","2019",2019-07-06,"World Cup","44","Headingley","Leeds","Sri Lanka","bat","RG Sharma","P Wilson","IJ Gould","NJ Llong","CB Gaffaney","BC Broad","India",7,NA,NA,NA,NA
1144527,6,"Australia","South Africa","male","2019",2019-07-06,"World Cup","45","Old Trafford","Manchester","South Africa","bat","F du Plessis","Aleem Dar","HDPK Dharmasena","RSA Palliyaguruge","S Ravi","RS Madugalle","South Africa",NA,10,NA,NA,NA
1168519,6,"Ireland","Zimbabwe","male","2019",2019-07-07,"Zimbabwe tour of Netherlands and Ireland","3","Civil Service Cricket Club, Stormont","Belfast","Zimbabwe","bat",NA,"R Black","S George","M Hawthorne",NA,"JJ Crowe","Ireland",6,NA,NA,NA,NA
1144528,6,"India","New Zealand","male","2019",2019-07-09,"World Cup",NA,"Old Trafford","Manchester","New Zealand","bat","MJ Henry","RA Kettleborough","RK Illingworth","NJ Llong","RJ Tucker","DC Boon","New Zealand",NA,18,NA,NA,NA
1144529,6,"Australia","England","male","2019",2019-07-11,"World Cup",NA,"Edgbaston","Birmingham","Australia","bat","CR Woakes","HDPK Dharmasena","M Erasmus","Aleem Dar","CB Gaffaney","RS Madugalle","England",8,NA,NA,NA,NA
