"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"Khaled Ahmed",2,1,4,25,1,0,0,1,0,0,1
"Khaled Mahmud",26,283,467,60.5995717344754,12.304347826087,21,2,3,0,0,36
"Khaled Mashud",36,605,1107,54.6522131887986,24.2,40,1,11,0,2,71
"Khalid Latif",5,147,228,64.4736842105263,29.4,13,0,0,0,1,64
"Khaliq Dad",1,0,1,0,0,0,0,0,0,0,0
"Khawar Ali",28,620,1054,58.8235294117647,26.9565217391304,55,6,5,0,4,79
"Khurram Chohan",9,77,137,56.2043795620438,12.8333333333333,5,2,3,0,0,22
"Khurram Khan",12,450,556,80.9352517985612,40.9090909090909,46,2,1,1,2,132
"Khurram Manzoor",6,206,316,65.1898734177215,34.3333333333333,20,0,0,0,3,83
"Khurram Nawaz",2,26,49,53.0612244897959,26,1,0,1,0,0,17
"Khushdil Shah",9,200,212,94.3396226415094,28.5714285714286,14,7,2,0,0,41
"Krishna Chandran",9,91,202,45.049504950495,13,9,0,2,0,0,34
"Kuldeep Yadav",37,190,338,56.2130177514793,10,14,0,18,0,0,19
"Kushal Malla",30,704,727,96.8363136176066,25.1428571428571,63,42,2,1,4,108
"L Balaji",12,104,129,80.6201550387597,13,8,3,4,0,0,21
"L Gregory",2,117,116,100.862068965517,58.5,10,3,0,0,1,77
"L Klusener",8,163,152,107.236842105263,54.3333333333333,9,8,5,0,1,57
"L Louwrens",21,502,802,62.5935162094763,23.9047619047619,58,1,0,0,3,57
"L Ngidi",22,91,185,49.1891891891892,11.375,5,5,14,0,0,19
"L Ronchi",68,1397,1220,114.508196721311,23.6779661016949,149,43,9,1,4,170
"L Siaka",40,749,993,75.4279959718026,18.725,72,10,0,0,2,90
"L Sipamla",2,14,19,73.6842105263158,Inf,0,0,2,0,0,10
"L Sreekumar",3,57,67,85.0746268656716,19,10,1,0,0,0,28
"L Tucker",42,841,1041,80.7877041306436,22.7297297297297,71,13,5,0,4,85
"L Vincent",45,1089,1521,71.5976331360947,26.5609756097561,113,17,4,2,6,102
"L Wood",1,10,10,100,10,1,0,0,0,0,10
"LA Dawson",5,63,74,85.1351351351351,12.6,4,1,0,0,0,20
"LB Williams",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"LC Romero",2,1,7,14.2857142857143,0.5,0,0,0,0,0,1
"LD Chandimal",140,3730,5054,73.8029283735655,30.8264462809917,255,43,19,3,24,111
"LD Madushanka",4,14,26,53.8461538461538,4.66666666666667,2,0,1,0,0,7
"LE Bosman",12,301,305,98.6885245901639,25.0833333333333,37,9,0,0,2,88
"LE Plunkett",47,536,492,108.943089430894,18.4827586206897,46,15,18,0,0,44
"LH Ferguson",30,122,236,51.6949152542373,7.17647058823529,6,3,13,0,0,19
"LHD Dilhara",4,49,60,81.6666666666667,12.25,3,3,0,0,0,29
"LJ Burger",6,11,62,17.741935483871,2.2,1,0,1,0,0,5
"LJ Hamilton",1,2,4,50,Inf,0,0,1,0,0,2
"LJ Woodcock",2,14,22,63.6363636363636,14,1,0,1,0,0,11
"LJ Wright",39,707,820,86.219512195122,20.2,63,18,4,0,2,52
"LL Tsotsobe",21,58,109,53.2110091743119,7.25,7,1,13,0,0,16
"LM Jongwe",35,414,499,82.9659318637274,13.8,40,7,5,0,0,46
"LMP Simmons",64,1958,2679,73.0869727510265,32.0983606557377,162,50,3,2,16,122
"LN Onyango",4,61,81,75.3086419753086,30.5,6,0,2,0,0,34
"LN Rajbanshi",16,37,127,29.1338582677165,6.16666666666667,2,0,10,0,0,11
"LN Roche",2,4,10,40,2,0,0,0,0,0,4
"LOB Cann",10,214,172,124.418604651163,21.4,23,10,0,0,1,52
"LP van Troost",9,112,160,70,14,9,3,1,0,0,34
"LPC Silva",49,1279,1754,72.9190421892816,30.452380952381,115,10,7,1,11,107
"LR Johnson",3,19,61,31.1475409836066,6.33333333333333,2,1,0,0,0,18
"LR Naylor",1,20,21,95.2380952380952,20,4,0,0,0,0,20
"LRPL Taylor",211,8198,9884,82.9421286928369,46.8457142857143,682,134,36,20,48,181
"LS Baker",3,11,16,68.75,11,2,0,2,0,0,11
"LS Livingstone",22,558,542,102.952029520295,29.3684210526316,37,26,3,0,3,95
"LV van Beek",33,507,602,84.21926910299,23.0454545454545,34,15,11,0,1,59
"Liton Das",90,2563,2958,86.6463826910074,30.5119047619048,275,45,6,5,12,176
"Lovepreet Singh",2,9,25,36,4.5,1,0,0,0,0,6
"M Bhanuka",6,140,194,72.1649484536082,23.3333333333333,13,2,0,0,0,36
"M Commins",1,6,13,46.1538461538462,6,0,0,0,0,0,6
"M Dillon",10,44,52,84.6153846153846,5.5,3,1,2,0,0,10
"M Faraz Akram",1,1,6,16.6666666666667,1,0,0,0,0,0,1
"M Jansen",19,422,373,113.13672922252,30.1428571428571,32,20,5,0,1,75
"M Kaif",64,1314,2007,65.4708520179372,24.7924528301887,120,1,11,0,11,93
"M Karg",2,45,65,69.2307692307692,22.5,4,1,0,0,0,41
"M Kartik",8,102,133,76.6917293233083,20.4,9,1,3,0,0,32
"M Labuschagne",47,1656,1994,83.049147442327,37.6363636363636,136,7,3,2,11,124
"M Levitt",4,96,122,78.6885245901639,24,11,6,0,0,1,57
"M Morkel",47,268,354,75.7062146892655,9.24137931034483,24,7,18,0,0,32
"M Muralitharan",66,317,379,83.6411609498681,7.37209302325581,30,7,23,0,0,32
"M Ntini",27,101,143,70.6293706293706,7.21428571428571,7,4,13,0,0,16
"M Pathirana",7,11,35,31.4285714285714,2.2,2,0,2,0,0,5
"M Prasidh Krishna",7,2,17,11.7647058823529,1,0,0,5,0,0,2
"M Pushpakumara",1,7,19,36.8421052631579,Inf,0,0,1,0,0,7
"M Shumba",9,57,117,48.7179487179487,8.14285714285714,3,1,2,0,0,26
"M Spoors",4,80,143,55.9440559440559,20,9,2,0,0,0,33
"M Theekshana",24,264,491,53.7678207739308,16.5,17,2,8,0,0,38
"M Vijay",16,339,506,66.99604743083,21.1875,33,3,0,0,1,72
"M Zondeki",2,1,3,33.3333333333333,1,0,0,1,0,0,1
"M van Jaarsveld",4,29,55,52.7272727272727,7.25,2,0,0,0,0,13
"M van Lingen",29,923,1017,90.7571288102261,38.4583333333333,98,21,5,4,2,133
"M van Schoor",5,58,111,52.2522522522523,14.5,3,1,1,0,0,24
