"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","method","winner_wickets","outcome","eliminator"
1291215,6,"Colombo Stars","Dambulla Giants","male","2021/22",2021-12-19,"Lanka Premier League",NA,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Colombo Stars","bat","J Liyanage","LE Hannibal","RR Wimalasiri","RMPJ Rambukwella","RSA Palliyaguruge","RS Madugalle","Dambulla Giants",NA,NA,6,NA,NA
1291216,6,"Galle Gladiators","Jaffna Kings","male","2021/22",2021-12-19,"Lanka Premier League",NA,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Jaffna Kings","field","BKG Mendis","RMPJ Rambukwella","RSA Palliyaguruge","RR Wimalasiri","LE Hannibal","GF Labrooy","Galle Gladiators",64,NA,NA,NA,NA
1291217,6,"Jaffna Kings","Dambulla Giants","male","2021/22",2021-12-21,"Lanka Premier League",NA,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Dambulla Giants","field","WIA Fernando","LE Hannibal","RMPJ Rambukwella","RR Wimalasiri","RSA Palliyaguruge","RS Madugalle","Jaffna Kings",23,NA,NA,NA,NA
1291218,6,"Jaffna Kings","Galle Gladiators","male","2021/22",2021-12-23,"Lanka Premier League",NA,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Jaffna Kings","bat","WIA Fernando","LE Hannibal","RR Wimalasiri","RMPJ Rambukwella","RSA Palliyaguruge","RS Madugalle","Jaffna Kings",23,NA,NA,NA,NA
1324519,6,"Jaffna Kings","Galle Gladiators","male","2022/23",2022-12-06,"Lanka Premier League","1","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","field","DN Wellalage","RA Kottahachchi","RSA Palliyaguruge","BCN Amarasinghe","LE Hannibal","GF Labrooy","Jaffna Kings",24,NA,NA,NA,NA
1324520,6,"Kandy Falcons","Colombo Stars","male","2022/23",2022-12-06,"Lanka Premier League","2","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Colombo Stars","field","ADS Fletcher","BCN Amarasinghe","RR Wimalasiri","IC Soysa","RMPJ Rambukwella","BCMS Mendis","Kandy Falcons",109,NA,NA,NA,NA
1324521,6,"Dambulla Aura","Jaffna Kings","male","2022/23",2022-12-07,"Lanka Premier League","3","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Dambulla Aura","bat","S Samarawickrama","LE Hannibal","REJ Martinesz","BCN Amarasinghe","RSA Palliyaguruge","GF Labrooy","Jaffna Kings",NA,NA,9,NA,NA
1324522,6,"Galle Gladiators","Kandy Falcons","male","2022/23",2022-12-07,"Lanka Premier League","4","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","bat","CR Brathwaite","IC Soysa","RMPJ Rambukwella","RA Kottahachchi","RR Wimalasiri","BCMS Mendis","Kandy Falcons",NA,NA,5,NA,NA
1324523,6,"Colombo Stars","Dambulla Aura","male","2022/23",2022-12-08,"Lanka Premier League","5","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Colombo Stars","bat","N Dickwella","BCN Amarasinghe","LE Hannibal","REJ Martinesz","RSA Palliyaguruge","GF Labrooy","Colombo Stars",9,NA,NA,NA,NA
1324524,6,"Jaffna Kings","Kandy Falcons","male","2022/23",2022-12-10,"Lanka Premier League","6","Pallekele International Cricket Stadium","Kandy","Kandy Falcons","field","C Karunaratne","GO Brathwaite","RR Wimalasiri","REJ Martinesz","LE Hannibal","BCMS Mendis","Kandy Falcons",NA,NA,3,NA,NA
