"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"DJS Dottin",2022-09-01,"Trinbago Knight Riders","Guyana Amazon Warriors",1,21,18,1,1,116.666666666667,FALSE,"Women's Caribbean Premier League",2022,1323179,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Guyana Amazon Warriors","Guyana Amazon Warriors","field",NA,NA,NA,NA
"GH Lewis",2023-09-10,"Barbados Royals","Guyana Amazon Warriors",1,21,18,5,0,116.666666666667,FALSE,"Women's Caribbean Premier League",2023,1380595,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","HK Matthews","Barbados Royals",NA,"8"
"NY McLean",2022-09-01,"Trinbago Knight Riders","Guyana Amazon Warriors",1,20,26,1,1,76.9230769230769,FALSE,"Women's Caribbean Premier League",2022,1323179,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Guyana Amazon Warriors","Guyana Amazon Warriors","field",NA,NA,NA,NA
"HNK Jensen",2022-08-31,"Trinbago Knight Riders","Barbados Royals",1,20,18,1,1,111.111111111111,TRUE,"Women's Caribbean Premier League",2022,1323178,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","LAGL Kirby","Trinbago Knight Riders",NA,"1"
"DJS Dottin",2022-08-31,"Trinbago Knight Riders","Barbados Royals",1,20,15,2,1,133.333333333333,FALSE,"Women's Caribbean Premier League",2022,1323178,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","LAGL Kirby","Trinbago Knight Riders",NA,"1"
"AA Alleyne",2022-08-31,"Barbados Royals","Trinbago Knight Riders",2,19,28,1,0,67.8571428571429,FALSE,"Women's Caribbean Premier League",2022,1323178,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","LAGL Kirby","Trinbago Knight Riders",NA,"1"
"Kycia A Knight",2023-09-05,"Trinbago Knight Riders","Guyana Amazon Warriors",2,19,24,0,1,79.1666666666667,FALSE,"Women's Caribbean Premier League",2023,1380592,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Guyana Amazon Warriors","Trinbago Knight Riders","Guyana Amazon Warriors","bat","SFM Devine","Guyana Amazon Warriors",NA,"21"
"AC Jayangani",2022-09-03,"Guyana Amazon Warriors","Barbados Royals",1,19,18,3,0,105.555555555556,FALSE,"Women's Caribbean Premier League",2022,1323180,"Warner Park, Basseterre, St Kitts","Basseterre","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","Q Joseph","Barbados Royals","4",NA
"CL Tryon",2022-09-03,"Barbados Royals","Guyana Amazon Warriors",2,19,17,1,1,111.764705882353,FALSE,"Women's Caribbean Premier League",2022,1323180,"Warner Park, Basseterre, St Kitts","Basseterre","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","Q Joseph","Barbados Royals","4",NA
"SA Campbelle",2023-09-03,"Guyana Amazon Warriors","Barbados Royals",1,19,13,2,0,146.153846153846,TRUE,"Women's Caribbean Premier League",2023,1380591,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","EA Burns","Barbados Royals","3",NA
