"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"S Ecclestone",2024-03-11,"Gujarat Giants","UP Warriorz",1,"4.0",0,38,3,9.5,9,"Women's Premier League","2023/24",1417733,"Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","UP Warriorz","Gujarat Giants","bat","SM Shakil","Gujarat Giants",NA,"8"
"IECM Wong",2023-03-26,"Delhi Capitals","Mumbai Indians",1,"4.0",0,42,3,10.5,8,"Women's Premier League","2022/23",1358950,"Brabourne Stadium, Mumbai","Mumbai","Delhi Capitals","Mumbai Indians","Delhi Capitals","bat","NR Sciver-Brunt","Mumbai Indians","7",NA
"JL Jonassen",2023-03-07,"UP Warriorz","Delhi Capitals",2,"4.0",0,43,3,10.75,8,"Women's Premier League","2022/23",1358933,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Delhi Capitals","UP Warriorz","UP Warriorz","field","JL Jonassen","Delhi Capitals",NA,"42"
"KS Ahuja",2023-03-21,"Mumbai Indians","Royal Challengers Bangalore",2,"1.0",0,5,2,5,2,"Women's Premier League","2022/23",1358947,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","AC Kerr","Mumbai Indians","4",NA
"NR Sciver-Brunt",2023-03-04,"Gujarat Giants","Mumbai Indians",2,"2.0",0,5,2,2.5,8,"Women's Premier League","2022/23",1358929,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Mumbai Indians","Gujarat Giants","Gujarat Giants","field","H Kaur","Mumbai Indians",NA,"143"
"GM Harris",2024-03-08,"Delhi Capitals","UP Warriorz",2,"0.5",0,8,2,9.6,3,"Women's Premier League","2023/24",1417730,"Arun Jaitley Stadium, Delhi","Delhi","UP Warriorz","Delhi Capitals","UP Warriorz","bat","DB Sharma","UP Warriorz",NA,"1"
"M Mani",2024-03-13,"Gujarat Giants","Delhi Capitals",1,"2.0",0,9,2,4.5,8,"Women's Premier League","2023/24",1417735,"Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","Delhi Capitals","Gujarat Giants","bat","Shafali Verma","Delhi Capitals","7",NA
"A Capsey",2023-03-05,"Royal Challengers Bangalore","Delhi Capitals",2,"2.0",0,10,2,5,5,"Women's Premier League","2022/23",1358930,"Brabourne Stadium, Mumbai","Mumbai","Delhi Capitals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","TG Norris","Delhi Capitals",NA,"60"
"AC Kerr",2023-03-04,"Gujarat Giants","Mumbai Indians",2,"2.0",1,12,2,6,8,"Women's Premier League","2022/23",1358929,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Mumbai Indians","Gujarat Giants","Gujarat Giants","field","H Kaur","Mumbai Indians",NA,"143"
"M Kapp",2023-03-20,"Mumbai Indians","Delhi Capitals",1,"4.0",0,13,2,3.25,17,"Women's Premier League","2022/23",1358946,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Mumbai Indians","Delhi Capitals","Delhi Capitals","field","M Kapp","Delhi Capitals","9",NA
"NR Sciver-Brunt",2024-03-07,"UP Warriorz","Mumbai Indians",2,"2.0",0,14,2,7,8,"Women's Premier League","2023/24",1417729,"Arun Jaitley Stadium, Delhi","Delhi","Mumbai Indians","UP Warriorz","Mumbai Indians","bat","NR Sciver-Brunt","Mumbai Indians",NA,"42"
"P Vastrakar",2024-03-02,"Royal Challengers Bangalore","Mumbai Indians",1,"3.0",0,14,2,4.66666666666667,8,"Women's Premier League","2023/24",1417724,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","AC Kerr","Mumbai Indians","7",NA
"Renuka Singh",2024-02-27,"Gujarat Giants","Royal Challengers Bangalore",1,"4.0",0,14,2,3.5,18,"Women's Premier League","2023/24",1417720,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Gujarat Giants","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Renuka Singh","Royal Challengers Bangalore","8",NA
"S Asha",2024-03-17,"Delhi Capitals","Royal Challengers Bangalore",1,"3.0",0,14,2,4.66666666666667,8,"Women's Premier League","2023/24",1417737,"Arun Jaitley Stadium, Delhi","Delhi","Delhi Capitals","Royal Challengers Bangalore","Delhi Capitals","bat","S Molineux","Royal Challengers Bangalore","8",NA
"RP Yadav",2024-03-08,"UP Warriorz","Delhi Capitals",1,"3.0",0,16,2,5.33333333333333,8,"Women's Premier League","2023/24",1417730,"Arun Jaitley Stadium, Delhi","Delhi","UP Warriorz","Delhi Capitals","UP Warriorz","bat","DB Sharma","UP Warriorz",NA,"1"
"RS Gayakwad",2023-03-18,"Mumbai Indians","UP Warriorz",1,"4.0",0,16,2,4,14,"Women's Premier League","2022/23",1358943,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Mumbai Indians","UP Warriorz","UP Warriorz","field","DB Sharma","UP Warriorz","5",NA
"SR Patil",2024-03-15,"Mumbai Indians","Royal Challengers Bangalore",2,"4.0",0,16,2,4,11,"Women's Premier League","2023/24",1417736,"Arun Jaitley Stadium, Delhi","Delhi","Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore","bat","EA Perry","Royal Challengers Bangalore",NA,"5"
