"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"WR Smith",16,"80.0",1,433,8,54.125,5.4125,60,208,0,0,"2/11"
"KK Jennings",21,"93.0",2,536,8,67,5.76344086021505,69.75,259,0,0,"2/19"
"JWN Moses",4,"15.3",2,50,7,7.14285714285714,3.2258064516129,13.2857142857143,62,1,0,"4/22"
"R Trumpelmann",2,"17.0",3,54,7,7.71428571428571,3.17647058823529,14.5714285714286,71,0,1,"5/36"
"MN Erlank",2,"17.0",2,67,7,9.57142857142857,3.94117647058824,14.5714285714286,65,1,0,"4/46"
"R Mahajan",2,"18.5",1,75,7,10.7142857142857,3.98230088495575,16.1428571428571,70,1,0,"4/24"
"KG Darlington",4,"31.0",6,79,7,11.2857142857143,2.54838709677419,26.5714285714286,149,0,0,"3/21"
"Irfan Ahmed",3,"21.1",3,80,7,11.4285714285714,3.77952755905512,18.1428571428571,89,0,0,"3/17"
"DS Airee",5,"18.5",0,81,7,11.5714285714286,4.30088495575221,16.1428571428571,64,1,0,"4/14"
"OH Agbomadzie",3,"29.0",3,94,7,13.4285714285714,3.24137931034483,24.8571428571429,119,0,0,"3/22"
"Himal Patel",5,"33.2",2,102,7,14.5714285714286,3.06,28.5714285714286,132,0,0,"3/10"
"Nazril Rahman",4,"25.0",3,105,7,15,4.2,21.4285714285714,100,1,0,"4/14"
"H Zimmerman",3,"22.4",1,115,7,16.4285714285714,5.07352941176471,19.4285714285714,88,1,0,"4/36"
"TH David",5,"32.0",1,126,7,18,3.9375,27.4285714285714,110,0,0,"3/26"
"RK Vishwakarma",5,"43.0",5,131,7,18.7142857142857,3.04651162790698,36.8571428571429,181,0,0,"3/28"
"ME Latif",3,"25.5",0,139,7,19.8571428571429,5.38064516129032,22.1428571428571,90,1,0,"4/58"
"PA Petricola",6,"25.5",0,139,7,19.8571428571429,5.38064516129032,22.1428571428571,88,1,0,"4/24"
"Zain-ul-Hassan",3,"21.0",0,139,7,19.8571428571429,6.61904761904762,18,65,1,0,"4/25"
"SJ MacBeth",5,"29.1",1,145,7,20.7142857142857,4.97142857142857,25,91,0,0,"2/35"
"E Ochieng",5,"27.5",0,151,7,21.5714285714286,5.4251497005988,23.8571428571429,108,0,0,"3/37"
"Nasir Aziz",5,"36.5",0,151,7,21.5714285714286,4.09954751131222,31.5714285714286,133,0,0,"3/26"
"A Rangaswamy",5,"41.0",3,154,7,22,3.75609756097561,35.1428571428571,168,0,0,"3/40"
"IO Okpe",7,"44.0",4,156,7,22.2857142857143,3.54545454545455,37.7142857142857,189,0,0,"2/12"
"Azhar Ali",7,"23.0",1,159,7,22.7142857142857,6.91304347826087,19.7142857142857,56,0,1,"5/34"
"Danial Ahmed",7,"43.3",5,160,7,22.8571428571429,3.67816091954023,37.2857142857143,181,0,0,"2/6"
"K Gore",4,"33.3",2,160,7,22.8571428571429,4.77611940298507,28.7142857142857,110,1,0,"4/23"
"G Ngegba",5,"42.2",6,164,7,23.4285714285714,3.8740157480315,36.2857142857143,167,0,0,"2/23"
