"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"Abdul Jabar",2,15,42,35.7142857142857,15,2,0,1,0,0,8
"Abdul Jalali",1,6,20,30,6,0,0,0,0,0,6
"Abdul Rahman",2,17,34,50,8.5,1,0,0,0,0,15
"Abdul Rehman (2)",1,11,27,40.7407407407407,11,1,0,0,0,0,11
"Abdul Shakoor",3,32,50,64,10.6666666666667,4,1,0,0,0,21
"Abdul Waheed",6,110,177,62.1468926553672,22,7,4,1,0,1,75
"Abdullah Akhunzada",2,15,41,36.5853658536585,15,1,1,1,0,0,15
"Abdullah Ghulam",2,15,17,88.2352941176471,15,1,1,1,0,0,14
"Abdullah Qureshi",2,1,6,16.6666666666667,1,0,0,1,0,0,1
"Abdullah Shahid",3,69,82,84.1463414634146,23,5,3,0,0,1,57
"Abdullah Syed",2,20,34,58.8235294117647,10,1,0,0,0,0,20
"Abhinav Raman",1,1,2,50,Inf,0,0,1,0,0,1
"Abhiraj Singh",15,90,149,60.4026845637584,15,4,1,9,0,0,42
"Abid Mushtaq",4,28,46,60.8695652173913,7,4,1,0,0,0,11
"Abraash Khan",2,75,100,75,37.5,10,1,0,0,0,42
"Adil Bhatti",5,122,93,131.182795698925,40.6666666666667,9,6,2,0,1,52
"Adil Hanif",3,34,71,47.887323943662,11.3333333333333,3,0,0,0,0,17
"Aditya Mishra",3,21,26,80.7692307692308,7,2,1,0,0,0,15
"Adnan Butt",3,75,65,115.384615384615,25,10,2,0,0,0,28
"Adnan Idrees",2,15,20,75,7.5,0,1,0,0,0,13
"Adnan Ilyas",7,192,231,83.1168831168831,32,14,8,1,0,1,74
"Adnan Mufti",7,198,202,98.019801980198,39.6,18,4,2,1,0,104
"Aftab Ahmed (2)",15,242,214,113.084112149533,20.1666666666667,22,11,3,0,0,43
"Afzal Saleem",3,158,140,112.857142857143,158,15,8,2,0,2,76
"Ahmad Ramdoni",3,29,87,33.3333333333333,14.5,1,1,1,0,0,20
"Ahmed Faiz",10,203,307,66.1237785016287,22.5555555555556,22,2,1,0,2,75
"Ahmed Faiz Mohammad Noor",33,1220,1723,70.8067324434127,42.0689655172414,138,12,4,2,8,111
"Ahmed Hassan",3,58,130,44.6153846153846,29,3,0,1,0,0,41
"Ahmed Jamaal",1,1,5,20,1,0,0,0,0,0,1
"Ahmed Nisar",4,41,57,71.9298245614035,10.25,5,0,0,0,0,20
"Ahmed Raza",12,116,223,52.0179372197309,11.6,10,1,2,0,0,29
"Ahsan Abbasi",6,89,166,53.6144578313253,14.8333333333333,6,1,0,0,0,37
"Ahsan Malik",7,28,42,66.6666666666667,9.33333333333333,3,0,4,0,0,9
"Ainool Hafizs",5,67,75,89.3333333333333,16.75,6,1,1,0,0,34
"Aizaz Khan",13,190,282,67.3758865248227,17.2727272727273,11,6,2,0,1,75
"Akash Babu",7,207,249,83.1325301204819,29.5714285714286,19,7,0,0,2,73
"Akram Aslam",1,15,17,88.2352941176471,Inf,2,0,1,0,0,15
"Ali Hasan",4,25,23,108.695652173913,6.25,2,2,0,0,0,23
"Ali Khan",4,6,20,30,1.5,0,0,0,0,0,3
"Ali Saleem",1,89,88,101.136363636364,89,13,2,0,0,1,89
"Ali Zaheer",8,192,187,102.673796791444,27.4285714285714,17,8,1,0,2,78
"Amad Sheikh",1,8,11,72.7272727272727,8,1,0,0,0,0,8
"Aman Desai",6,77,120,64.1666666666667,12.8333333333333,9,0,0,0,0,28
"Amar Naeem",1,7,18,38.8888888888889,7,0,0,0,0,0,7
"Amari Ebbin",2,20,48,41.6666666666667,10,2,0,0,0,0,12
"Ameer Saiyed",2,33,82,40.2439024390244,16.5,0,0,0,0,0,32
"Aminuddin Ramly",14,277,330,83.9393939393939,21.3076923076923,23,13,1,0,1,51
"Amir Ali",17,337,456,73.9035087719298,33.7,28,6,7,0,2,58
"Amir Hamza",1,7,5,140,7,1,0,0,0,0,7
"Amir Hayat",3,7,11,63.6363636363636,3.5,0,0,1,0,0,4
"Amir Sharif",2,15,21,71.4285714285714,7.5,1,1,0,0,0,11
"Amjad Ali",7,203,251,80.8764940239044,29,35,1,0,0,1,60
"Amjad Javed",8,54,94,57.4468085106383,10.8,5,0,3,0,0,13
"Amjad Mahboob",25,135,140,96.4285714285714,7.94117647058824,10,8,8,0,0,34
"Ammar Zahir",1,1,11,9.09090909090909,Inf,0,0,1,0,0,1
"Anasim Khan",2,9,39,23.0769230769231,4.5,0,0,0,0,0,6
"Anique Uddin",8,111,184,60.3260869565217,15.8571428571429,7,0,1,0,0,43
"Anjar Tadarus",3,6,37,16.2162162162162,2,0,0,0,0,0,4
"Anjum Awais",1,2,6,33.3333333333333,2,0,0,0,0,0,2
"Ankur Sharma",3,50,137,36.4963503649635,25,5,0,1,0,0,30
"Ansar Iqbal",1,8,7,114.285714285714,8,1,0,0,0,0,8
"Anshuman Rath",12,524,615,85.2032520325203,47.6363636363636,45,5,1,2,3,134
"Anuj Dal",19,393,421,93.3491686460808,21.8333333333333,32,3,1,1,1,110
"Anwar Ali",5,82,102,80.3921568627451,16.4,3,2,0,0,1,61
"Anwar Arudin",27,677,837,80.884109916368,25.0740740740741,72,30,0,0,4,69
"Anwar Rahman",12,61,147,41.4965986394558,7.625,5,0,4,0,0,30
"Aqib Ilyas",19,459,491,93.4826883910387,25.5,45,13,1,1,1,100
"Aqib Iqbal",1,4,10,40,4,0,0,0,0,0,4
"Arif Hussain",9,196,227,86.3436123348018,21.7777777777778,25,6,0,0,1,61
"Aritra Dutta",10,355,411,86.374695863747,35.5,45,6,0,0,2,99
"Arshad Ali",6,61,160,38.125,10.1666666666667,3,0,0,0,0,23
"Asad Mohammad",3,48,42,114.285714285714,24,4,1,1,0,0,25
"Asghar Stanikzai",2,23,33,69.6969696969697,11.5,3,0,0,0,0,12
"Ashar Zaidi",25,538,488,110.245901639344,25.6190476190476,48,15,4,0,3,82
"Ashfaq Ahmed",8,260,278,93.5251798561151,32.5,25,8,0,1,1,114
"Asif Mahmood",1,1,1,100,1,0,0,0,0,0,1
"Assad Borham",5,37,84,44.0476190476191,7.4,3,0,0,0,0,11
"Avi Dixit",5,44,87,50.5747126436782,8.8,4,0,0,0,0,15
"Awad Khan",1,10,10,100,10,2,0,0,0,0,10
"Azam Mohammad",1,27,41,65.8536585365854,27,3,0,0,0,0,27
"Azeem Rafiq",10,106,97,109.278350515464,17.6666666666667,6,3,4,0,1,52
"Azeem ul Haq",8,102,230,44.3478260869565,12.75,6,1,0,0,0,47
"Azeez Salako",5,31,90,34.4444444444444,6.2,2,0,0,0,0,8
"Azhar Ali",21,844,989,85.3387259858443,40.1904761904762,81,9,0,2,4,130
"Azhar Mahmood",7,229,226,101.327433628319,32.7142857142857,24,5,0,0,2,57
"Azharullah",11,29,77,37.6623376623377,3.625,3,0,3,0,0,8
"Aziz Mohammad",1,48,46,104.347826086957,48,6,1,0,0,0,48
"Azurdeen Mohammed",1,10,18,55.5555555555556,10,0,1,0,0,0,10
"B Bhandari",21,348,434,80.184331797235,21.75,28,11,5,0,1,73
"B Ess",4,67,110,60.9090909090909,22.3333333333333,10,0,1,0,0,33
"B Fitchet",4,51,50,102,12.75,6,2,0,0,0,31
"B Karki",2,2,5,40,2,0,0,1,0,0,2
"B Kruger",4,60,72,83.3333333333333,20,5,2,1,0,0,31
"B Kynman",3,13,18,72.2222222222222,6.5,1,0,1,0,0,8
"B Luitel",1,13,21,61.9047619047619,13,2,0,0,0,0,13
"B Masaba",21,394,805,48.944099378882,20.7368421052632,37,2,2,0,1,51
"B Musoke",2,1,23,4.34782608695652,0.5,0,0,0,0,0,1
"B Muzarabani",4,23,29,79.3103448275862,11.5,1,1,2,0,0,18
"B Mwita",6,99,105,94.2857142857143,16.5,10,3,0,0,1,60
"B Narender Reddy",2,23,58,39.6551724137931,11.5,1,0,0,0,0,23
"B Palekar",2,8,7,114.285714285714,4,2,0,0,0,0,8
"B Regmi",27,210,388,54.1237113402062,11.6666666666667,13,0,9,0,0,24
"B Sombatraksa",2,30,72,41.6666666666667,30,5,0,1,0,0,29
"B Wakhley",2,5,19,26.3157894736842,2.5,0,0,0,0,0,3
"B White",10,61,80,76.25,7.625,4,1,2,0,0,17
"B Williams",2,3,11,27.2727272727273,1.5,0,0,0,0,0,3
"BA Carse",1,2,7,28.5714285714286,2,0,0,0,0,0,2
"BA Godleman",52,2381,2945,80.848896434635,50.6595744680851,220,26,5,7,11,137
"BA Hutton",23,358,363,98.6225895316804,17.9,25,13,3,0,0,46
"BA Raine",20,395,381,103.674540682415,21.9444444444444,32,14,2,0,1,83
"BA Stokes",7,410,411,99.7566909975669,68.3333333333333,47,10,1,2,1,164
"BA Viraliliu",4,16,44,36.3636363636364,4,1,0,0,0,0,9
"BAC Howell",41,1090,1272,85.6918238993711,34.0625,74,24,9,0,7,86
"BB Bailey",1,1,1,100,Inf,0,0,1,0,0,1
"BB McCullum",3,228,178,128.089887640449,76,25,10,0,1,1,110
"BBA Geddes",19,508,567,89.5943562610229,28.2222222222222,53,13,1,0,4,92
"BBJL Perera",13,194,225,86.2222222222222,19.4,12,9,3,0,0,48
"BC Brown",51,1325,1632,81.1887254901961,28.1914893617021,103,6,4,1,9,105
"BD Cotton",10,67,99,67.6767676767677,16.75,6,1,6,0,0,18
"BD Glover",2,19,28,67.8571428571429,9.5,3,0,0,0,0,17
"BD Guest",21,674,830,81.2048192771084,32.0952380952381,58,3,0,0,5,88
"BDH Stevens",21,730,978,74.6421267893661,36.5,70,17,1,1,5,103
"BE Hendricks",5,68,69,98.5507246376812,34,5,3,3,0,0,23
"BF Calitz",1,3,9,33.3333333333333,3,0,0,0,0,0,3
"BF Mailata",4,128,155,82.5806451612903,42.6666666666667,12,4,1,0,1,74
"BFW de Leede",4,104,230,45.2173913043478,26,9,0,0,0,0,39
"BG Charlesworth",10,444,547,81.1700182815356,49.3333333333333,53,3,1,0,3,99
"BG Compton",17,782,1077,72.6090993500464,46,59,0,0,1,9,103
"BGF Green",11,356,297,119.86531986532,50.8571428571429,29,16,4,1,1,157
"BI Kellaway",6,195,153,127.450980392157,32.5,21,6,0,0,2,82
"BI Louw",1,16,26,61.5384615384615,16,1,0,0,0,0,16
"BJ Curran",10,264,297,88.8888888888889,29.3333333333333,25,1,1,0,3,94
"BJ Currie",4,22,30,73.3333333333333,11,2,0,2,0,0,18
"BJ Gibbon",4,29,28,103.571428571429,9.66666666666667,1,1,1,0,0,13
"BJ Hall",2,11,21,52.3809523809524,5.5,1,0,0,0,0,8
"BJ McCarthy",14,351,296,118.581081081081,39,19,23,5,1,0,110
"BJ Morris",1,2,5,40,Inf,0,0,1,0,0,2
"BJ Taylor",7,155,225,68.8888888888889,31,10,0,2,0,2,56
"BJ Webster",7,260,336,77.3809523809524,37.1428571428571,23,4,0,0,2,73
"BJ Wright",1,0,2,0,0,0,0,0,0,0,0
"BJJ Wells",13,339,382,88.7434554973822,28.25,43,7,1,1,1,108
"BJR Martindale",8,180,283,63.6042402826855,22.5,19,0,0,0,1,55
"BK Das",3,28,24,116.666666666667,9.33333333333333,1,2,0,0,0,15
"BL D'Oliveira",48,1088,1250,87.04,24.7272727272727,101,11,4,1,6,123
"BM Cliff",1,0,1,0,0,0,0,0,0,0,0
"BM Duckett",39,1184,1272,93.0817610062893,31.1578947368421,131,16,1,1,9,121
"BM Scholtz",19,63,149,42.2818791946309,5.72727272727273,2,0,8,0,0,21
"BMAJ Mendis",4,89,92,96.7391304347826,29.6666666666667,8,2,1,0,0,44
"BMJ Allison",7,60,82,73.1707317073171,15,1,2,3,0,0,21
"BMR Akram",1,1,9,11.1111111111111,1,0,0,0,0,0,1
"BN Cooper",20,386,513,75.2436647173489,21.4444444444444,41,5,2,0,3,78
"BO Coad",14,139,188,73.936170212766,17.375,14,2,6,0,0,45
"BP Nash",4,39,67,58.2089552238806,9.75,3,0,0,0,0,21
"BRM Taylor",24,761,792,96.0858585858586,38.05,84,11,4,2,4,154
"BS Adhihetty",12,269,444,60.5855855855856,22.4166666666667,21,1,0,0,1,86
"BS Bartley",1,13,13,100,13,1,1,0,0,0,13
"BS McKinney",4,17,36,47.2222222222222,4.25,0,0,0,0,0,5
"BT Foakes",40,1737,1919,90.5158936946326,51.0882352941176,149,18,6,1,16,106
"BT Slater",49,2339,2640,88.5984848484848,55.6904761904762,282,20,7,5,17,148
"BTJ Wheal",8,39,46,84.7826086956522,9.75,2,1,4,0,0,13
"BW Aitchison",9,60,95,63.1578947368421,8.57142857142857,6,0,2,0,0,19
"BW Harmison",6,124,159,77.9874213836478,24.8,13,1,1,0,0,43
"BW Sanderson",21,145,241,60.1659751037344,9.0625,8,2,5,0,0,31
"BWM Mike",12,161,241,66.804979253112,14.6363636363636,12,3,1,0,0,41
"Babar Ali",3,1,11,9.09090909090909,0.5,0,0,1,0,0,1
"Babar Hayat",17,592,770,76.8831168831169,34.8235294117647,56,15,0,0,5,86
"Babar Shahzad",1,9,3,300,Inf,0,1,1,0,0,9
"Badal Singh",1,0,3,0,0,0,0,0,0,0,0
"Bashir Shah",16,56,120,46.6666666666667,5.6,2,1,6,0,0,19
"Bastaki Fahad",3,2,22,9.09090909090909,1,0,0,1,0,0,1
"Bikram Sob",1,1,3,33.3333333333333,Inf,0,0,1,0,0,1
"Bilal Hassun",4,10,39,25.6410256410256,2.5,0,0,0,0,0,10
"Bilal Khan",7,7,35,20,1.4,0,0,2,0,0,2
"Bilal Mansoor",1,5,15,33.3333333333333,5,0,0,0,0,0,5
"Bilal Zalmai",1,25,15,166.666666666667,25,4,0,0,0,0,25
"C Bisson",15,322,340,94.7058823529412,29.2727272727273,37,5,4,0,0,48
"C Burgess",5,84,120,70,16.8,12,1,0,0,0,28
"C Campher",17,502,513,97.8557504873294,33.4666666666667,58,7,2,1,2,101
"C Carmichael",7,221,280,78.9285714285714,36.8333333333333,21,3,1,0,1,62
"C Carter",5,101,183,55.1912568306011,20.2,11,2,0,0,0,41
"C Cato",1,1,7,14.2857142857143,Inf,0,0,1,0,0,1
"C De Freitas",4,135,174,77.5862068965517,33.75,13,0,0,0,2,59
"C Dougherty",6,145,232,62.5,24.1666666666667,14,2,0,0,0,46
"C Gibson",2,45,117,38.4615384615385,22.5,1,0,0,0,0,45
"C Hassett",1,9,29,31.0344827586207,9,0,0,0,0,0,9
"C Janik",19,386,650,59.3846153846154,21.4444444444444,35,5,1,1,1,106
"C Kyewuta",4,18,35,51.4285714285714,9,1,1,2,0,0,9
"C McKerr",23,188,260,72.3076923076923,10.4444444444444,15,2,5,0,0,32
"C Melly",7,151,210,71.9047619047619,25.1666666666667,16,2,1,0,0,44
