"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"KL George",2023-04-22,"The Blaze","Central Sparks",1,"8.0",0,35,0,4.375,32,"Rachael Heyhoe Flint Trophy","2023","1347406","Trent Bridge, Nottingham","Nottingham","The Blaze","Central Sparks","The Blaze","bat",NA,"The Blaze",NA,"59"
"KL George",2024-06-30,"Northern Diamonds","Central Sparks",2,"7.0",1,35,0,5,27,"Rachael Heyhoe Flint Trophy","2024","1427830","North Marine Road Ground, Scarborough","Scarborough","Central Sparks","Northern Diamonds","Central Sparks","bat",NA,"Northern Diamonds","4",NA
"LK Bell",2023-05-10,"Central Sparks","Southern Vipers",2,"6.0",0,35,0,5.83333333333333,24,"Rachael Heyhoe Flint Trophy","2023","1347421","County Ground, Hove","Brighton","Southern Vipers","Central Sparks","Central Sparks","field",NA,"Central Sparks","6",NA
"MK Villiers",2024-05-01,"Central Sparks","Sunrisers",1,"7.0",0,35,0,5,22,"Rachael Heyhoe Flint Trophy","2024","1427819","Chester Road North Ground, Kidderminster","Kidderminster","Central Sparks","Sunrisers","Sunrisers","field",NA,"Sunrisers","5",NA
"N Brown",2020-09-19,"Northern Diamonds","Thunder",2,"6.4",0,35,0,5.25,28,"Rachael Heyhoe Flint Trophy","2020","1229347","Headingley, Leeds","Leeds","Thunder","Northern Diamonds","Thunder","bat",NA,"Northern Diamonds","6",NA
"N Holland",2023-09-13,"Central Sparks","Western Storm",2,"3.0",0,35,0,11.6666666666667,3,"Rachael Heyhoe Flint Trophy","2023","1347454","The Cooper Associates County Ground, Taunton","Taunton","Western Storm","Central Sparks","Central Sparks","field",NA,"Central Sparks","7",NA
"Rachel Delaney",2017-05-17,"Zimbabwe","Ireland",2,"10.0",2,35,0,3.5,46,"Women's Quadrangular Series (in South Africa)","2017","1089529","North-West University No1 Ground","Potchefstroom","Ireland","Zimbabwe","Ireland","bat","T Granger","Zimbabwe","5",NA
"S Hector",2022-06-24,"Windward Islands","Leeward Islands",1,"7.0",0,35,0,5,25,"CG United Women's Super50","2022","wi_212063","Guyana National Stadium, Providence",NA,"Windward Islands","Leeward Islands","Windward Islands","bat",NA,"Windward Islands",NA,"151"
"S Hutchins",2020-09-13,"Southern Vipers","Western Storm",1,"6.0",0,35,0,5.83333333333333,14,"Rachael Heyhoe Flint Trophy","2020","1229342","The Rose Bowl, Southampton","Southampton","Southern Vipers","Western Storm","Southern Vipers","bat",NA,"Southern Vipers",NA,"32"
"S Turner",2024-07-07,"Western Storm","Northern Diamonds",1,"3.4",0,35,0,9.54545454545454,8,"Rachael Heyhoe Flint Trophy","2024","1427835","College Ground, Cheltenham","Cheltenham","Western Storm","Northern Diamonds","Northern Diamonds","field",NA,"Northern Diamonds","6",NA
"T Graves",2023-09-16,"Southern Vipers","The Blaze",1,"5.0",0,35,0,7,11,"Rachael Heyhoe Flint Trophy","2023","1347457","Haslegrave Ground, Loughborough","Loughborough","Southern Vipers","The Blaze","The Blaze","field",NA,"Southern Vipers",NA,"126"
"CL Tryon",2023-07-15,"Central Sparks","Northern Diamonds",2,"4.0",0,36,0,9,4,"Rachael Heyhoe Flint Trophy","2023","1347434","Headingley, Leeds","Leeds","Northern Diamonds","Central Sparks","Central Sparks","field",NA,"Central Sparks","5",NA
"GE Hall",2023-09-13,"Thunder","Northern Diamonds",2,"7.4",0,36,0,4.69565217391304,21,"Rachael Heyhoe Flint Trophy","2023","1347452","Rookwood, Sale","Sale","Northern Diamonds","Thunder","Thunder","field",NA,"Northern Diamonds",NA,"48"
