"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","reserve_umpire","match_referee","outcome","player_of_match","winner","winner_runs","winner_wickets","method","match_number","tv_umpire"
1162855,6,"United States of America","Oman","male","2018/19",2018-11-16,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)",NA,"Oman","field","LE Hannibal","BB Pradhan","Akbar Ali","V Narayan Kutty",NA,"Aqib Ilyas","Oman",NA,4,NA,"11",NA
1162856,6,"Kenya","Singapore","male","2018/19",2018-11-16,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)",NA,"Kenya","bat","VK Jha","Rahul Asher","Iftikhar Ali","V Narayan Kutty",NA,"NM Odhiambo","Kenya",12,NA,NA,"12",NA
1162857,6,"Kenya","Denmark","male","2018/19",2018-11-18,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)",NA,"Denmark","field","Iftikhar Ali","LE Hannibal","Rahul Asher","V Narayan Kutty",NA,"HAM Shah","Denmark",NA,9,NA,"13",NA
1162858,6,"Uganda","Oman","male","2018/19",2018-11-18,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)",NA,"Uganda","bat","Akbar Ali","BB Pradhan","VK Jha","V Narayan Kutty",NA,"Fayyaz Butt","Oman",NA,10,NA,"14",NA
1162859,6,"Singapore","United States of America","male","2018/19",2018-11-19,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)",NA,"United States of America","field","VK Jha","Rahul Asher","Akbar Ali","V Narayan Kutty",NA,"SN Netravalkar","United States of America",NA,5,NA,"15",NA
1167049,6,"Yorkshire","Leicestershire","male","2019",2019-04-17,"Royal London One-Day Cup","Headingley, Leeds","Leeds","Leicestershire","field","GD Lloyd","PR Pollard",NA,NA,NA,NA,"Yorkshire",213,NA,NA,NA,NA
1167050,6,"Worcestershire","Lancashire","male","2019",2019-04-17,"Royal London One-Day Cup","Old Trafford, Manchester","Manchester","Worcestershire","bat","NGB Cook","PJ Hartley",NA,NA,NA,NA,"Worcestershire",125,NA,NA,NA,NA
1167051,6,"Hampshire","Kent","male","2019",2019-04-17,"Royal London One-Day Cup","St Lawrence Ground, Canterbury","Canterbury","Kent","field","DJ Millns","NL Bainton",NA,NA,NA,"SA Northeast","Hampshire",90,NA,NA,NA,"MJ Saggers"
1167052,6,"Gloucestershire","Surrey","male","2019",2019-04-17,"Royal London One-Day Cup","County Ground, Bristol","Bristol","Gloucestershire","bat","AG Wharf","ID Blackwell",NA,NA,NA,NA,"Gloucestershire",147,NA,NA,NA,NA
1167053,6,"Essex","Glamorgan","male","2019",2019-04-17,"Royal London One-Day Cup","Sophia Gardens, Cardiff","Cardiff","Glamorgan","field","JW Lloyds","SJ O'Shaughnessy",NA,NA,NA,NA,"Essex",180,NA,NA,NA,NA
1167054,6,"Durham","Northamptonshire","male","2019",2019-04-17,"Royal London One-Day Cup","Riverside Ground, Chester-le-Street","Chester-le-Street","Northamptonshire","field","MA Gough","NA Mallender",NA,NA,NA,NA,"Durham",72,NA,NA,NA,NA
1167055,6,"Derbyshire","Northamptonshire","male","2019",2019-04-19,"Royal London One-Day Cup","County Ground, Derby","Derby","Derbyshire","bat","James Middlebrook","NGB Cook",NA,NA,NA,NA,"Derbyshire",53,NA,NA,NA,NA
1167056,6,"Warwickshire","Yorkshire","male","2019",2019-04-19,"Royal London One-Day Cup","Edgbaston, Birmingham","Birmingham","Yorkshire","field","ID Blackwell","NL Bainton",NA,NA,"tie",NA,NA,NA,NA,NA,NA,NA
1167057,6,"Leicestershire","Durham","male","2019",2019-04-19,"Royal London One-Day Cup","Riverside Ground, Chester-le-Street","Chester-le-Street","Leicestershire","bat","MA Gough","RT Robinson",NA,NA,NA,NA,"Durham",NA,6,NA,NA,NA
1167058,6,"Glamorgan","Hampshire","male","2019",2019-04-19,"Royal London One-Day Cup","The Rose Bowl, Southampton","Southampton","Glamorgan","bat","Mark Newell","SJ O'Shaughnessy",NA,NA,NA,NA,"Hampshire",NA,7,NA,NA,NA
1167059,6,"Nottinghamshire","Lancashire","male","2019",2019-04-19,"Royal London One-Day Cup","Trent Bridge, Nottingham","Nottingham","Nottinghamshire","bat","GD Lloyd","PJ Hartley",NA,NA,NA,NA,"Nottinghamshire",11,NA,NA,NA,NA
1167061,6,"Surrey","Sussex","male","2019",2019-04-19,"Royal London One-Day Cup","County Ground, Hove","Brighton","Surrey","bat","JH Evans","MJ Saggers",NA,NA,NA,"D Wiese","Sussex",NA,2,NA,NA,"RJ Bailey"
