"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"J Cameron-Dow",2019-08-26,"North-West Warriors","Northern Knights",2,"10.0",0,44,1,4.4,37,"Cricket Ireland Inter-Provincial Limited Over Cup","2019",1178137,"Woodvale Road, Eglinton","Eglinton","Northern Knights","North-West Warriors","Northern Knights","bat",NA,"Northern Knights",NA,"2"
"JA Porter",2019-04-17,"Glamorgan","Essex",2,"9.0",1,44,1,4.88888888888889,33,"Royal London One-Day Cup","2019",1167053,"Sophia Gardens, Cardiff","Cardiff","Essex","Glamorgan","Glamorgan","field",NA,"Essex",NA,"180"
"JAJ Nussbaumer",2017-09-03,"Italy","Guernsey",1,"8.0",0,44,1,5.5,26,"ICC World Cricket League Division Five","2017",1118450,"Willowmoore Park A Field","Benoni","Italy","Guernsey","Italy","bat","DG Crowley","Italy",NA,"48"
"JAR Harris",2021-08-06,"Kent","Middlesex",1,"7.0",0,44,1,6.28571428571429,21,"Royal London One-Day Cup","2021",1250206,"Radlett Cricket Club, Radlett","Radlett","Kent","Middlesex","Middlesex","field",NA,"Kent",NA,"21"
"JJ Smit",2015-11-01,"Kenya","Namibia",1,"9.0",0,44,1,4.88888888888889,29,"ICC World Cricket League Championship","2015/16",911045,"Wanderers Cricket Ground","Windhoek","Kenya","Namibia","Kenya","bat",NA,"Kenya",NA,"92"
"JS Patel",2018-06-03,"Leicestershire","Warwickshire",1,"10.0",1,44,1,4.4,35,"Royal London One-Day Cup","2018",1127818,"Edgbaston, Birmingham","Birmingham","Leicestershire","Warwickshire","Leicestershire","bat",NA,"Warwickshire","9",NA
"K Gore",2019-04-21,"Namibia","United States of America",2,"8.0",1,44,1,5.5,27,"ICC World Cricket League Division Two","2019",1174831,"Wanderers Cricket Ground","Windhoek","Namibia","United States of America","Namibia","field","Ali Khan","United States of America",NA,"2"
"L Trevaskis",2021-07-22,"Kent","Durham",2,"10.0",0,44,1,4.4,28,"Royal London One-Day Cup","2021",1250161,"Kent County Cricket Ground, Beckenham","Beckenham","Durham","Kent","Kent","field",NA,"Durham",NA,"103"
"L Trevaskis",2023-08-22,"Gloucestershire","Durham",2,"5.0",0,44,1,8.8,9,"One-Day Cup","2023",1347562,"County Ground, Bristol","Bristol","Durham","Gloucestershire","Durham","bat",NA,"Gloucestershire","7",NA
"LJ Fletcher",2019-05-12,"Somerset","Nottinghamshire",1,"9.0",0,44,1,4.88888888888889,29,"Royal London One-Day Cup","2019",1167124,"Trent Bridge, Nottingham","Nottingham","Somerset","Nottinghamshire","Nottinghamshire","field",NA,"Somerset",NA,"115"
