"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","umpire1","umpire2","reserve_umpire","winner","winner_wickets","player_of_match","winner_runs","tv_umpire","match_referee","method","outcome"
1229350,6,"Southern Vipers","Northern Diamonds","female","2020",2020-09-27,"Rachael Heyhoe Flint Trophy",NA,"Edgbaston, Birmingham","Birmingham","Northern Diamonds","field","N Pratt","Rob White","SM Bartlett","Southern Vipers",NA,"CM Taylor",38,"James Middlebrook","SJ Davis",NA,NA
1249285,6,"Pakistan","Zimbabwe","female","2020/21",2021-02-09,"Pakistan Women tour of Zimbabwe","1","Harare Sports Club","Harare","Zimbabwe","field","I Chabi","L Rusere","F Mutizwa","Pakistan",NA,"Javeria Khan",178,"C Phiri","O Chirombe",NA,NA
1252264,6,"Northern Diamonds","Central Sparks","female","2021",2021-05-29,"Rachael Heyhoe Flint Trophy",NA,"Headingley, Leeds","Leeds","Central Sparks","field","Hassan Adnan","J Naeem",NA,"Central Sparks",2,NA,NA,NA,"S Laister",NA,NA
1252265,6,"Thunder","Western Storm","female","2021",2021-05-29,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Bristol","Bristol","Western Storm","field","SM Bartlett","Y Dolphin-Cooper",NA,"Western Storm",1,NA,NA,NA,"DW Headley",NA,NA
1252266,6,"South East Stars","Sunrisers","female","2021",2021-05-29,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Chelmsford","Chelmsford","Sunrisers","field","J Ibbotson","S Redfern",NA,"South East Stars",NA,NA,135,NA,"Phil Whitticase",NA,NA
1252267,6,"Lightning","Southern Vipers","female","2021",2021-05-29,"Rachael Heyhoe Flint Trophy",NA,"The Rose Bowl, Southampton","Southampton","Lightning","bat","S McLelland","Tom Lungley",NA,"Southern Vipers",4,NA,NA,NA,"SG Hinks",NA,NA
1252268,6,"Northern Diamonds","Lightning","female","2021",2021-05-31,"Rachael Heyhoe Flint Trophy",NA,"Kibworth Cricket Club Ground","Kibworth","Lightning","field","J Ibbotson","Mark Newell",NA,"Northern Diamonds",NA,NA,6,NA,"SJ Davis",NA,NA
1252269,6,"Central Sparks","Western Storm","female","2021",2021-05-31,"Rachael Heyhoe Flint Trophy",NA,"Edgbaston, Birmingham","Birmingham","Western Storm","field","S Redfern","Y Dolphin-Cooper",NA,"Central Sparks",NA,NA,41,NA,"DW Headley",NA,NA
1252270,6,"South East Stars","Southern Vipers","female","2021",2021-05-31,"Rachael Heyhoe Flint Trophy",NA,"Kent County Cricket Ground, Beckenham","Beckenham","Southern Vipers","field","Rob White","SM Bartlett",NA,"Southern Vipers",7,NA,NA,NA,"SG Hinks",NA,NA
1252271,6,"Thunder","Sunrisers","female","2021",2021-05-31,"Rachael Heyhoe Flint Trophy",NA,"Boughton Hall Cricket Club Ground, Chester","Chester","Thunder","bat","J Naeem","N Pratt",NA,"Thunder",NA,NA,36,NA,"S Cummings",NA,NA
1252272,6,"Western Storm","South East Stars","female","2021",2021-06-05,"Rachael Heyhoe Flint Trophy",NA,"Kennington Oval, London","London","South East Stars","field","S McLelland","Tom Lungley",NA,"South East Stars",6,NA,NA,NA,"Alastair Smith",NA,NA
1252273,6,"Sunrisers","Northern Diamonds","female","2021",2021-06-05,"Rachael Heyhoe Flint Trophy",NA,"FP Fenner's Ground, Cambridge","Cambridge","Northern Diamonds","field","J Ibbotson","SM Bartlett",NA,"Northern Diamonds",9,NA,NA,NA,"WR Smith",NA,NA
1252275,6,"Central Sparks","Southern Vipers","female","2021",2021-06-05,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Hove","Brighton","Central Sparks","bat","N Pratt","Y Dolphin-Cooper",NA,"Central Sparks",NA,NA,120,NA,"DW Headley",NA,NA
1252274,6,"Lightning","Thunder","female","2021",2021-06-06,"Rachael Heyhoe Flint Trophy",NA,"Boughton Hall Cricket Club Ground, Chester","Chester","Lightning","bat","J Naeem","S Redfern",NA,"Lightning",NA,NA,134,NA,"WR Smith",NA,NA
1252276,6,"South East Stars","Northern Diamonds","female","2021",2021-06-12,"Rachael Heyhoe Flint Trophy",NA,"Headingley, Leeds","Leeds","South East Stars","bat","J Naeem","Tom Lungley",NA,"Northern Diamonds",3,NA,NA,NA,"JJ Whitaker",NA,NA
1252277,6,"Sunrisers","Lightning","female","2021",2021-06-12,"Rachael Heyhoe Flint Trophy",NA,"Haslegrave Ground, Loughborough","Loughborough","Sunrisers","bat","Hassan Adnan","J Ibbotson",NA,"Lightning",5,NA,NA,NA,"TJ Boon",NA,NA
1252278,6,"Central Sparks","Thunder","female","2021",2021-06-12,"Rachael Heyhoe Flint Trophy",NA,"County Ground, New Road, Worcester","Worcester","Central Sparks","bat","Rob White","Y Dolphin-Cooper",NA,"Thunder",2,NA,NA,NA,"SJ Davis",NA,NA
1252279,6,"Western Storm","Southern Vipers","female","2021",2021-06-12,"Rachael Heyhoe Flint Trophy",NA,"The Cooper Associates County Ground, Taunton","Taunton","Western Storm","bat","Mark Newell","S McLelland",NA,"Southern Vipers",8,"GL Adams",NA,NA,"S Cummings",NA,NA
